dataset,horizon_hours,method,method_role,seed,mae,rmse,mape,smape,normalized_mae,peak_load_error,runtime_s,train_samples,test_samples,source_status
Ausgrid solar home GC hourly (12 customers + 4 regions + total),24,HyG-LoadFormer (neural),proposed,11,2.92483759,9.98560569,1776.61185206,0.32165281,0.00395985,16.84691892,8.6774,51692,133756,public_data_benchmark_v7_seed_significance_ausgrid
Ausgrid solar home GC hourly (12 customers + 4 regions + total),24,HyG-LoadFormer (neural),proposed,23,2.88021258,9.78952457,1777.29952308,0.31942676,0.00389944,16.64886824,9.5790,51692,133756,public_data_benchmark_v7_seed_significance_ausgrid
Ausgrid solar home GC hourly (12 customers + 4 regions + total),24,HyG-LoadFormer (neural),proposed,47,2.96714091,10.18033165,1683.11437359,0.32693455,0.00401712,17.15292950,9.6014,51692,133756,public_data_benchmark_v7_seed_significance_ausgrid
Ausgrid solar home GC hourly (12 customers + 4 regions + total),24,HyG-LoadFormer (neural),proposed,59,3.06477572,10.00862490,1738.05066096,0.33200939,0.00414931,17.34265800,9.6004,51692,133756,public_data_benchmark_v7_seed_significance_ausgrid
Ausgrid solar home GC hourly (12 customers + 4 regions + total),24,HyG-LoadFormer (neural),proposed,71,2.93136195,9.95452289,1794.07688928,0.32012907,0.00396868,16.87632681,9.4796,51692,133756,public_data_benchmark_v7_seed_significance_ausgrid
Ausgrid solar home GC hourly (12 customers + 4 regions + total),24,HyG-LoadFormer (neural),proposed,83,2.89066956,9.90710065,1799.90563153,0.31885730,0.00391359,16.81973479,9.5207,51692,133756,public_data_benchmark_v7_seed_significance_ausgrid
Ausgrid solar home GC hourly (12 customers + 4 regions + total),24,HyG-LoadFormer (neural),proposed,97,2.95811598,9.96056082,1717.79670759,0.32077301,0.00400491,17.10150254,9.9417,51692,133756,public_data_benchmark_v7_seed_significance_ausgrid
Ausgrid solar home GC hourly (12 customers + 4 regions + total),24,HyG-LoadFormer (neural),proposed,109,3.01578442,10.01441577,1777.80760958,0.32842778,0.00408298,17.26496834,9.5861,51692,133756,public_data_benchmark_v7_seed_significance_ausgrid
Ausgrid solar home GC hourly (12 customers + 4 regions + total),24,HyG-LoadFormer (neural),proposed,127,2.87096115,9.91132009,1713.86987891,0.31470080,0.00388691,16.76923091,9.6292,51692,133756,public_data_benchmark_v7_seed_significance_ausgrid
Ausgrid solar home GC hourly (12 customers + 4 regions + total),24,HyG-LoadFormer (neural),proposed,139,3.07406631,10.03476632,1854.88527577,0.33322271,0.00416189,17.43486798,9.7050,51692,133756,public_data_benchmark_v7_seed_significance_ausgrid
Ausgrid solar home GC hourly (12 customers + 4 regions + total),24,Ablation-EuclideanGraph (neural),ablation,11,2.90689403,9.97927797,1760.13364163,0.32126291,0.00393556,16.77796690,9.1110,51692,133756,public_data_benchmark_v7_seed_significance_ausgrid
Ausgrid solar home GC hourly (12 customers + 4 regions + total),24,Ablation-EuclideanGraph (neural),ablation,23,2.88398823,9.80032956,1789.06230541,0.32095779,0.00390455,16.71400650,9.0917,51692,133756,public_data_benchmark_v7_seed_significance_ausgrid
Ausgrid solar home GC hourly (12 customers + 4 regions + total),24,Ablation-EuclideanGraph (neural),ablation,47,2.98278611,10.19692233,1671.55200483,0.32603765,0.00403831,17.29818554,9.3291,51692,133756,public_data_benchmark_v7_seed_significance_ausgrid
Ausgrid solar home GC hourly (12 customers + 4 regions + total),24,Ablation-EuclideanGraph (neural),ablation,59,3.08761027,10.00521026,1720.22765416,0.33255697,0.00418022,17.51554193,9.3625,51692,133756,public_data_benchmark_v7_seed_significance_ausgrid
Ausgrid solar home GC hourly (12 customers + 4 regions + total),24,Ablation-EuclideanGraph (neural),ablation,71,2.93282290,9.92960551,1823.08838040,0.31986755,0.00397066,16.87029083,10.2145,51692,133756,public_data_benchmark_v7_seed_significance_ausgrid
Ausgrid solar home GC hourly (12 customers + 4 regions + total),24,Ablation-EuclideanGraph (neural),ablation,83,2.89072473,9.90703566,1796.08676859,0.31885226,0.00391367,16.76444935,9.4573,51692,133756,public_data_benchmark_v7_seed_significance_ausgrid
Ausgrid solar home GC hourly (12 customers + 4 regions + total),24,Ablation-EuclideanGraph (neural),ablation,97,2.96974673,9.96437691,1720.60916374,0.32145079,0.00402065,17.15503115,9.4592,51692,133756,public_data_benchmark_v7_seed_significance_ausgrid
Ausgrid solar home GC hourly (12 customers + 4 regions + total),24,Ablation-EuclideanGraph (neural),ablation,109,3.00580678,9.99571487,1779.22008159,0.32829358,0.00406947,17.19877751,9.7647,51692,133756,public_data_benchmark_v7_seed_significance_ausgrid
Ausgrid solar home GC hourly (12 customers + 4 regions + total),24,Ablation-EuclideanGraph (neural),ablation,127,2.88662967,9.92523120,1694.68475123,0.31636259,0.00390812,16.84213026,9.4617,51692,133756,public_data_benchmark_v7_seed_significance_ausgrid
Ausgrid solar home GC hourly (12 customers + 4 regions + total),24,Ablation-EuclideanGraph (neural),ablation,139,2.94428376,10.20501858,1839.44999932,0.32159418,0.00398618,17.02598483,9.4097,51692,133756,public_data_benchmark_v7_seed_significance_ausgrid
Ausgrid solar home GC hourly (12 customers + 4 regions + total),24,Ablation-FixedCurvature (neural),ablation,11,2.92694579,9.98551846,1783.73115341,0.32231587,0.00396271,16.85480675,9.4797,51692,133756,public_data_benchmark_v7_seed_significance_ausgrid
Ausgrid solar home GC hourly (12 customers + 4 regions + total),24,Ablation-FixedCurvature (neural),ablation,23,2.87843011,9.82302112,1797.01293320,0.31988559,0.00389702,16.66014143,9.3291,51692,133756,public_data_benchmark_v7_seed_significance_ausgrid
Ausgrid solar home GC hourly (12 customers + 4 regions + total),24,Ablation-FixedCurvature (neural),ablation,47,3.04186668,10.14525035,1819.10679528,0.32383193,0.00411829,17.41605039,8.1581,51692,133756,public_data_benchmark_v7_seed_significance_ausgrid
Ausgrid solar home GC hourly (12 customers + 4 regions + total),24,Ablation-FixedCurvature (neural),ablation,59,3.05920680,10.02674792,1721.65202778,0.33075951,0.00414177,17.38403855,7.2436,51692,133756,public_data_benchmark_v7_seed_significance_ausgrid
Ausgrid solar home GC hourly (12 customers + 4 regions + total),24,Ablation-FixedCurvature (neural),ablation,71,2.92032434,9.97083765,1801.20198238,0.31856635,0.00395374,16.87892284,7.3303,51692,133756,public_data_benchmark_v7_seed_significance_ausgrid
Ausgrid solar home GC hourly (12 customers + 4 regions + total),24,Ablation-FixedCurvature (neural),ablation,83,2.89389196,9.90529498,1796.30927881,0.31886249,0.00391796,16.83721607,7.1592,51692,133756,public_data_benchmark_v7_seed_significance_ausgrid
Ausgrid solar home GC hourly (12 customers + 4 regions + total),24,Ablation-FixedCurvature (neural),ablation,97,2.97189267,9.95907556,1708.25345523,0.32147411,0.00402356,17.17391102,7.2502,51692,133756,public_data_benchmark_v7_seed_significance_ausgrid
Ausgrid solar home GC hourly (12 customers + 4 regions + total),24,Ablation-FixedCurvature (neural),ablation,109,2.99945626,9.99956450,1788.90057882,0.32735414,0.00406088,17.18356609,6.8947,51692,133756,public_data_benchmark_v7_seed_significance_ausgrid
Ausgrid solar home GC hourly (12 customers + 4 regions + total),24,Ablation-FixedCurvature (neural),ablation,127,2.89002888,9.92753909,1686.12043159,0.31636378,0.00391273,16.86971510,6.7969,51692,133756,public_data_benchmark_v7_seed_significance_ausgrid
Ausgrid solar home GC hourly (12 customers + 4 regions + total),24,Ablation-FixedCurvature (neural),ablation,139,2.95268929,10.25342231,1814.73812482,0.32096592,0.00399756,17.11292400,6.9123,51692,133756,public_data_benchmark_v7_seed_significance_ausgrid
Ausgrid solar home GC hourly (12 customers + 4 regions + total),24,Ablation-TemporalOnly (neural),ablation,11,2.89811334,10.02993264,1702.11745817,0.31797453,0.00392367,16.89877336,5.7086,51692,133756,public_data_benchmark_v7_seed_significance_ausgrid
Ausgrid solar home GC hourly (12 customers + 4 regions + total),24,Ablation-TemporalOnly (neural),ablation,23,3.04140064,10.07207612,1873.83059246,0.32664811,0.00411766,17.51612364,5.7816,51692,133756,public_data_benchmark_v7_seed_significance_ausgrid
Ausgrid solar home GC hourly (12 customers + 4 regions + total),24,Ablation-TemporalOnly (neural),ablation,47,3.02366611,9.94536096,1782.35417487,0.32364557,0.00409365,17.35269899,5.7075,51692,133756,public_data_benchmark_v7_seed_significance_ausgrid
Ausgrid solar home GC hourly (12 customers + 4 regions + total),24,Ablation-TemporalOnly (neural),ablation,59,3.12682496,10.06807967,1897.89671819,0.33206541,0.00423332,17.79959590,5.7958,51692,133756,public_data_benchmark_v7_seed_significance_ausgrid
Ausgrid solar home GC hourly (12 customers + 4 regions + total),24,Ablation-TemporalOnly (neural),ablation,71,2.92654163,9.94310594,1857.50601876,0.31896674,0.00396216,16.88462461,5.7777,51692,133756,public_data_benchmark_v7_seed_significance_ausgrid
Ausgrid solar home GC hourly (12 customers + 4 regions + total),24,Ablation-TemporalOnly (neural),ablation,83,2.93562913,9.92719026,1790.66167342,0.31903533,0.00397446,17.00114213,5.8610,51692,133756,public_data_benchmark_v7_seed_significance_ausgrid
Ausgrid solar home GC hourly (12 customers + 4 regions + total),24,Ablation-TemporalOnly (neural),ablation,97,3.01982352,10.08656806,1789.63341367,0.32753077,0.00408845,17.29602867,5.7747,51692,133756,public_data_benchmark_v7_seed_significance_ausgrid
