dataset,horizon_hours,method,method_role,seed,epochs,mae,rmse,mape,smape,normalized_mae,peak_load_error,runtime_s,train_samples,test_samples,source_status
OPSD time_series_60min_singleindex,1,HyG-LoadFormer (neural),proposed,11,15,364.00873561,591.75046224,0.01054869,0.01055920,0.00425617,637.65445623,4.0847,48664,62994,public_data_benchmark_v6_hyg_neural
OPSD time_series_60min_singleindex,1,HyG-LoadFormer (neural),proposed,23,15,359.50945812,595.14132054,0.01057305,0.01058438,0.00420356,616.39224888,3.9685,48664,62994,public_data_benchmark_v6_hyg_neural
OPSD time_series_60min_singleindex,1,HyG-LoadFormer (neural),proposed,47,15,351.81156425,583.60363859,0.01033476,0.01032546,0.00411355,586.05217448,3.8222,48664,62994,public_data_benchmark_v6_hyg_neural
OPSD time_series_60min_singleindex,1,Ablation-EuclideanGraph (neural),ablation,11,15,375.08538039,608.11481502,0.01083823,0.01086477,0.00438568,678.21442894,3.6604,48664,62994,public_data_benchmark_v6_hyg_neural
OPSD time_series_60min_singleindex,1,Ablation-EuclideanGraph (neural),ablation,23,15,357.49720570,592.03854156,0.01053868,0.01055200,0.00418003,608.61383991,3.7592,48664,62994,public_data_benchmark_v6_hyg_neural
OPSD time_series_60min_singleindex,1,Ablation-EuclideanGraph (neural),ablation,47,15,360.06146380,591.94482875,0.01058669,0.01057057,0.00421001,617.97680432,3.6845,48664,62994,public_data_benchmark_v6_hyg_neural
OPSD time_series_60min_singleindex,1,Ablation-FixedCurvature (neural),ablation,11,15,364.09259358,590.84906638,0.01059173,0.01060672,0.00425715,631.40464596,3.8688,48664,62994,public_data_benchmark_v6_hyg_neural
OPSD time_series_60min_singleindex,1,Ablation-FixedCurvature (neural),ablation,23,15,359.14961696,593.37900639,0.01056156,0.01056491,0.00419935,613.36101004,3.9429,48664,62994,public_data_benchmark_v6_hyg_neural
OPSD time_series_60min_singleindex,1,Ablation-FixedCurvature (neural),ablation,47,15,355.15758319,583.32405074,0.01045991,0.01043665,0.00415268,597.87999442,3.8494,48664,62994,public_data_benchmark_v6_hyg_neural
OPSD time_series_60min_singleindex,1,Ablation-TemporalOnly (neural),ablation,11,15,395.70963129,639.08283649,0.01151156,0.01155079,0.00462683,702.17163876,2.5470,48664,62994,public_data_benchmark_v6_hyg_neural
