dataset,horizon_hours,method,method_role,seed,epochs,mae,rmse,mape,smape,normalized_mae,peak_load_error,runtime_s,train_samples,test_samples,source_status
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,HyG-LoadFormer (neural),proposed,11,15,0.03063666,0.04696430,0.17526892,0.16615880,0.03325591,0.04859568,1.4197,15904,21016,public_data_benchmark_v6_hyg_neural
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,HyG-LoadFormer (neural),proposed,23,15,0.03094571,0.04751563,0.17444021,0.17759976,0.03359139,0.04791541,1.4321,15904,21016,public_data_benchmark_v6_hyg_neural
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,HyG-LoadFormer (neural),proposed,47,15,0.03061901,0.04681939,0.17898656,0.17685571,0.03323675,0.04693155,1.5093,15904,21016,public_data_benchmark_v6_hyg_neural
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-EuclideanGraph (neural),ablation,11,15,0.03064700,0.04700327,0.17356467,0.16575227,0.03326713,0.04889149,1.4873,15904,21016,public_data_benchmark_v6_hyg_neural
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-EuclideanGraph (neural),ablation,23,15,0.03078957,0.04745668,0.17251907,0.17188195,0.03342190,0.04787256,1.3698,15904,21016,public_data_benchmark_v6_hyg_neural
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-EuclideanGraph (neural),ablation,47,15,0.03053091,0.04674122,0.17760918,0.17827088,0.03314112,0.04681203,1.4249,15904,21016,public_data_benchmark_v6_hyg_neural
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-FixedCurvature (neural),ablation,11,15,0.03068072,0.04705671,0.17493626,0.16560955,0.03330374,0.04893444,1.5156,15904,21016,public_data_benchmark_v6_hyg_neural
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-FixedCurvature (neural),ablation,23,15,0.03086741,0.04750364,0.17284433,0.17418579,0.03350639,0.04757772,1.4812,15904,21016,public_data_benchmark_v6_hyg_neural
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-FixedCurvature (neural),ablation,47,15,0.03040042,0.04666073,0.17589966,0.17503116,0.03299948,0.04688091,1.3575,15904,21016,public_data_benchmark_v6_hyg_neural
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-TemporalOnly (neural),ablation,11,15,0.03217619,0.04874250,0.18497825,0.17503830,0.03492706,0.04524630,0.9651,15904,21016,public_data_benchmark_v6_hyg_neural
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-TemporalOnly (neural),ablation,23,15,0.03122836,0.04790557,0.17688896,0.16909613,0.03389820,0.04578532,0.9568,15904,21016,public_data_benchmark_v6_hyg_neural
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-TemporalOnly (neural),ablation,47,15,0.03129175,0.04751958,0.18528312,0.15938465,0.03396701,0.04823401,0.9263,15904,21016,public_data_benchmark_v6_hyg_neural
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-NoCalendar (neural),ablation,11,15,0.03148403,0.04767923,0.18137671,0.16340421,0.03417572,0.04796071,1.5061,15904,21016,public_data_benchmark_v6_hyg_neural
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-NoCalendar (neural),ablation,23,15,0.03078807,0.04665181,0.17294103,0.15638627,0.03342027,0.04724628,1.4485,15904,21016,public_data_benchmark_v6_hyg_neural
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-NoCalendar (neural),ablation,47,15,0.03078223,0.04697706,0.17550518,0.15683682,0.03341392,0.04655391,1.4662,15904,21016,public_data_benchmark_v6_hyg_neural
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-EqualNeighbors (neural),ablation,11,15,0.03075794,0.04703786,0.17388739,0.17126608,0.03338756,0.04926182,1.2753,15904,21016,public_data_benchmark_v6_hyg_neural
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-EqualNeighbors (neural),ablation,23,15,0.03081600,0.04760756,0.17070621,0.17218669,0.03345058,0.04814798,1.3266,15904,21016,public_data_benchmark_v6_hyg_neural
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-EqualNeighbors (neural),ablation,47,15,0.03051853,0.04676213,0.17651834,0.17935858,0.03312769,0.04697814,1.3110,15904,21016,public_data_benchmark_v6_hyg_neural
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,HyG-LoadFormer (neural),proposed,11,15,0.05371051,0.09164018,0.35444968,0.28754698,0.05830244,0.10309104,1.4905,15904,20832,public_data_benchmark_v6_hyg_neural
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,HyG-LoadFormer (neural),proposed,23,15,0.05847710,0.09762613,0.39822419,0.26660744,0.06347654,0.08370361,1.4816,15904,20832,public_data_benchmark_v6_hyg_neural
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,HyG-LoadFormer (neural),proposed,47,15,0.05392923,0.09101865,0.35695735,0.28069172,0.05853985,0.10475192,1.4696,15904,20832,public_data_benchmark_v6_hyg_neural
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-EuclideanGraph (neural),ablation,11,15,0.05400343,0.09195863,0.36174786,0.29437004,0.05862041,0.10210396,1.4338,15904,20832,public_data_benchmark_v6_hyg_neural
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-EuclideanGraph (neural),ablation,23,15,0.05988137,0.09925325,0.40165536,0.29372375,0.06500088,0.09870526,1.4036,15904,20832,public_data_benchmark_v6_hyg_neural
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-EuclideanGraph (neural),ablation,47,15,0.05819600,0.09681788,0.39369412,0.29108480,0.06317142,0.09466016,1.3558,15904,20832,public_data_benchmark_v6_hyg_neural
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-FixedCurvature (neural),ablation,11,15,0.05402991,0.09202378,0.36123129,0.29080908,0.05864915,0.10244073,1.4881,15904,20832,public_data_benchmark_v6_hyg_neural
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-FixedCurvature (neural),ablation,23,15,0.05864257,0.09775429,0.40091241,0.26850769,0.06365616,0.08399240,1.4448,15904,20832,public_data_benchmark_v6_hyg_neural
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-FixedCurvature (neural),ablation,47,15,0.05324638,0.09092274,0.34724935,0.27522037,0.05779863,0.09705507,1.4247,15904,20832,public_data_benchmark_v6_hyg_neural
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-TemporalOnly (neural),ablation,11,15,0.05293290,0.09219718,0.34509578,0.25238786,0.05745835,0.08931437,0.8979,15904,20832,public_data_benchmark_v6_hyg_neural
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-TemporalOnly (neural),ablation,23,15,0.05322480,0.09269731,0.34087877,0.23519230,0.05777520,0.09653871,1.0330,15904,20832,public_data_benchmark_v6_hyg_neural
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-TemporalOnly (neural),ablation,47,15,0.05497582,0.09349684,0.36783461,0.29643363,0.05967593,0.10573466,0.9176,15904,20832,public_data_benchmark_v6_hyg_neural
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-NoCalendar (neural),ablation,11,15,0.05342341,0.09152516,0.33101738,0.26700368,0.05799080,0.11677086,1.4762,15904,20832,public_data_benchmark_v6_hyg_neural
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-NoCalendar (neural),ablation,23,15,0.05494840,0.09357654,0.36723236,0.25371415,0.05964616,0.09724337,1.4336,15904,20832,public_data_benchmark_v6_hyg_neural
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-NoCalendar (neural),ablation,47,15,0.05666347,0.09529258,0.38674358,0.29108453,0.06150786,0.08929656,1.4962,15904,20832,public_data_benchmark_v6_hyg_neural
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-EqualNeighbors (neural),ablation,11,15,0.05375496,0.09169325,0.35644669,0.29225194,0.05835069,0.10345939,1.3056,15904,20832,public_data_benchmark_v6_hyg_neural
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-EqualNeighbors (neural),ablation,23,15,0.05409156,0.09293020,0.35966381,0.24859520,0.05871606,0.08788186,1.3508,15904,20832,public_data_benchmark_v6_hyg_neural
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-EqualNeighbors (neural),ablation,47,15,0.05809227,0.09670152,0.39427240,0.29036177,0.06305882,0.09379413,1.2861,15904,20832,public_data_benchmark_v6_hyg_neural
