dataset,horizon_hours,method,method_role,seed,epochs,mae,rmse,mape,smape,normalized_mae,peak_load_error,runtime_s,train_samples,test_samples,source_status
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,MLP,baseline,11,20,0.03135104,0.04771135,0.17957017,0.17667005,0.03403137,0.04801023,0.4752,15904,21016,public_data_benchmark_v5_neural_baselines
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,MLP,baseline,23,20,0.03069016,0.04684919,0.18202196,0.16640328,0.03331399,0.04836239,0.4735,15904,21016,public_data_benchmark_v5_neural_baselines
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,MLP,baseline,47,20,0.02989482,0.04647461,0.16116393,0.15294182,0.03245065,0.04803223,0.4785,15904,21016,public_data_benchmark_v5_neural_baselines
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,LSTM,baseline,11,6,0.05451861,0.07625913,0.40105558,0.33567117,0.05917962,0.07696917,10.7105,15904,21016,public_data_benchmark_v5_neural_baselines
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,LSTM,baseline,23,6,0.05142689,0.07319900,0.36357026,0.33625916,0.05582358,0.07051960,11.5444,15904,21016,public_data_benchmark_v5_neural_baselines
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,LSTM,baseline,47,6,0.05227589,0.07477450,0.38476531,0.36710590,0.05674516,0.07411692,9.5196,15904,21016,public_data_benchmark_v5_neural_baselines
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,TCN,baseline,11,10,0.03296372,0.04949446,0.20183715,0.20562015,0.03578193,0.04788018,21.8172,15904,21016,public_data_benchmark_v5_neural_baselines
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,TCN,baseline,23,10,0.03490213,0.05279013,0.22558571,0.18569484,0.03788605,0.04454565,21.6985,15904,21016,public_data_benchmark_v5_neural_baselines
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,TCN,baseline,47,10,0.03511509,0.05210800,0.22451650,0.19667131,0.03811722,0.04435666,21.7744,15904,21016,public_data_benchmark_v5_neural_baselines
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,DLinear,baseline,11,20,0.03935477,0.05633139,0.28598527,0.25618881,0.04271937,0.05576401,0.3755,15904,21016,public_data_benchmark_v5_neural_baselines
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,DLinear,baseline,23,20,0.03807793,0.05477337,0.28068178,0.26269386,0.04133336,0.05274891,0.3233,15904,21016,public_data_benchmark_v5_neural_baselines
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,DLinear,baseline,47,20,0.03763748,0.05453449,0.26986368,0.25535620,0.04085526,0.05690342,0.3299,15904,21016,public_data_benchmark_v5_neural_baselines
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,PatchTST-lite,baseline,11,8,0.03799606,0.05435379,0.27392203,0.23723584,0.04124449,0.05191354,17.4100,15904,21016,public_data_benchmark_v5_neural_baselines
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,PatchTST-lite,baseline,23,8,0.03444280,0.05165001,0.22691193,0.23675200,0.03738746,0.05646948,17.4710,15904,21016,public_data_benchmark_v5_neural_baselines
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,PatchTST-lite,baseline,47,8,0.03866654,0.05579704,0.28400546,0.22862060,0.04197229,0.04752468,17.3298,15904,21016,public_data_benchmark_v5_neural_baselines
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,MLP,baseline,11,20,0.05253392,0.09166846,0.32830764,0.27417175,0.05702525,0.09986604,0.4706,15904,20832,public_data_benchmark_v5_neural_baselines
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,MLP,baseline,23,20,0.05362148,0.09194778,0.35828888,0.28525159,0.05820580,0.09427387,0.4752,15904,20832,public_data_benchmark_v5_neural_baselines
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,MLP,baseline,47,20,0.05508352,0.09309355,0.34851375,0.27525378,0.05979284,0.11023972,0.4754,15904,20832,public_data_benchmark_v5_neural_baselines
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,LSTM,baseline,11,6,0.09195946,0.13182023,0.75825174,0.40987016,0.09982145,0.14764710,10.6577,15904,20832,public_data_benchmark_v5_neural_baselines
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,LSTM,baseline,23,6,0.08985400,0.13012430,0.69845777,0.42216737,0.09753598,0.16190357,11.4460,15904,20832,public_data_benchmark_v5_neural_baselines
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,LSTM,baseline,47,6,0.08956558,0.13118415,0.71576907,0.43995164,0.09722290,0.15996933,9.8173,15904,20832,public_data_benchmark_v5_neural_baselines
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,TCN,baseline,11,10,0.05713073,0.09436535,0.39811754,0.28094344,0.06201507,0.10299151,21.5742,15904,20832,public_data_benchmark_v5_neural_baselines
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,TCN,baseline,23,10,0.05827531,0.09583291,0.40324111,0.27115470,0.06325750,0.09942145,21.8075,15904,20832,public_data_benchmark_v5_neural_baselines
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,TCN,baseline,47,10,0.05780658,0.09504136,0.41012235,0.33132097,0.06274870,0.10132043,21.6664,15904,20832,public_data_benchmark_v5_neural_baselines
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,DLinear,baseline,11,20,0.07183132,0.11249354,0.52849595,0.36647210,0.07797247,0.14296721,0.3560,15904,20832,public_data_benchmark_v5_neural_baselines
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,DLinear,baseline,23,20,0.07278282,0.11356710,0.53432098,0.36939228,0.07900532,0.14606019,0.3225,15904,20832,public_data_benchmark_v5_neural_baselines
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,DLinear,baseline,47,20,0.07204689,0.11192144,0.53373145,0.36338310,0.07820647,0.14406843,0.3229,15904,20832,public_data_benchmark_v5_neural_baselines
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,PatchTST-lite,baseline,11,8,0.05994008,0.10037240,0.44432940,0.28427518,0.06506460,0.09668878,17.4154,15904,20832,public_data_benchmark_v5_neural_baselines
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,PatchTST-lite,baseline,23,8,0.06125680,0.10316765,0.44478652,0.31250657,0.06649389,0.09853534,17.2587,15904,20832,public_data_benchmark_v5_neural_baselines
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,PatchTST-lite,baseline,47,8,0.06139135,0.10141825,0.45924616,0.30504822,0.06663995,0.09674139,17.3368,15904,20832,public_data_benchmark_v5_neural_baselines
