dataset,horizon_hours,method,method_role,seed,mae,rmse,mape,smape,normalized_mae,peak_load_error,runtime_s,train_samples,test_samples,source_status
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,HyG-LoadFormer (neural),proposed,59,0.03043282,0.04706250,0.16829065,0.16322982,0.03303464,0.04748849,2.5380,15904,21016,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,HyG-LoadFormer (neural),proposed,71,0.03041594,0.04635259,0.17414958,0.15763682,0.03301632,0.04670149,2.5316,15904,21016,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,HyG-LoadFormer (neural),proposed,83,0.03053021,0.04667087,0.17024774,0.16169802,0.03314036,0.05038792,2.6846,15904,21016,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,HyG-LoadFormer (neural),proposed,97,0.03119350,0.04719018,0.18812103,0.19774185,0.03386036,0.04779396,2.5683,15904,21016,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,HyG-LoadFormer (neural),proposed,109,0.03067384,0.04680073,0.17063224,0.15575048,0.03329627,0.04730651,2.4838,15904,21016,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,HyG-LoadFormer (neural),proposed,127,0.03035173,0.04681720,0.16731965,0.17087140,0.03294662,0.04796573,2.6206,15904,21016,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,HyG-LoadFormer (neural),proposed,139,0.03142084,0.04810708,0.17405537,0.16703456,0.03410713,0.04965684,2.5588,15904,21016,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-EuclideanGraph (neural),ablation,59,0.03039640,0.04687069,0.17050038,0.16495597,0.03299511,0.04664113,2.4762,15904,21016,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-EuclideanGraph (neural),ablation,71,0.03074917,0.04684788,0.18152690,0.17519622,0.03337804,0.04733316,2.3956,15904,21016,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-EuclideanGraph (neural),ablation,83,0.03045008,0.04658342,0.16799154,0.16267901,0.03305338,0.05033266,2.5785,15904,21016,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-EuclideanGraph (neural),ablation,97,0.03139078,0.04737846,0.18927319,0.20413455,0.03407451,0.04833814,2.4472,15904,21016,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-EuclideanGraph (neural),ablation,109,0.03102442,0.04713494,0.17472250,0.15728557,0.03367683,0.04683124,2.4539,15904,21016,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-EuclideanGraph (neural),ablation,127,0.03053141,0.04686796,0.17054573,0.17297949,0.03314166,0.04673542,2.4528,15904,21016,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-EuclideanGraph (neural),ablation,139,0.03140547,0.04809908,0.17431160,0.16942137,0.03409045,0.05002932,2.4947,15904,21016,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-FixedCurvature (neural),ablation,59,0.03052685,0.04703475,0.16870368,0.16141775,0.03313672,0.04720645,2.4593,15904,21016,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-FixedCurvature (neural),ablation,71,0.03014005,0.04611048,0.17107104,0.15674254,0.03271685,0.04686453,2.5226,15904,21016,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-FixedCurvature (neural),ablation,83,0.03035124,0.04646838,0.16839894,0.16123611,0.03294609,0.04994116,2.5290,15904,21016,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-FixedCurvature (neural),ablation,97,0.03135609,0.04743851,0.18973190,0.20448567,0.03403685,0.04872700,2.5710,15904,21016,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-FixedCurvature (neural),ablation,109,0.03093770,0.04717996,0.17180886,0.15689282,0.03358269,0.04706584,2.4947,15904,21016,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-FixedCurvature (neural),ablation,127,0.03029397,0.04672101,0.16702848,0.16967014,0.03288392,0.04773756,2.4896,15904,21016,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-FixedCurvature (neural),ablation,139,0.03129865,0.04803054,0.17280185,0.17083851,0.03397449,0.04930163,2.5343,15904,21016,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-TemporalOnly (neural),ablation,59,0.03149206,0.04806156,0.18027873,0.16517054,0.03418444,0.04636729,1.9329,15904,21016,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-TemporalOnly (neural),ablation,71,0.03177338,0.04775242,0.18573030,0.17356442,0.03448982,0.04732107,1.8440,15904,21016,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-TemporalOnly (neural),ablation,83,0.03057827,0.04676900,0.17574600,0.16943388,0.03319253,0.04644149,1.9193,15904,21016,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-TemporalOnly (neural),ablation,97,0.03074737,0.04735596,0.16973574,0.16797642,0.03337608,0.05103671,1.8824,15904,21016,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-TemporalOnly (neural),ablation,109,0.03118401,0.04717928,0.17895365,0.17370902,0.03385006,0.04756729,2.0340,15904,21016,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-TemporalOnly (neural),ablation,127,0.03016367,0.04667851,0.16972244,0.17158676,0.03274248,0.04594689,1.9978,15904,21016,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-TemporalOnly (neural),ablation,139,0.03159371,0.04775161,0.18368487,0.16935213,0.03429478,0.04931187,1.9144,15904,21016,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-NoCalendar (neural),ablation,59,0.03099071,0.04710447,0.18325117,0.18799150,0.03364023,0.04713824,2.5455,15904,21016,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-NoCalendar (neural),ablation,71,0.03089827,0.04712784,0.17781851,0.16215502,0.03353989,0.04609388,2.5494,15904,21016,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-NoCalendar (neural),ablation,83,0.03060019,0.04682705,0.17283694,0.16012990,0.03321632,0.04991315,2.6260,15904,21016,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-NoCalendar (neural),ablation,97,0.03152453,0.04790929,0.17853264,0.16243013,0.03421969,0.04670390,2.5035,15904,21016,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-NoCalendar (neural),ablation,109,0.03029378,0.04617415,0.17351588,0.18899997,0.03288371,0.04717068,2.5612,15904,21016,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-NoCalendar (neural),ablation,127,0.03105190,0.04704929,0.17977926,0.18740757,0.03370665,0.04806173,2.4533,15904,21016,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-NoCalendar (neural),ablation,139,0.03137406,0.04808705,0.17932956,0.16937608,0.03405635,0.05044596,2.5920,15904,21016,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-EqualNeighbors (neural),ablation,59,0.03037284,0.04686473,0.17066921,0.16542184,0.03296954,0.04669207,2.3584,15904,21016,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-EqualNeighbors (neural),ablation,71,0.03067668,0.04669388,0.18351054,0.17707750,0.03329936,0.04723403,2.3361,15904,21016,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-EqualNeighbors (neural),ablation,83,0.03051707,0.04665522,0.16989066,0.16083526,0.03312610,0.05041443,2.3268,15904,21016,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-EqualNeighbors (neural),ablation,97,0.03152738,0.04745466,0.19230889,0.20749097,0.03422278,0.04824411,2.3873,15904,21016,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-EqualNeighbors (neural),ablation,109,0.03109827,0.04719061,0.17553695,0.15989228,0.03375699,0.04745260,2.3084,15904,21016,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-EqualNeighbors (neural),ablation,127,0.03037694,0.04679569,0.16890204,0.17190403,0.03297399,0.04682764,2.3774,15904,21016,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,Ablation-EqualNeighbors (neural),ablation,139,0.03159632,0.04819915,0.17676675,0.16723409,0.03429762,0.04969631,2.3850,15904,21016,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,MLP,baseline,59,0.03023780,0.04644614,0.17172343,0.16368890,0.03282295,0.04745535,0.6750,15904,21016,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,MLP,baseline,71,0.03053144,0.04691554,0.17970943,0.17851514,0.03314170,0.04887193,0.7830,15904,21016,public_data_benchmark_v7_seed_significance_ausgrid
