paper_id,experiment_id,method,method_role,repeat,mae,mape,peak_load_error,quality_index,rmse,runtime_s,scenario_status,spatial_transfer_error
mintou_p2,one_step_forecast,HyG-LoadFormer,proposed,1,0.479625,0.106855,0.145204,0.845259,0.594599,1.180413,synthetic_smoke_v0,0.174543
mintou_p2,one_step_forecast,HyG-LoadFormer,proposed,2,0.482193,0.109260,0.152236,0.827650,0.608095,1.388236,synthetic_smoke_v0,0.178546
mintou_p2,one_step_forecast,HyG-LoadFormer,proposed,3,0.492157,0.115277,0.153123,0.824529,0.587824,1.487868,synthetic_smoke_v0,0.175461
mintou_p2,one_step_forecast,HyG-LoadFormer,proposed,4,0.453945,0.109806,0.144768,0.848944,0.574544,1.365645,synthetic_smoke_v0,0.177443
mintou_p2,one_step_forecast,HyG-LoadFormer,proposed,5,0.488123,0.109781,0.155266,0.831365,0.579898,1.495131,synthetic_smoke_v0,0.173318
mintou_p2,one_step_forecast,ARIMA,baseline,1,0.696699,0.152515,0.199740,0.531969,0.826392,0.367257,synthetic_smoke_v0,0.227020
mintou_p2,one_step_forecast,ARIMA,baseline,2,0.674158,0.147249,0.197387,0.554857,0.816993,0.386451,synthetic_smoke_v0,0.227020
mintou_p2,one_step_forecast,ARIMA,baseline,3,0.694146,0.151124,0.196574,0.549711,0.817162,0.354434,synthetic_smoke_v0,0.222937
mintou_p2,one_step_forecast,ARIMA,baseline,4,0.688430,0.147336,0.205980,0.529110,0.840183,0.429330,synthetic_smoke_v0,0.228979
mintou_p2,one_step_forecast,ARIMA,baseline,5,0.690987,0.148475,0.205737,0.544770,0.829174,0.442089,synthetic_smoke_v0,0.230219
mintou_p2,one_step_forecast,XGBoost,baseline,1,0.616563,0.135075,0.182839,0.629424,0.756579,0.589347,synthetic_smoke_v0,0.207951
mintou_p2,one_step_forecast,XGBoost,baseline,2,0.622407,0.142448,0.182772,0.621129,0.758688,0.692722,synthetic_smoke_v0,0.223477
mintou_p2,one_step_forecast,XGBoost,baseline,3,0.631619,0.139192,0.184750,0.634539,0.748925,0.600213,synthetic_smoke_v0,0.217472
mintou_p2,one_step_forecast,XGBoost,baseline,4,0.613860,0.135709,0.187514,0.630889,0.744940,0.582218,synthetic_smoke_v0,0.210927
mintou_p2,one_step_forecast,XGBoost,baseline,5,0.618055,0.136122,0.186908,0.651959,0.741499,0.622519,synthetic_smoke_v0,0.211653
mintou_p2,one_step_forecast,LSTM,baseline,1,0.607005,0.136577,0.177546,0.659506,0.724426,0.893419,synthetic_smoke_v0,0.200623
mintou_p2,one_step_forecast,LSTM,baseline,2,0.606838,0.132656,0.181373,0.653425,0.720345,0.774071,synthetic_smoke_v0,0.212938
mintou_p2,one_step_forecast,LSTM,baseline,3,0.616039,0.132610,0.180067,0.644102,0.747201,0.814468,synthetic_smoke_v0,0.213105
mintou_p2,one_step_forecast,LSTM,baseline,4,0.598857,0.131076,0.183870,0.666060,0.722432,0.878733,synthetic_smoke_v0,0.213142
mintou_p2,one_step_forecast,LSTM,baseline,5,0.617411,0.132443,0.179045,0.654493,0.721176,0.864733,synthetic_smoke_v0,0.216709
mintou_p2,one_step_forecast,BiLSTM,baseline,1,0.616816,0.130247,0.178563,0.661016,0.726758,0.769986,synthetic_smoke_v0,0.214044
mintou_p2,one_step_forecast,BiLSTM,baseline,2,0.600985,0.133992,0.181800,0.673192,0.714388,1.002728,synthetic_smoke_v0,0.199004
mintou_p2,one_step_forecast,BiLSTM,baseline,3,0.611402,0.137001,0.183539,0.669100,0.712015,1.020138,synthetic_smoke_v0,0.204805
mintou_p2,one_step_forecast,BiLSTM,baseline,4,0.584493,0.134068,0.174305,0.669209,0.728965,0.962761,synthetic_smoke_v0,0.198801
mintou_p2,one_step_forecast,BiLSTM,baseline,5,0.594433,0.130226,0.183999,0.675252,0.723491,1.048153,synthetic_smoke_v0,0.211348
mintou_p2,one_step_forecast,TCN,baseline,1,0.593968,0.127936,0.174020,0.684550,0.720276,0.802099,synthetic_smoke_v0,0.196251
mintou_p2,one_step_forecast,TCN,baseline,2,0.578840,0.130638,0.172160,0.695560,0.683273,0.902202,synthetic_smoke_v0,0.198584
mintou_p2,one_step_forecast,TCN,baseline,3,0.606701,0.132361,0.182462,0.677877,0.711227,0.727009,synthetic_smoke_v0,0.200392
mintou_p2,one_step_forecast,TCN,baseline,4,0.595688,0.134150,0.170052,0.689938,0.701052,0.712569,synthetic_smoke_v0,0.208790
mintou_p2,one_step_forecast,TCN,baseline,5,0.594864,0.134334,0.183801,0.669340,0.715598,0.850246,synthetic_smoke_v0,0.210087
mintou_p2,one_step_forecast,Transformer,baseline,1,0.559487,0.129372,0.176305,0.704075,0.684670,1.175821,synthetic_smoke_v0,0.206389
mintou_p2,one_step_forecast,Transformer,baseline,2,0.578988,0.134754,0.177990,0.686457,0.698790,1.275044,synthetic_smoke_v0,0.196503
mintou_p2,one_step_forecast,Transformer,baseline,3,0.589386,0.132746,0.176088,0.684857,0.698695,1.188489,synthetic_smoke_v0,0.205734
mintou_p2,one_step_forecast,Transformer,baseline,4,0.570979,0.132460,0.173655,0.695785,0.701078,1.129262,synthetic_smoke_v0,0.194248
