family,reconciliation,comparison,n_per_group,mean_proposed,mean_opponent,mean_diff,u_statistic,p_value,p_holm,significant_005_holm,verdict
external_baselines,OLS-Reconciled,CSA-LoadNet vs MLP,10,0.289487855,0.286720172,0.002767683,63,0.344704222,0.689408444,False,not_separable
external_baselines,OLS-Reconciled,CSA-LoadNet vs DLinear,10,0.289487855,0.280466374,0.009021481,99,0.0002461281279,0.0009845125116,True,loss
external_baselines,OLS-Reconciled,CSA-LoadNet vs TCN,10,0.289487855,0.289261987,0.000225868,48,0.9097218891,0.9097218891,False,not_separable
external_baselines,OLS-Reconciled,CSA-LoadNet vs PatchTST-lite,10,0.289487855,0.28642843,0.003059425,67,0.2122938362,0.6368815086,False,not_separable
external_baselines,OLS-Reconciled,CSA-LoadNet vs LSTM,10,0.289487855,0.308938223,-0.019450368,0,0.0001826717911,0.0009133589555,True,win
component_ablations,OLS-Reconciled,CSA-LoadNet vs Ablation-EuclideanGraph (neural),10,0.289487855,0.289617814,-0.000129959,46,0.7913367801,1,False,not_separable
component_ablations,OLS-Reconciled,CSA-LoadNet vs Ablation-FixedCurvature (neural),10,0.289487855,0.290150246,-0.000662391,48,0.9097218891,1,False,not_separable
component_ablations,OLS-Reconciled,CSA-LoadNet vs Ablation-TemporalOnly (neural),10,0.289487855,0.289231274,0.000256581,55,0.7337299957,1,False,not_separable
component_ablations,OLS-Reconciled,CSA-LoadNet vs Ablation-NoCalendar (neural),10,0.289487855,0.291399754,-0.001911899,42,0.5707503881,1,False,not_separable
component_ablations,OLS-Reconciled,CSA-LoadNet vs Ablation-EqualNeighbors (neural),10,0.289487855,0.289972787,-0.000484932,51,0.969849977,1,False,not_separable
