horizon_hours,method,method_role,n_seeds,mean_smape,std_smape,mean_mape,rank_metric
24,DLinear,baseline,10,0.31324440,0.00271488,1816.08777913,mean_smape_lower_is_better
24,PatchTST-lite,baseline,3,0.31462955,0.00373836,1740.93153400,mean_smape_lower_is_better
24,TCN,baseline,3,0.31677132,0.00533849,1772.90007953,mean_smape_lower_is_better
24,Ablation-FixedCurvature (neural),ablation,10,0.32203797,0.00432120,1771.70267613,mean_smape_lower_is_better
24,Ablation-EqualNeighbors (neural),ablation,10,0.32216576,0.00491628,1756.97077701,mean_smape_lower_is_better
24,Ablation-EuclideanGraph (neural),ablation,10,0.32272363,0.00483571,1759.41147509,mean_smape_lower_is_better
24,MLP,baseline,10,0.32283336,0.00640018,1804.44966870,mean_smape_lower_is_better
24,HyG-LoadFormer (neural),proposed,10,0.32361342,0.00615246,1763.34184023,mean_smape_lower_is_better
24,Ablation-TemporalOnly (neural),ablation,10,0.32415393,0.00538546,1831.75952217,mean_smape_lower_is_better
24,Ablation-NoCalendar (neural),ablation,10,0.32994356,0.00789396,1833.35740992,mean_smape_lower_is_better
24,LSTM,baseline,3,0.35270924,0.00791733,2009.22257787,mean_smape_lower_is_better
