horizon_hours,method,method_role,family,mape,normalized_mae,mae,rmse,peak_load_error,mape_seed_std
1,MLP,baseline,neural,0.00995841,0.00397258,339.75448830,561.61799132,560.69540923,0.00017252
1,Ablation-EqualNeighbors (neural),ablation,neural,0.01048105,0.00417275,356.87438471,591.92317381,620.53622396,0.00035191
1,HyG-LoadFormer (neural),proposed,neural,0.01054869,0.00425617,364.00873561,591.75046224,637.65445623,0.00013111
1,Ablation-FixedCurvature (neural),ablation,neural,0.01056156,0.00419935,359.14961696,593.37900639,613.36101004,0.00006906
1,Ablation-EuclideanGraph (neural),ablation,neural,0.01058669,0.00421001,360.06146380,591.94482875,617.97680432,0.00016089
1,Ablation-NoCalendar (neural),ablation,neural,0.01062862,0.00424401,362.96863083,597.98060331,632.43383247,0.00004958
1,Ablation-TemporalOnly (neural),ablation,neural,0.01116096,0.00449667,384.57779315,632.63422877,681.34019159,0.00043138
1,PatchTST-lite,baseline,neural,0.01119052,0.00455152,389.26868594,625.86084554,750.18748016,0.00033198
1,TCN,baseline,neural,0.01182458,0.00481027,411.39870183,643.70404050,670.14271019,0.00071627
1,DLinear,baseline,neural,0.01251062,0.00494342,422.78578678,693.18170471,672.47407428,0.00029570
1,Ablation-NoCalendar,ablation,stdlib,0.02068559,0.00842894,720.885501,1084.865344,1252.321549,
1,LSTM,baseline,neural,0.02172846,0.00912920,780.77499253,1190.32736036,1480.45394097,0.00234317
1,HyG-LoadFormer,proposed,stdlib,0.02244670,0.00887378,758.929794,1103.729864,1273.641521,
1,Ablation-FixedCurvature,ablation,stdlib,0.02248453,0.00888278,759.699753,1104.048517,1270.008119,
1,Euclidean-GCN Ridge,baseline,stdlib,0.02250389,0.00888464,759.858453,1104.423455,1267.025034,
1,GCN-Temporal Ridge,baseline,stdlib,0.02250389,0.00888464,759.858453,1104.423455,1267.025034,
1,Ablation-EuclideanGraph,ablation,stdlib,0.02250389,0.00888464,759.858453,1104.423455,1267.025034,
1,Ablation-EqualNeighbors,ablation,stdlib,0.02257635,0.00890294,761.423522,1105.256593,1267.195737,
1,AR-Calendar Ridge,baseline,stdlib,0.02275094,0.00893414,764.092653,1108.078541,1269.337012,
1,Ablation-TemporalOnly,ablation,stdlib,0.02275094,0.00893414,764.092653,1108.078541,1269.337012,
1,Persistence,baseline,stdlib,0.03751365,0.01477804,1263.891504,1819.625689,1745.008175,
1,Weekly-168h,baseline,stdlib,0.05627563,0.02402731,2054.935944,3781.789574,4611.381270,
1,Seasonal-24h,baseline,stdlib,0.07357727,0.02951755,2524.488834,4306.322861,4242.110714,
1,MovingAverage-24h,baseline,stdlib,0.12605857,0.04704209,4023.275114,5284.283919,6315.640430,
24,Ablation-NoCalendar (neural),ablation,neural,0.03157770,0.01258442,1076.28286359,1914.57799274,1893.58710993,0.00081252
24,Ablation-EqualNeighbors (neural),ablation,neural,0.03262645,0.01321988,1130.63062477,1945.07838742,2068.72584549,0.00087381
24,Ablation-FixedCurvature (neural),ablation,neural,0.03290447,0.01334890,1141.66468139,1945.56724771,2047.65655321,0.00131329
24,Ablation-EuclideanGraph (neural),ablation,neural,0.03295993,0.01330470,1137.88434846,1994.24651812,2010.21571857,0.00123817
24,HyG-LoadFormer (neural),proposed,neural,0.03326563,0.01346076,1151.23112877,1995.00880698,2058.92337984,0.00149816
24,MLP,baseline,neural,0.03394443,0.01375767,1176.62461195,2021.30217628,2204.31299519,0.00058834
24,Ablation-TemporalOnly (neural),ablation,neural,0.03453514,0.01408967,1205.01913577,2080.71023967,2271.22344098,0.00020944
24,TCN,baseline,neural,0.03611025,0.01470160,1257.35441271,2177.24863419,2461.95043965,0.00084805
24,PatchTST-lite,baseline,neural,0.03777387,0.01520306,1300.24138143,2265.79792568,2338.73576179,0.00091607
24,HyG-LoadFormer,proposed,stdlib,0.03972575,0.01621211,1386.540306,2552.381820,2881.316999,
24,DLinear,baseline,neural,0.04084048,0.01700381,1454.25079070,2506.38518083,3258.51488625,0.00031093
24,LSTM,baseline,neural,0.05273086,0.02121039,1814.01882519,2865.69252224,3367.72700799,0.00169920
24,Weekly-168h,baseline,stdlib,0.05632632,0.02405159,2057.012393,3784.774240,4614.447908,
24,Ablation-FixedCurvature,ablation,stdlib,0.06915059,0.02588285,2213.631046,3295.138702,3935.213539,
24,AR-Calendar Ridge,baseline,stdlib,0.06925376,0.02598398,2222.279847,3312.783689,3970.554501,
24,Ablation-TemporalOnly,ablation,stdlib,0.06925376,0.02598398,2222.279847,3312.783689,3970.554501,
24,Ablation-EqualNeighbors,ablation,stdlib,0.06932875,0.02588215,2213.570458,3290.243742,3946.881846,
24,Euclidean-GCN Ridge,baseline,stdlib,0.06942535,0.02589069,2214.300915,3289.575039,3944.274464,
24,GCN-Temporal Ridge,baseline,stdlib,0.06942535,0.02589069,2214.300915,3289.575039,3944.274464,
24,Ablation-EuclideanGraph,ablation,stdlib,0.06942535,0.02589069,2214.300915,3289.575039,3944.274464,
24,Ablation-NoCalendar,ablation,stdlib,0.07326640,0.02923003,2499.898404,3582.941441,4383.577105,
24,Persistence,baseline,stdlib,0.07371832,0.02957439,2529.349464,4311.002603,4245.577939,
24,Seasonal-24h,baseline,stdlib,0.11837385,0.04723253,4039.561929,6070.239793,6742.863607,
24,MovingAverage-24h,baseline,stdlib,0.15509764,0.05882044,5030.617788,6665.585643,8536.793940,
