horizon_hours,method,method_role,mape,mae,rmse,peak_load_error,rank_metric,rank_score
1,Ablation-NoCalendar,ablation,0.02068559,720.885501,1084.865344,1252.321549,mape_lower_is_better,0.02068559
1,HyG-LoadFormer,proposed,0.02244670,758.929794,1103.729864,1273.641521,mape_lower_is_better,0.02244670
1,Ablation-FixedCurvature,ablation,0.02248453,759.699753,1104.048517,1270.008119,mape_lower_is_better,0.02248453
1,Euclidean-GCN Ridge,baseline,0.02250389,759.858453,1104.423455,1267.025034,mape_lower_is_better,0.02250389
1,GCN-Temporal Ridge,baseline,0.02250389,759.858453,1104.423455,1267.025034,mape_lower_is_better,0.02250389
1,Ablation-EuclideanGraph,ablation,0.02250389,759.858453,1104.423455,1267.025034,mape_lower_is_better,0.02250389
1,Ablation-EqualNeighbors,ablation,0.02257635,761.423522,1105.256593,1267.195737,mape_lower_is_better,0.02257635
1,AR-Calendar Ridge,baseline,0.02275094,764.092653,1108.078541,1269.337012,mape_lower_is_better,0.02275094
1,Ablation-TemporalOnly,ablation,0.02275094,764.092653,1108.078541,1269.337012,mape_lower_is_better,0.02275094
1,Persistence,baseline,0.03751365,1263.891504,1819.625689,1745.008175,mape_lower_is_better,0.03751365
1,Weekly-168h,baseline,0.05627563,2054.935944,3781.789574,4611.381270,mape_lower_is_better,0.05627563
1,Seasonal-24h,baseline,0.07357727,2524.488834,4306.322861,4242.110714,mape_lower_is_better,0.07357727
1,MovingAverage-24h,baseline,0.12605857,4023.275114,5284.283919,6315.640430,mape_lower_is_better,0.12605857
24,Weekly-168h,baseline,0.05632632,2057.012393,3784.774240,4614.447908,mape_lower_is_better,0.05632632
24,HyG-LoadFormer,proposed,0.06910397,2215.166593,3300.101617,3929.043650,mape_lower_is_better,0.06910397
24,Ablation-FixedCurvature,ablation,0.06915059,2213.631046,3295.138702,3935.213539,mape_lower_is_better,0.06915059
24,AR-Calendar Ridge,baseline,0.06925376,2222.279847,3312.783689,3970.554501,mape_lower_is_better,0.06925376
24,Ablation-TemporalOnly,ablation,0.06925376,2222.279847,3312.783689,3970.554501,mape_lower_is_better,0.06925376
24,Ablation-EqualNeighbors,ablation,0.06932875,2213.570458,3290.243742,3946.881846,mape_lower_is_better,0.06932875
24,Euclidean-GCN Ridge,baseline,0.06942535,2214.300915,3289.575039,3944.274464,mape_lower_is_better,0.06942535
24,GCN-Temporal Ridge,baseline,0.06942535,2214.300915,3289.575039,3944.274464,mape_lower_is_better,0.06942535
24,Ablation-EuclideanGraph,ablation,0.06942535,2214.300915,3289.575039,3944.274464,mape_lower_is_better,0.06942535
24,Ablation-NoCalendar,ablation,0.07326640,2499.898404,3582.941441,4383.577105,mape_lower_is_better,0.07326640
24,Persistence,baseline,0.07371832,2529.349464,4311.002603,4245.577939,mape_lower_is_better,0.07371832
24,Seasonal-24h,baseline,0.11837385,4039.561929,6070.239793,6742.863607,mape_lower_is_better,0.11837385
24,MovingAverage-24h,baseline,0.15509764,5030.617788,6665.585643,8536.793940,mape_lower_is_better,0.15509764
