dataset,horizon_hours,metric,comparison,opponent_role,n_proposed,n_opponent,mean_proposed,mean_opponent,proposed_better,u_statistic,p_value,p_holm,significant_005_holm,mean_difference,mean_diff_ci_low,mean_diff_ci_high,rank_biserial_proposed_greater,ci_scope,family,reconciliation,n_per_group,mean_diff,verdict
opsd,1,mape,HyG-LoadFormer (neural) vs Ablation-EqualNeighbors (neural),ablation,10.0,10.0,0.01068914,0.01063205,False,56.0,0.677585,1.0,False,5.708800000000028e-05,-0.00020088347500000182,0.00032166762499999895,0.1200000000000001,pointwise_multiplicity_unadjusted,,,,,
opsd,1,mape,HyG-LoadFormer (neural) vs Ablation-EuclideanGraph (neural),ablation,10.0,10.0,0.01068914,0.0106434,False,51.0,0.96985,1.0,False,4.574099999999845e-05,-0.00018730502499999876,0.00028042915000000044,0.020000000000000018,pointwise_multiplicity_unadjusted,,,,,
opsd,1,mape,HyG-LoadFormer (neural) vs Ablation-FixedCurvature (neural),ablation,10.0,10.0,0.01068914,0.01070693,True,46.0,0.791337,1.0,False,-1.7791999999999114e-05,-0.00025875920000000045,0.00023725620000000148,-0.07999999999999996,pointwise_multiplicity_unadjusted,,,,,
opsd,1,mape,HyG-LoadFormer (neural) vs Ablation-NoCalendar (neural),ablation,10.0,10.0,0.01068914,0.01061739,False,55.0,0.73373,1.0,False,7.175499999999974e-05,-0.00016133937499999813,0.0003126062500000005,0.10000000000000009,pointwise_multiplicity_unadjusted,,,,,
opsd,1,mape,HyG-LoadFormer (neural) vs Ablation-TemporalOnly (neural),ablation,10.0,10.0,0.01068914,0.01098055,True,22.0,0.0376353,0.188177,False,-0.0002914130000000008,-0.0005265029250000015,-6.337627499999959e-05,-0.56,pointwise_multiplicity_unadjusted,,,,,
opsd,1,mape,HyG-LoadFormer (neural) vs MLP,baseline,10.0,10.0,0.01068914,0.01015548,False,87.0,0.00579536,0.0347722,True,0.0005336589999999988,0.0002628496000000017,0.0007952397500000001,0.74,pointwise_multiplicity_unadjusted,,,,,
opsd,24,mape,HyG-LoadFormer (neural) vs Ablation-EqualNeighbors (neural),ablation,10.0,10.0,0.03234477,0.03246871,True,48.0,0.909722,1.0,False,-0.00012394400000000083,-0.0006967292499999992,0.00043948275,-0.040000000000000036,pointwise_multiplicity_unadjusted,,,,,
opsd,24,mape,HyG-LoadFormer (neural) vs Ablation-EuclideanGraph (neural),ablation,10.0,10.0,0.03234477,0.03225675,False,52.0,0.909722,1.0,False,8.802299999999263e-05,-0.0005674586249999957,0.0007147009750000015,0.040000000000000036,pointwise_multiplicity_unadjusted,,,,,
opsd,24,mape,HyG-LoadFormer (neural) vs Ablation-FixedCurvature (neural),ablation,10.0,10.0,0.03234477,0.03230191,False,49.0,0.96985,1.0,False,4.286399999999663e-05,-0.0005844755499999944,0.0006772797499999971,-0.020000000000000018,pointwise_multiplicity_unadjusted,,,,,
opsd,24,mape,HyG-LoadFormer (neural) vs Ablation-NoCalendar (neural),ablation,10.0,10.0,0.03234477,0.03187295,False,71.0,0.121225,0.484898,False,0.00047182199999999674,-0.00011912977499999501,0.0010428182500000077,0.41999999999999993,pointwise_multiplicity_unadjusted,,,,,
opsd,24,mape,HyG-LoadFormer (neural) vs Ablation-TemporalOnly (neural),ablation,10.0,10.0,0.03234477,0.03459125,True,0.0,0.000182672,0.00109603,True,-0.0022464810000000085,-0.0027518871249999975,-0.0017712233999999977,-1.0,pointwise_multiplicity_unadjusted,,,,,
opsd,24,mape,HyG-LoadFormer (neural) vs MLP,baseline,10.0,10.0,0.03234477,0.03371542,True,8.0,0.00170625,0.00853125,True,-0.0013706450000000037,-0.001988969199999997,-0.0008034946000000032,-0.84,pointwise_multiplicity_unadjusted,,,,,
simbench,1,normalized_mae,HyG-LoadFormer (neural) vs Ablation-EqualNeighbors (neural),ablation,10.0,10.0,0.03334857,0.03346122,True,43.0,0.623176,1.0,False,-0.00011264600000000097,-0.0004867251749999947,0.000245069799999994,-0.14,pointwise_multiplicity_unadjusted,,,,,
simbench,1,normalized_mae,HyG-LoadFormer (neural) vs Ablation-EuclideanGraph (neural),ablation,10.0,10.0,0.03334857,0.03342401,True,42.0,0.57075,1.0,False,-7.543800000000406e-05,-0.0004159599750000086,0.00026413669999999725,-0.16000000000000003,pointwise_multiplicity_unadjusted,,,,,
