horizon_hours,method,method_role,family,mape,normalized_mae,mae,rmse,peak_load_error,mape_seed_std
1,Persistence,baseline,stdlib,0.14812336,0.04316202,0.03976256,0.07411981,0.04582123,
1,HyG-LoadFormer,proposed,stdlib,0.14812336,0.04316202,0.03976256,0.07411981,0.04582123,
1,Ablation-EuclideanGraph (neural),ablation,neural,0.17356467,0.03326713,0.03064700,0.04700327,0.04889149,0.00268826
1,Ablation-EqualNeighbors (neural),ablation,neural,0.17388739,0.03338756,0.03075794,0.04703786,0.04926182,0.00291040
1,Ablation-FixedCurvature (neural),ablation,neural,0.17493626,0.03330374,0.03068072,0.04705671,0.04893444,0.00156202
1,HyG-LoadFormer (neural),proposed,neural,0.17526892,0.03325591,0.03063666,0.04696430,0.04859568,0.00242133
1,Ablation-NoCalendar (neural),ablation,neural,0.17550518,0.03341392,0.03078223,0.04697706,0.04655391,0.00432455
1,MLP,baseline,neural,0.17957017,0.03403137,0.03135104,0.04771135,0.04801023,0.01140072
1,Ablation-TemporalOnly (neural),ablation,neural,0.18497825,0.03492706,0.03217619,0.04874250,0.04524630,0.00476080
1,Ablation-NoCalendar,ablation,stdlib,0.19855467,0.04331806,0.03990631,0.06719057,0.05271141,
1,TCN,baseline,neural,0.22451650,0.03811722,0.03511509,0.05210800,0.04435666,0.01341324
1,Euclidean-GCN Ridge,baseline,stdlib,0.23451101,0.04471764,0.04119566,0.06474832,0.05140197,
1,GCN-Temporal Ridge,baseline,stdlib,0.23451101,0.04471764,0.04119566,0.06474832,0.05140197,
1,Ablation-EuclideanGraph,ablation,stdlib,0.23451101,0.04471764,0.04119566,0.06474832,0.05140197,
1,Ablation-FixedCurvature,ablation,stdlib,0.23474454,0.04471369,0.04119202,0.06475640,0.05137007,
1,AR-Calendar Ridge,baseline,stdlib,0.23545150,0.04472670,0.04120400,0.06484501,0.05104261,
1,Ablation-TemporalOnly,ablation,stdlib,0.23545150,0.04472670,0.04120400,0.06484501,0.05104261,
1,Ablation-EqualNeighbors,ablation,stdlib,0.23697893,0.04482133,0.04129118,0.06477290,0.05116463,
1,PatchTST-lite,baseline,neural,0.27392203,0.04124449,0.03799606,0.05435379,0.05191354,0.03047211
1,DLinear,baseline,neural,0.28068178,0.04133336,0.03807793,0.05477337,0.05274891,0.00821649
1,LSTM,baseline,neural,0.38476531,0.05674516,0.05227589,0.07477450,0.07411692,0.01879606
1,Weekly-168h,baseline,stdlib,0.41359891,0.09259662,0.08530366,0.17141775,0.23176472,
1,Seasonal-24h,baseline,stdlib,0.45796328,0.08109634,0.07470915,0.14740919,0.13205326,
1,MovingAverage-24h,baseline,stdlib,1.05317007,0.14625664,0.13473739,0.17734966,0.18391133,
24,Ablation-TemporalOnly (neural),ablation,neural,0.34509578,0.05745835,0.05293290,0.09219718,0.08931437,0.01449974
24,MLP,baseline,neural,0.34851375,0.05979284,0.05508352,0.09309355,0.11023972,0.01529006
24,HyG-LoadFormer (neural),proposed,neural,0.35695735,0.05853985,0.05392923,0.09101865,0.10475192,0.02458132
24,Ablation-EqualNeighbors (neural),ablation,neural,0.35966381,0.05871606,0.05409156,0.09293020,0.08788186,0.02097176
24,Ablation-FixedCurvature (neural),ablation,neural,0.36123129,0.05864915,0.05402991,0.09202378,0.10244073,0.02783825
24,Ablation-NoCalendar (neural),ablation,neural,0.36723236,0.05964616,0.05494840,0.09357654,0.09724337,0.02827726
24,Ablation-EuclideanGraph (neural),ablation,neural,0.39369412,0.06317142,0.05819600,0.09681788,0.09466016,0.02112090
24,TCN,baseline,neural,0.40324111,0.06325750,0.05827531,0.09583291,0.09942145,0.00602381
24,Weekly-168h,baseline,stdlib,0.41451949,0.09253661,0.08524838,0.17158667,0.23273668,
24,PatchTST-lite,baseline,neural,0.44478652,0.06649389,0.06125680,0.10316765,0.09853534,0.00848332
24,Persistence,baseline,stdlib,0.46003461,0.08103131,0.07464925,0.14742045,0.13200120,
24,HyG-LoadFormer,proposed,stdlib,0.48224558,0.07822078,0.07206007,0.11923902,0.14990985,
24,DLinear,baseline,neural,0.53373145,0.07820647,0.07204689,0.11192144,0.14406843,0.00320648
24,Ablation-NoCalendar,ablation,stdlib,0.69330349,0.09513336,0.08764061,0.13737237,0.17038706,
24,AR-Calendar Ridge,baseline,stdlib,0.69531841,0.09658434,0.08897731,0.13231659,0.16812329,
24,Ablation-TemporalOnly,ablation,stdlib,0.69531841,0.09658434,0.08897731,0.13231659,0.16812329,
24,Euclidean-GCN Ridge,baseline,stdlib,0.70044661,0.09671564,0.08909827,0.13052798,0.15959922,
24,GCN-Temporal Ridge,baseline,stdlib,0.70044661,0.09671564,0.08909827,0.13052798,0.15959922,
24,Ablation-EuclideanGraph,ablation,stdlib,0.70044661,0.09671564,0.08909827,0.13052798,0.15959922,
24,Ablation-FixedCurvature,ablation,stdlib,0.71080463,0.09743379,0.08975985,0.13114299,0.16288813,
24,LSTM,baseline,neural,0.71576907,0.09722290,0.08956558,0.13118415,0.15996933,0.03076735
24,Ablation-EqualNeighbors,ablation,stdlib,0.72244975,0.09803140,0.09031040,0.13143059,0.16316917,
24,Seasonal-24h,baseline,stdlib,0.83618049,0.12337898,0.11366159,0.20109888,0.20054535,
24,MovingAverage-24h,baseline,stdlib,1.27694866,0.17209088,0.15853692,0.20458062,0.23283027,
