horizon_hours,method,method_role,mape,mae,rmse,peak_load_error,smape,normalized_mae,rank_metric,rank_score
1,Persistence,baseline,0.14812336,0.03976256,0.07411981,0.04582123,0.13672316,0.04316202,mape_lower_is_better,0.14812336
1,HyG-LoadFormer,proposed,0.14812336,0.03976256,0.07411981,0.04582123,0.13672316,0.04316202,mape_lower_is_better,0.14812336
1,Ablation-NoCalendar,ablation,0.19855467,0.03990631,0.06719057,0.05271141,0.17587620,0.04331806,mape_lower_is_better,0.19855467
1,Euclidean-GCN Ridge,baseline,0.23451101,0.04119566,0.06474832,0.05140197,0.21817699,0.04471764,mape_lower_is_better,0.23451101
1,GCN-Temporal Ridge,baseline,0.23451101,0.04119566,0.06474832,0.05140197,0.21817699,0.04471764,mape_lower_is_better,0.23451101
1,Ablation-EuclideanGraph,ablation,0.23451101,0.04119566,0.06474832,0.05140197,0.21817699,0.04471764,mape_lower_is_better,0.23451101
1,Ablation-FixedCurvature,ablation,0.23474454,0.04119202,0.06475640,0.05137007,0.21800519,0.04471369,mape_lower_is_better,0.23474454
1,AR-Calendar Ridge,baseline,0.23545150,0.04120400,0.06484501,0.05104261,0.21769749,0.04472670,mape_lower_is_better,0.23545150
1,Ablation-TemporalOnly,ablation,0.23545150,0.04120400,0.06484501,0.05104261,0.21769749,0.04472670,mape_lower_is_better,0.23545150
1,Ablation-EqualNeighbors,ablation,0.23697893,0.04129118,0.06477290,0.05116463,0.21938938,0.04482133,mape_lower_is_better,0.23697893
1,Weekly-168h,baseline,0.41359891,0.08530366,0.17141775,0.23176472,0.25311560,0.09259662,mape_lower_is_better,0.41359891
1,Seasonal-24h,baseline,0.45796328,0.07470915,0.14740919,0.13205326,0.25678145,0.08109634,mape_lower_is_better,0.45796328
1,MovingAverage-24h,baseline,1.05317007,0.13473739,0.17734966,0.18391133,0.49666325,0.14625664,mape_lower_is_better,1.05317007
24,Weekly-168h,baseline,0.41451949,0.08524838,0.17158667,0.23273668,0.25323715,0.09253661,mape_lower_is_better,0.41451949
24,HyG-LoadFormer,proposed,0.41451949,0.08524838,0.17158667,0.23273668,0.25323715,0.09253661,mape_lower_is_better,0.41451949
24,Persistence,baseline,0.46003461,0.07464925,0.14742045,0.13200120,0.25654610,0.08103131,mape_lower_is_better,0.46003461
24,Ablation-NoCalendar,ablation,0.69330349,0.08764061,0.13737237,0.17038706,0.37600077,0.09513336,mape_lower_is_better,0.69330349
24,AR-Calendar Ridge,baseline,0.69531841,0.08897731,0.13231659,0.16812329,0.41800527,0.09658434,mape_lower_is_better,0.69531841
24,Ablation-TemporalOnly,ablation,0.69531841,0.08897731,0.13231659,0.16812329,0.41800527,0.09658434,mape_lower_is_better,0.69531841
24,Euclidean-GCN Ridge,baseline,0.70044661,0.08909827,0.13052798,0.15959922,0.41781265,0.09671564,mape_lower_is_better,0.70044661
24,GCN-Temporal Ridge,baseline,0.70044661,0.08909827,0.13052798,0.15959922,0.41781265,0.09671564,mape_lower_is_better,0.70044661
24,Ablation-EuclideanGraph,ablation,0.70044661,0.08909827,0.13052798,0.15959922,0.41781265,0.09671564,mape_lower_is_better,0.70044661
24,Ablation-FixedCurvature,ablation,0.71080463,0.08975985,0.13114299,0.16288813,0.42079586,0.09743379,mape_lower_is_better,0.71080463
24,Ablation-EqualNeighbors,ablation,0.72244975,0.09031040,0.13143059,0.16316917,0.42556806,0.09803140,mape_lower_is_better,0.72244975
24,Seasonal-24h,baseline,0.83618049,0.11366159,0.20109888,0.20054535,0.38240246,0.12337898,mape_lower_is_better,0.83618049
24,MovingAverage-24h,baseline,1.27694866,0.15853692,0.20458062,0.23283027,0.59463253,0.17209088,mape_lower_is_better,1.27694866
