horizon_hours,method,method_role,mean_mape,std_mape,mean_normalized_mae,std_normalized_mae,mean_peak_load_error,splits,rank_metric
1,Persistence,baseline,0.14036821,0.00552005,0.04401900,0.00099971,0.04199533,3,mean_mape_lower_is_better
1,HyG-LoadFormer,proposed,0.32045582,0.31643228,0.04347893,0.00144896,0.04157750,3,mean_mape_lower_is_better
1,Ablation-NoCalendar,ablation,1.23717172,1.83248518,0.04324563,0.00089514,0.04776603,3,mean_mape_lower_is_better
1,Ablation-FixedCurvature,ablation,3.85751127,6.28815982,0.04510219,0.00046047,0.04783060,3,mean_mape_lower_is_better
1,Euclidean-GCN Ridge,baseline,3.95531217,6.45591953,0.04516288,0.00044792,0.04782220,3,mean_mape_lower_is_better
1,AR-Calendar Ridge,baseline,4.01222271,6.55429967,0.04510953,0.00044147,0.04744026,3,mean_mape_lower_is_better
1,Weekly-168h,baseline,45.31986848,77.76333652,0.09231718,0.00214427,0.21410770,3,mean_mape_lower_is_better
24,Persistence,baseline,8.77784265,14.39045421,0.08361752,0.00168253,0.12034530,3,mean_mape_lower_is_better
24,Ablation-FixedCurvature,ablation,11.92564962,19.39978518,0.10109601,0.00249719,0.15516532,3,mean_mape_lower_is_better
24,Euclidean-GCN Ridge,baseline,11.99305216,19.53046206,0.10041764,0.00258122,0.15279525,3,mean_mape_lower_is_better
24,AR-Calendar Ridge,baseline,12.64396656,20.66607832,0.10085132,0.00171700,0.16083031,3,mean_mape_lower_is_better
24,Ablation-NoCalendar,ablation,16.03945338,26.55000178,0.09887603,0.00169668,0.16127279,3,mean_mape_lower_is_better
24,HyG-LoadFormer,proposed,34.11680885,58.24677156,0.07951836,0.00283821,0.13915740,3,mean_mape_lower_is_better
24,Weekly-168h,baseline,46.25158854,79.39299632,0.09300752,0.00300961,0.21316785,3,mean_mape_lower_is_better
