paper,experiment_id,method,method_role,repeat,hypervolume_proxy,constraint_violation_rate,investment_cost_index,loss_index,voltage_risk,hosting_capacity,der_readiness,flexibility_ratio,subnet_coverage,kind_diversity,reliability_proxy,survivability_rate,expected_loss_index,portfolio_size,runtime_s,source_status
p3,base_distribution_planning,CARS-MODE,proposed,1,0.57008894,0.04876538,0.96462327,0.11903848,0.18834244,0.00665392,0.96774194,0.57142857,0.83333333,0.75000000,0.63462126,0.73450929,0.12851956,7,0.00012720,public_simbench_der_storage_stress_v5
p3,base_distribution_planning,CARS-MODE,proposed,2,0.57008894,0.04876538,0.96462327,0.11903848,0.18834244,0.00665392,0.96774194,0.57142857,0.83333333,0.75000000,0.63462126,0.73450929,0.12851956,7,0.00006310,public_simbench_der_storage_stress_v5
p3,base_distribution_planning,CARS-MODE,proposed,3,0.57008894,0.04876538,0.96462327,0.11903848,0.18834244,0.00665392,0.96774194,0.57142857,0.83333333,0.75000000,0.63462126,0.73450929,0.12851956,7,0.00005710,public_simbench_der_storage_stress_v5
p3,base_distribution_planning,NSGA-II,baseline,1,0.57008894,0.04876538,0.96462327,0.11903848,0.18834244,0.00665392,0.96774194,0.57142857,0.83333333,0.75000000,0.63462126,0.73450929,0.12851956,7,0.00012120,public_simbench_der_storage_stress_v5
p3,base_distribution_planning,NSGA-II,baseline,2,0.57008894,0.04876538,0.96462327,0.11903848,0.18834244,0.00665392,0.96774194,0.57142857,0.83333333,0.75000000,0.63462126,0.73450929,0.12851956,7,0.00010070,public_simbench_der_storage_stress_v5
p3,base_distribution_planning,NSGA-II,baseline,3,0.57008894,0.04876538,0.96462327,0.11903848,0.18834244,0.00665392,0.96774194,0.57142857,0.83333333,0.75000000,0.63462126,0.73450929,0.12851956,7,0.00009670,public_simbench_der_storage_stress_v5
p3,base_distribution_planning,MOEA/D,baseline,1,0.57008894,0.04876538,0.96462327,0.11903848,0.18834244,0.00665392,0.96774194,0.57142857,0.83333333,0.75000000,0.63462126,0.73450929,0.12851956,7,0.00010050,public_simbench_der_storage_stress_v5
p3,base_distribution_planning,MOEA/D,baseline,2,0.57008894,0.04876538,0.96462327,0.11903848,0.18834244,0.00665392,0.96774194,0.57142857,0.83333333,0.75000000,0.63462126,0.73450929,0.12851956,7,0.00012080,public_simbench_der_storage_stress_v5
p3,base_distribution_planning,MOEA/D,baseline,3,0.57008894,0.04876538,0.96462327,0.11903848,0.18834244,0.00665392,0.96774194,0.57142857,0.83333333,0.75000000,0.63462126,0.73450929,0.12851956,7,0.00010710,public_simbench_der_storage_stress_v5
p3,base_distribution_planning,Standard DE,baseline,1,0.49816156,0.05507643,0.74656770,0.12358964,0.18292812,0.00185707,0.46594982,0.11111111,1.00000000,0.50000000,1.00000000,1.00000000,0.12358964,9,0.00012270,public_simbench_der_storage_stress_v5
p3,base_distribution_planning,Standard DE,baseline,2,0.51601131,0.05481180,0.93643210,0.11613739,0.18843706,0.00334737,0.81797235,0.42857143,0.66666667,1.00000000,0.67262664,0.79345212,0.12333377,7,0.00013270,public_simbench_der_storage_stress_v5
p3,base_distribution_planning,Standard DE,baseline,3,0.57070134,0.05301300,0.72534020,0.12369348,0.18397451,0.00186751,0.71684588,0.33333333,1.00000000,0.75000000,0.87492359,0.98209349,0.12435796,9,0.00011310,public_simbench_der_storage_stress_v5
p3,base_distribution_planning,PSO,baseline,1,0.51194317,0.05370459,0.74251847,0.12222059,0.18729628,0.00332871,0.64516129,0.28571429,1.00000000,0.75000000,0.77709056,0.87222989,0.12690543,7,0.00012730,public_simbench_der_storage_stress_v5
p3,base_distribution_planning,PSO,baseline,2,0.60943422,0.04719977,0.96414147,0.12042580,0.18413622,0.00518692,0.82437276,0.44444444,1.00000000,0.75000000,0.80630520,0.91631273,0.12344923,9,0.00011050,public_simbench_der_storage_stress_v5
p3,base_distribution_planning,PSO,baseline,3,0.56576045,0.05232411,0.73701126,0.12363345,0.18325201,0.00184883,0.68100358,0.33333333,1.00000000,0.75000000,0.88745083,0.99937295,0.12365671,9,0.00010890,public_simbench_der_storage_stress_v5
p3,base_distribution_planning,GA,baseline,1,0.52046155,0.05974210,0.96464622,0.11308062,0.18736924,0.00001508,0.78629032,0.37500000,0.83333333,1.00000000,0.71426654,0.85878402,0.11787125,8,0.00011850,public_simbench_der_storage_stress_v5
p3,base_distribution_planning,GA,baseline,2,0.57411123,0.04965804,0.88705845,0.12171879,0.18325177,0.00332985,0.68100358,0.33333333,1.00000000,0.75000000,0.88210138,0.99142981,0.12203173,9,0.00010900,public_simbench_der_storage_stress_v5
p3,base_distribution_planning,GA,baseline,3,0.46760750,0.06203500,0.74061366,0.12324486,0.18428983,0.00148566,0.44354839,0.12500000,1.00000000,0.50000000,0.93757837,1.00000000,0.12324486,8,0.00011820,public_simbench_der_storage_stress_v5
p3,base_distribution_planning,Weighted Sum,baseline,1,0.45671015,0.06473066,0.40383498,0.12599887,0.19240373,0.00004059,1.00000000,1.00000000,1.00000000,0.25000000,0.40454356,0.50908782,0.14455519,7,0.00007840,public_simbench_der_storage_stress_v5
p3,base_distribution_planning,Weighted Sum,baseline,2,0.45671015,0.06473066,0.40383498,0.12599887,0.19240373,0.00004059,1.00000000,1.00000000,1.00000000,0.25000000,0.40454356,0.50908782,0.14455519,7,0.00007530,public_simbench_der_storage_stress_v5
p3,base_distribution_planning,Weighted Sum,baseline,3,0.45671015,0.06473066,0.40383498,0.12599887,0.19240373,0.00004059,1.00000000,1.00000000,1.00000000,0.25000000,0.40454356,0.50908782,0.14455519,7,0.00007420,public_simbench_der_storage_stress_v5
p3,base_distribution_planning,Ablation-NoRepair,ablation,1,0.53802065,0.23029685,1.18778483,0.11826260,0.18208908,0.00665392,0.77419355,0.40000000,1.00000000,0.75000000,0.87954983,0.98850929,0.11867028,10,0.00007350,public_simbench_der_storage_stress_v5
p3,base_distribution_planning,Ablation-NoRepair,ablation,2,0.53802065,0.23029685,1.18778483,0.11826260,0.18208908,0.00665392,0.77419355,0.40000000,1.00000000,0.75000000,0.87954983,0.98850929,0.11867028,10,0.00007290,public_simbench_der_storage_stress_v5
p3,base_distribution_planning,Ablation-NoRepair,ablation,3,0.53802065,0.23029685,1.18778483,0.11826260,0.18208908,0.00665392,0.77419355,0.40000000,1.00000000,0.75000000,0.87954983,0.98850929,0.11867028,10,0.00007280,public_simbench_der_storage_stress_v5
p3,base_distribution_planning,Ablation-FixedDE,ablation,1,0.55593625,0.05127785,0.81910710,0.12093487,0.18818073,0.00516826,0.82949309,0.42857143,1.00000000,0.75000000,0.70018574,0.79530201,0.12836141,7,0.00010380,public_simbench_der_storage_stress_v5
p3,base_distribution_planning,Ablation-FixedDE,ablation,2,0.57210567,0.04913063,0.89428531,0.12066615,0.18605873,0.00518228,0.76612903,0.37500000,1.00000000,0.75000000,0.78487737,0.88449565,0.12484739,8,0.00009430,public_simbench_der_storage_stress_v5
p3,base_distribution_planning,Ablation-FixedDE,ablation,3,0.55742282,0.05121508,0.81989813,0.12092478,0.18814318,0.00518228,0.82949309,0.42857143,1.00000000,0.75000000,0.70323452,0.79982898,0.12818647,7,0.00010790,public_simbench_der_storage_stress_v5
p3,base_distribution_planning,Ablation-NoDiversity,ablation,1,0.47221903,0.05809762,0.59089958,0.12324902,0.19240373,0.00372562,1.00000000,1.00000000,1.00000000,0.25000000,0.39954440,0.50092252,0.14170226,7,0.00008070,public_simbench_der_storage_stress_v5
p3,base_distribution_planning,Ablation-NoDiversity,ablation,2,0.47221903,0.05809762,0.59089958,0.12324902,0.19240373,0.00372562,1.00000000,1.00000000,1.00000000,0.25000000,0.39954440,0.50092252,0.14170226,7,0.00007770,public_simbench_der_storage_stress_v5
p3,base_distribution_planning,Ablation-NoDiversity,ablation,3,0.47221903,0.05809762,0.59089958,0.12324902,0.19240373,0.00372562,1.00000000,1.00000000,1.00000000,0.25000000,0.39954440,0.50092252,0.14170226,7,0.00007680,public_simbench_der_storage_stress_v5
p3,base_distribution_planning,Ablation-NoDER,ablation,1,0.40884740,0.08699148,0.74387187,0.12462400,0.17995922,0.00000000,0.32258065,0.00000000,1.00000000,0.25000000,1.00000000,1.00000000,0.12462400,10,0.00005200,public_simbench_der_storage_stress_v5
p3,base_distribution_planning,Ablation-NoDER,ablation,2,0.40884740,0.08699148,0.74387187,0.12462400,0.17995922,0.00000000,0.32258065,0.00000000,1.00000000,0.25000000,1.00000000,1.00000000,0.12462400,10,0.00005010,public_simbench_der_storage_stress_v5
p3,base_distribution_planning,Ablation-NoDER,ablation,3,0.40884740,0.08699148,0.74387187,0.12462400,0.17995922,0.00000000,0.32258065,0.00000000,1.00000000,0.25000000,1.00000000,1.00000000,0.12462400,10,0.00004960,public_simbench_der_storage_stress_v5
p3,der_siting_sizing,CARS-MODE,proposed,1,0.56332113,0.06136538,0.96462327,0.11903848,0.18834244,0.00665392,0.96774194,0.57142857,0.83333333,0.75000000,0.63462126,0.73450929,0.12851956,7,0.00005730,public_simbench_der_storage_stress_v5
p3,der_siting_sizing,CARS-MODE,proposed,2,0.56332113,0.06136538,0.96462327,0.11903848,0.18834244,0.00665392,0.96774194,0.57142857,0.83333333,0.75000000,0.63462126,0.73450929,0.12851956,7,0.00005380,public_simbench_der_storage_stress_v5
p3,der_siting_sizing,CARS-MODE,proposed,3,0.56332113,0.06136538,0.96462327,0.11903848,0.18834244,0.00665392,0.96774194,0.57142857,0.83333333,0.75000000,0.63462126,0.73450929,0.12851956,7,0.00005220,public_simbench_der_storage_stress_v5
p3,der_siting_sizing,NSGA-II,baseline,1,0.56332113,0.06136538,0.96462327,0.11903848,0.18834244,0.00665392,0.96774194,0.57142857,0.83333333,0.75000000,0.63462126,0.73450929,0.12851956,7,0.00009720,public_simbench_der_storage_stress_v5
p3,der_siting_sizing,NSGA-II,baseline,2,0.56332113,0.06136538,0.96462327,0.11903848,0.18834244,0.00665392,0.96774194,0.57142857,0.83333333,0.75000000,0.63462126,0.73450929,0.12851956,7,0.00009530,public_simbench_der_storage_stress_v5
p3,der_siting_sizing,NSGA-II,baseline,3,0.56332113,0.06136538,0.96462327,0.11903848,0.18834244,0.00665392,0.96774194,0.57142857,0.83333333,0.75000000,0.63462126,0.73450929,0.12851956,7,0.00009380,public_simbench_der_storage_stress_v5
