paper,experiment_id,method,method_role,repeat,hypervolume_proxy,constraint_violation_rate,investment_cost_index,loss_index,voltage_risk,hosting_capacity,reliability_proxy,survivability_rate,expected_loss_index,portfolio_size,runtime_s,source_status
p3,base_distribution_planning,CARS-MODE,proposed,1,0.51724387,0.02537353,0.96242183,0.12006557,0.18537353,0.00085589,0.79316894,0.89610384,0.12380788,8,0.00020390,public_simbench_planning_v1
p3,base_distribution_planning,CARS-MODE,proposed,2,0.51724387,0.02537353,0.96242183,0.12006557,0.18537353,0.00085589,0.79316894,0.89610384,0.12380788,8,0.00010740,public_simbench_planning_v1
p3,base_distribution_planning,CARS-MODE,proposed,3,0.51724387,0.02537353,0.96242183,0.12006557,0.18537353,0.00085589,0.79316894,0.89610384,0.12380788,8,0.00010130,public_simbench_planning_v1
p3,base_distribution_planning,NSGA-II,baseline,1,0.45401196,0.02834244,0.96462327,0.11903848,0.18834244,0.00118292,0.63462126,0.73450929,0.12851956,7,0.00020910,public_simbench_planning_v1
p3,base_distribution_planning,NSGA-II,baseline,2,0.47804974,0.02818073,0.81910710,0.12093487,0.18818073,0.00091880,0.70018574,0.79530201,0.12836141,7,0.00020290,public_simbench_planning_v1
p3,base_distribution_planning,NSGA-II,baseline,3,0.47926288,0.02814318,0.81989813,0.12092478,0.18814318,0.00092129,0.70323452,0.79982898,0.12818647,7,0.00011230,public_simbench_planning_v1
p3,base_distribution_planning,MOEA/D,baseline,1,0.47926288,0.02814318,0.81989813,0.12092478,0.18814318,0.00092129,0.70323452,0.79982898,0.12818647,7,0.00009880,public_simbench_planning_v1
p3,base_distribution_planning,MOEA/D,baseline,2,0.48844216,0.02625822,0.88896326,0.12069452,0.18625822,0.00091963,0.72161357,0.82711909,0.12695425,8,0.00008790,public_simbench_planning_v1
p3,base_distribution_planning,MOEA/D,baseline,3,0.47926288,0.02814318,0.81989813,0.12092478,0.18814318,0.00092129,0.70323452,0.79982898,0.12818647,7,0.00010300,public_simbench_planning_v1
p3,base_distribution_planning,Standard DE,baseline,1,0.59714204,0.02292812,0.74656770,0.12358964,0.18292812,0.00033015,1.00000000,1.00000000,0.12358964,9,0.00012980,public_simbench_planning_v1
p3,base_distribution_planning,Standard DE,baseline,2,0.49583262,0.02549817,0.80863463,0.12198842,0.18549817,0.00059591,0.74135214,0.85572434,0.12726840,8,0.00013810,public_simbench_planning_v1
p3,base_distribution_planning,Standard DE,baseline,3,0.54248125,0.02517428,0.81769668,0.12195187,0.18517428,0.00059426,0.86178219,0.96142352,0.12336321,8,0.00012320,public_simbench_planning_v1
p3,base_distribution_planning,PSO,baseline,1,0.51183443,0.02609628,0.80020918,0.12204754,0.18609628,0.00059280,0.78488250,0.88495672,0.12625976,8,0.00013570,public_simbench_planning_v1
p3,base_distribution_planning,PSO,baseline,2,0.45606376,0.02830512,0.81536710,0.12094305,0.18830512,0.00092212,0.64301949,0.74697939,0.13012337,7,0.00013510,public_simbench_planning_v1
p3,base_distribution_planning,PSO,baseline,3,0.53150494,0.02499091,0.92249944,0.11760938,0.18499091,0.00032889,0.82651727,0.94982755,0.11937960,9,0.00011690,public_simbench_planning_v1
