paper_id,experiment_id,method,method_role,repeat,constraint_violation_rate,hypervolume,igd,investment_cost_index,quality_index,runtime_s,scenario_status
mintou_p3,base_distribution_planning,CARS-MODE,proposed,1,0.077597,0.706564,0.273968,0.753051,0.889368,1.284738,synthetic_smoke_v0
mintou_p3,base_distribution_planning,CARS-MODE,proposed,2,0.070963,0.713005,0.285573,0.764532,0.901600,1.207249,synthetic_smoke_v0
mintou_p3,base_distribution_planning,CARS-MODE,proposed,3,0.081453,0.715377,0.276491,0.762945,0.902086,1.029382,synthetic_smoke_v0
mintou_p3,base_distribution_planning,CARS-MODE,proposed,4,0.068159,0.726363,0.265558,0.743039,0.916831,1.381542,synthetic_smoke_v0
mintou_p3,base_distribution_planning,CARS-MODE,proposed,5,0.076302,0.715996,0.274200,0.767514,0.892806,1.185018,synthetic_smoke_v0
mintou_p3,base_distribution_planning,Standard DE,baseline,1,0.108382,0.577466,0.342139,0.802582,0.732892,0.918565,synthetic_smoke_v0
mintou_p3,base_distribution_planning,Standard DE,baseline,2,0.097057,0.599113,0.344310,0.808413,0.740811,0.924271,synthetic_smoke_v0
mintou_p3,base_distribution_planning,Standard DE,baseline,3,0.101230,0.578802,0.349948,0.814512,0.715023,1.210205,synthetic_smoke_v0
mintou_p3,base_distribution_planning,Standard DE,baseline,4,0.111064,0.582074,0.347820,0.825523,0.717674,1.145894,synthetic_smoke_v0
mintou_p3,base_distribution_planning,Standard DE,baseline,5,0.106192,0.588927,0.344441,0.817122,0.736076,1.125193,synthetic_smoke_v0
mintou_p3,base_distribution_planning,NSGA-II,baseline,1,0.095012,0.654735,0.314798,0.771322,0.816064,1.576142,synthetic_smoke_v0
mintou_p3,base_distribution_planning,NSGA-II,baseline,2,0.090701,0.664123,0.305279,0.774013,0.821105,1.559151,synthetic_smoke_v0
mintou_p3,base_distribution_planning,NSGA-II,baseline,3,0.098097,0.643083,0.306717,0.783287,0.798142,1.485184,synthetic_smoke_v0
mintou_p3,base_distribution_planning,NSGA-II,baseline,4,0.092550,0.645948,0.299893,0.785422,0.816908,1.333680,synthetic_smoke_v0
mintou_p3,base_distribution_planning,NSGA-II,baseline,5,0.088569,0.636934,0.319981,0.792891,0.795895,1.578529,synthetic_smoke_v0
mintou_p3,base_distribution_planning,MOEA/D,baseline,1,0.089085,0.634838,0.314830,0.787596,0.781081,1.278356,synthetic_smoke_v0
mintou_p3,base_distribution_planning,MOEA/D,baseline,2,0.096008,0.624043,0.318248,0.806823,0.770426,1.279211,synthetic_smoke_v0
mintou_p3,base_distribution_planning,MOEA/D,baseline,3,0.094654,0.634649,0.311798,0.780737,0.794351,1.090231,synthetic_smoke_v0
mintou_p3,base_distribution_planning,MOEA/D,baseline,4,0.094438,0.632388,0.316456,0.796837,0.786187,1.307616,synthetic_smoke_v0
mintou_p3,base_distribution_planning,MOEA/D,baseline,5,0.090503,0.632968,0.312570,0.793630,0.790295,1.139685,synthetic_smoke_v0
mintou_p3,base_distribution_planning,PSO,baseline,1,0.098880,0.588658,0.345365,0.809016,0.734654,1.114549,synthetic_smoke_v0
mintou_p3,base_distribution_planning,PSO,baseline,2,0.103406,0.575473,0.341472,0.817587,0.722425,1.056679,synthetic_smoke_v0
mintou_p3,base_distribution_planning,PSO,baseline,3,0.101196,0.568571,0.359177,0.817576,0.708904,1.123832,synthetic_smoke_v0
mintou_p3,base_distribution_planning,PSO,baseline,4,0.104123,0.560578,0.357276,0.812973,0.710987,1.014995,synthetic_smoke_v0
mintou_p3,base_distribution_planning,PSO,baseline,5,0.108307,0.582345,0.333633,0.810746,0.728209,1.056980,synthetic_smoke_v0
mintou_p3,base_distribution_planning,GA,baseline,1,0.103515,0.553554,0.353363,0.813975,0.694738,1.153378,synthetic_smoke_v0
mintou_p3,base_distribution_planning,GA,baseline,2,0.111388,0.569582,0.352653,0.814407,0.702131,1.118589,synthetic_smoke_v0
mintou_p3,base_distribution_planning,GA,baseline,3,0.112129,0.538394,0.363345,0.821535,0.680277,0.949489,synthetic_smoke_v0
mintou_p3,base_distribution_planning,GA,baseline,4,0.113898,0.566401,0.355617,0.825020,0.698662,0.946315,synthetic_smoke_v0
mintou_p3,base_distribution_planning,GA,baseline,5,0.106400,0.574341,0.341547,0.811072,0.710355,0.973081,synthetic_smoke_v0
mintou_p3,base_distribution_planning,Weighted Sum,baseline,1,0.114238,0.539286,0.371289,0.832155,0.669513,0.499702,synthetic_smoke_v0
mintou_p3,base_distribution_planning,Weighted Sum,baseline,2,0.122892,0.505702,0.370544,0.843068,0.639554,0.570338,synthetic_smoke_v0
mintou_p3,base_distribution_planning,Weighted Sum,baseline,3,0.117659,0.522098,0.369863,0.830943,0.649600,0.547639,synthetic_smoke_v0
mintou_p3,base_distribution_planning,Weighted Sum,baseline,4,0.111213,0.524091,0.378182,0.831063,0.656586,0.499645,synthetic_smoke_v0
mintou_p3,base_distribution_planning,Weighted Sum,baseline,5,0.109540,0.515998,0.368333,0.829587,0.654299,0.491285,synthetic_smoke_v0
mintou_p3,base_distribution_planning,fixed_parameters,ablation,1,0.079748,0.692123,0.283238,0.773637,0.875607,0.881300,synthetic_smoke_v0
mintou_p3,base_distribution_planning,fixed_parameters,ablation,2,0.079377,0.685319,0.300592,0.776451,0.853993,1.095766,synthetic_smoke_v0
mintou_p3,base_distribution_planning,fixed_parameters,ablation,3,0.078863,0.686511,0.286747,0.773838,0.852629,1.123321,synthetic_smoke_v0
mintou_p3,base_distribution_planning,fixed_parameters,ablation,4,0.083519,0.698507,0.288965,0.764699,0.865284,1.052452,synthetic_smoke_v0
mintou_p3,base_distribution_planning,fixed_parameters,ablation,5,0.079561,0.685543,0.291609,0.760034,0.863678,1.097558,synthetic_smoke_v0
mintou_p3,base_distribution_planning,no_strategy_adaptation,ablation,1,0.088133,0.670191,0.301406,0.768650,0.848592,1.082026,synthetic_smoke_v0
mintou_p3,base_distribution_planning,no_strategy_adaptation,ablation,2,0.087101,0.694241,0.288916,0.769199,0.866502,0.934924,synthetic_smoke_v0
mintou_p3,base_distribution_planning,no_strategy_adaptation,ablation,3,0.084287,0.685653,0.291959,0.769970,0.868025,0.992076,synthetic_smoke_v0
mintou_p3,base_distribution_planning,no_strategy_adaptation,ablation,4,0.089502,0.680847,0.293245,0.784765,0.838603,1.020951,synthetic_smoke_v0
mintou_p3,base_distribution_planning,no_strategy_adaptation,ablation,5,0.082418,0.675882,0.288092,0.780169,0.847988,0.983818,synthetic_smoke_v0
mintou_p3,base_distribution_planning,no_constraint_repair,ablation,1,0.079455,0.674099,0.290040,0.770586,0.849794,1.155552,synthetic_smoke_v0
mintou_p3,base_distribution_planning,no_constraint_repair,ablation,2,0.088642,0.660642,0.315381,0.782514,0.815010,1.165881,synthetic_smoke_v0
mintou_p3,base_distribution_planning,no_constraint_repair,ablation,3,0.090553,0.676262,0.307680,0.774845,0.842346,1.180619,synthetic_smoke_v0
mintou_p3,base_distribution_planning,no_constraint_repair,ablation,4,0.082872,0.680205,0.303899,0.768598,0.845819,1.294563,synthetic_smoke_v0
mintou_p3,base_distribution_planning,no_constraint_repair,ablation,5,0.091312,0.669057,0.309101,0.783100,0.827174,1.191164,synthetic_smoke_v0
mintou_p3,base_distribution_planning,no_diversity_preservation,ablation,1,0.096261,0.633134,0.324610,0.787012,0.803139,1.056543,synthetic_smoke_v0
mintou_p3,base_distribution_planning,no_diversity_preservation,ablation,2,0.088563,0.649813,0.321296,0.789593,0.803673,1.022370,synthetic_smoke_v0
mintou_p3,base_distribution_planning,no_diversity_preservation,ablation,3,0.092363,0.644556,0.309048,0.781724,0.804470,1.298855,synthetic_smoke_v0
mintou_p3,base_distribution_planning,no_diversity_preservation,ablation,4,0.085786,0.670663,0.312927,0.783449,0.826779,1.004894,synthetic_smoke_v0
mintou_p3,base_distribution_planning,no_diversity_preservation,ablation,5,0.091164,0.660135,0.308853,0.786101,0.826434,1.271011,synthetic_smoke_v0
mintou_p3,base_distribution_planning,weighted_sum_only,ablation,1,0.093476,0.640464,0.327140,0.781848,0.790656,0.942468,synthetic_smoke_v0
mintou_p3,base_distribution_planning,weighted_sum_only,ablation,2,0.096942,0.639317,0.310925,0.778156,0.805522,1.000722,synthetic_smoke_v0
mintou_p3,base_distribution_planning,weighted_sum_only,ablation,3,0.091008,0.642484,0.324801,0.782194,0.793733,1.072628,synthetic_smoke_v0
mintou_p3,base_distribution_planning,weighted_sum_only,ablation,4,0.090068,0.639476,0.315183,0.779763,0.808723,1.296434,synthetic_smoke_v0
mintou_p3,base_distribution_planning,weighted_sum_only,ablation,5,0.090764,0.627916,0.317695,0.783529,0.777923,1.040285,synthetic_smoke_v0
mintou_p3,base_distribution_planning,no_storage_candidates,ablation,1,0.094754,0.628411,0.321136,0.807800,0.773573,1.325992,synthetic_smoke_v0
mintou_p3,base_distribution_planning,no_storage_candidates,ablation,2,0.094778,0.626930,0.329285,0.796085,0.776584,1.149778,synthetic_smoke_v0
mintou_p3,base_distribution_planning,no_storage_candidates,ablation,3,0.091692,0.631234,0.323776,0.793441,0.784214,0.996099,synthetic_smoke_v0
mintou_p3,base_distribution_planning,no_storage_candidates,ablation,4,0.088032,0.628790,0.327697,0.799667,0.787548,1.041710,synthetic_smoke_v0
