paper,experiment_id,param_axis,param_value,population_size,method,method_role,n_seeds,mean_hypervolume,std_hypervolume,min_hypervolume,max_hypervolume,hv_seed_values,mw_p_value_vs_reference,rank_vs_reference,source_status
p3,base_distribution_planning,population_size,20,20,CARS-MODE,proposed,10,0.03821756,0.00177601,0.03488983,0.04064842,0.03853854;0.03637654;0.03675346;0.03798312;0.04007310;0.03903220;0.03488983;0.04064842;0.03947071;0.03840970,0.00100798,proposed_above,public_simbench_planning_sensitivity_v1
p3,base_distribution_planning,population_size,20,20,NSGA-II,baseline_reference,10,0.03287259,0.00314169,0.02670517,0.03702945,0.02670517;0.03323801;0.03277866;0.03360035;0.03661963;0.03702945;0.03157737;0.03514099;0.03261531;0.02942093,0.00100798,reference,public_simbench_planning_sensitivity_v1
p3,base_distribution_planning,population_size,40,40,CARS-MODE,proposed,10,0.04085038,0.00161158,0.03851418,0.04318708,0.03924412;0.03889425;0.04095617;0.04251292;0.04133040;0.04318708;0.04018084;0.04128066;0.03851418;0.04240318,0.00579536,proposed_above,public_simbench_planning_sensitivity_v1
p3,base_distribution_planning,population_size,40,40,NSGA-II,baseline_reference,10,0.03847329,0.00117785,0.03641557,0.03981857,0.03981857;0.03978399;0.03876301;0.03641557;0.03914964;0.03678759;0.03772772;0.03908669;0.03903412;0.03816600,0.00579536,reference,public_simbench_planning_sensitivity_v1
p3,base_distribution_planning,population_size,60,60,CARS-MODE,proposed,10,0.04250096,0.00071486,0.04145442,0.04352031,0.04296102;0.04352031;0.04244946;0.04308385;0.04218364;0.04145442;0.04189050;0.04306677;0.04288387;0.04151573,0.000182672,proposed_above,public_simbench_planning_sensitivity_v1
p3,base_distribution_planning,population_size,60,60,NSGA-II,baseline_reference,10,0.03994602,0.00130745,0.03776752,0.04123823,0.03877909;0.03973541;0.04123823;0.03776752;0.04013159;0.03809473;0.04115848;0.04110708;0.04091436;0.04053376,0.000182672,reference,public_simbench_planning_sensitivity_v1
p3,base_distribution_planning,jde_resample_prob,0.05,40,CARS-MODE,proposed,10,0.04069223,0.00084362,0.03938588,0.04204769,0.04089750;0.04081152;0.04039168;0.04176841;0.04010926;0.04115331;0.03938588;0.04066651;0.03969050;0.04204769,0.00058284,proposed_above,public_simbench_planning_sensitivity_v1
p3,base_distribution_planning,jde_resample_prob,0.05,40,NSGA-II,baseline_reference,10,0.03847329,0.00117785,0.03641557,0.03981857,0.03981857;0.03978399;0.03876301;0.03641557;0.03914964;0.03678759;0.03772772;0.03908669;0.03903412;0.03816600,0.00058284,reference,public_simbench_planning_sensitivity_v1
p3,base_distribution_planning,jde_resample_prob,0.1,40,CARS-MODE,proposed,10,0.04102164,0.00161420,0.03861564,0.04316609,0.04293798;0.04093636;0.04034094;0.03914541;0.03957748;0.04170158;0.04108562;0.03861564;0.04316609;0.04270927,0.00361051,proposed_above,public_simbench_planning_sensitivity_v1
p3,base_distribution_planning,jde_resample_prob,0.1,40,NSGA-II,baseline_reference,10,0.03847329,0.00117785,0.03641557,0.03981857,0.03981857;0.03978399;0.03876301;0.03641557;0.03914964;0.03678759;0.03772772;0.03908669;0.03903412;0.03816600,0.00361051,reference,public_simbench_planning_sensitivity_v1
p3,base_distribution_planning,jde_resample_prob,0.2,40,CARS-MODE,proposed,10,0.04162891,0.00114201,0.04034340,0.04393731,0.04034340;0.04235194;0.04207180;0.04105065;0.04217002;0.04393731;0.04050616;0.04055094;0.04095108;0.04235579,0.000182672,proposed_above,public_simbench_planning_sensitivity_v1
p3,base_distribution_planning,jde_resample_prob,0.2,40,NSGA-II,baseline_reference,10,0.03847329,0.00117785,0.03641557,0.03981857,0.03981857;0.03978399;0.03876301;0.03641557;0.03914964;0.03678759;0.03772772;0.03908669;0.03903412;0.03816600,0.000182672,reference,public_simbench_planning_sensitivity_v1
