paper,method,method_role,mean_hypervolume_proxy,mean_constraint_violation_rate,mean_investment_cost_index,mean_loss_index,mean_voltage_risk,mean_hosting_capacity,mean_survivability_rate,mean_runtime_s,runs
p3,Ablation-NoDER,ablation,0.59425328,0.02185049,0.83532138,0.12281129,0.18185049,0.00046301,1.00000000,0.00006184,21
p3,Standard DE,baseline,0.51681058,0.03038206,0.86047739,0.12076181,0.18578323,0.00066371,0.88854425,0.00009979,21
p3,PSO,baseline,0.51504880,0.02943091,0.83949963,0.12097712,0.18561277,0.00056451,0.89116381,0.00009719,21
p3,GA,baseline,0.50700685,0.02855549,0.86340922,0.11952858,0.18632947,0.00053549,0.87834143,0.00009495,21
p3,Ablation-FixedDE,ablation,0.47178770,0.04383035,0.89613432,0.12013422,0.18763068,0.00102048,0.79827349,0.00006820,21
p3,Ablation-NoRepair,ablation,0.46969837,0.18921599,1.16653135,0.11833649,0.18268464,0.00118292,0.96431881,0.00006383,21
p3,NSGA-II,baseline,0.45984319,0.05472028,0.90196277,0.11998424,0.18789387,0.00104521,0.78013222,0.00007492,21
p3,MOEA/D,baseline,0.45902053,0.05469358,0.90232632,0.11998190,0.18786718,0.00104524,0.77852464,0.00007220,21
p3,CARS-MODE,proposed,0.44676559,0.05487106,0.97525001,0.11900153,0.18804466,0.00118292,0.74660453,0.00007142,21
p3,Ablation-NoDiversity,ablation,0.44452758,0.02893800,0.94336979,0.11911237,0.18893800,0.00118292,0.71031881,0.00005831,21
p3,Weighted Sum,baseline,0.35893919,0.03240373,0.40383498,0.12599887,0.19240373,0.00000722,0.50908782,0.00005980,21
