paper,method,method_role,mean_hypervolume_proxy,mean_constraint_violation_rate,mean_investment_cost_index,mean_loss_index,mean_voltage_risk,mean_hosting_capacity,mean_der_readiness,mean_flexibility_ratio,mean_survivability_rate,mean_runtime_s,runs
p3,Ablation-NoDiversity,ablation,0.56708815,0.05476094,0.94336979,0.11911237,0.18893800,0.00665392,0.97235023,0.60408163,0.71031881,0.00006768,21
p3,CARS-MODE,proposed,0.56142680,0.07036504,0.96462327,0.11903848,0.18834244,0.00665392,0.95186892,0.58594104,0.73450929,0.00007418,21
p3,Ablation-FixedDE,ablation,0.56142680,0.07036504,0.96462327,0.11903848,0.18834244,0.00665392,0.95186892,0.58594104,0.73450929,0.00008049,21
p3,MOEA/D,baseline,0.55875075,0.08070132,0.97503425,0.11900240,0.18805237,0.00665414,0.94623656,0.58639456,0.74408788,0.00008959,21
p3,NSGA-II,baseline,0.55858065,0.08069400,0.97525001,0.11900153,0.18804466,0.00665392,0.94470046,0.57959184,0.74660453,0.00009029,21
p3,PSO,baseline,0.52339373,0.06953398,0.86403165,0.12047198,0.18530126,0.00310464,0.73547259,0.37509448,0.90207692,0.00011170,21
p3,Ablation-NoRepair,ablation,0.52056836,0.21503893,1.16653135,0.11833649,0.18268464,0.00665392,0.79032258,0.41428571,0.96431881,0.00006891,21
p3,Standard DE,baseline,0.51970695,0.06221171,0.86032605,0.12024955,0.18643565,0.00373342,0.74941787,0.37953515,0.86448162,0.00011577,21
p3,GA,baseline,0.51925589,0.06641726,0.88538295,0.11941671,0.18590611,0.00308379,0.74246428,0.38437264,0.88764196,0.00010970,21
p3,Weighted Sum,baseline,0.49126589,0.07013066,0.40383498,0.12599887,0.19240373,0.00004059,1.00000000,1.00000000,0.50908782,0.00007124,21
p3,Ablation-NoDER,ablation,0.39150216,0.09952422,0.76269603,0.12404387,0.18005602,0.00000000,0.32488480,0.00000000,1.00000000,0.00004860,21
