paper,experiment_id,comparison,opponent_role,n_per_group,mean_proposed,mean_opponent,mean_diff,u_statistic,p_value,p_holm,significant_005_holm
p3,base_distribution_planning,CARS-MODE vs Ablation-FixedDE,ablation,30,0.04107908,0.04137961,-0.00030053,390.00,0.379036,0.758073,False
p3,base_distribution_planning,CARS-MODE vs Ablation-NoDER,ablation,30,0.04107908,0.04064804,0.00043103,497.00,0.491783,0.758073,False
p3,base_distribution_planning,CARS-MODE vs Ablation-NoDiversity,ablation,30,0.04107908,0.02656201,0.01451707,900.00,3.01608e-11,2.91369e-10,True
p3,base_distribution_planning,CARS-MODE vs Ablation-NoRepair,ablation,30,0.04107908,0.03737346,0.00370562,848.00,4.1825e-09,2.09125e-08,True
p3,base_distribution_planning,CARS-MODE vs GA,baseline,30,0.04107908,0.03078157,0.01029751,900.00,5.14363e-12,5.65799e-11,True
p3,base_distribution_planning,CARS-MODE vs GDE3,baseline,30,0.04107908,0.03747396,0.00360512,804.00,1.72941e-07,6.38562e-07,True
p3,base_distribution_planning,CARS-MODE vs MOEA/D,baseline,30,0.04107908,0.00047204,0.04060704,900.00,1.21178e-12,1.57531e-11,True
p3,base_distribution_planning,CARS-MODE vs NSDE,baseline,30,0.04107908,0.03678321,0.00429586,852.00,2.92155e-09,2.04508e-08,True
p3,base_distribution_planning,CARS-MODE vs NSGA-II,baseline,30,0.04107908,0.03812598,0.00295310,805.00,1.59641e-07,6.38562e-07,True
p3,base_distribution_planning,CARS-MODE vs NSGA-II+Repair,baseline,30,0.04107908,0.03794388,0.00313519,852.00,2.92155e-09,2.04508e-08,True
p3,base_distribution_planning,CARS-MODE vs PSO,baseline,30,0.04107908,0.01511506,0.02596402,900.00,3.01797e-11,2.91369e-10,True
p3,base_distribution_planning,CARS-MODE vs Standard DE,baseline,30,0.04107908,0.03010007,0.01097900,900.00,2.91369e-11,2.91369e-10,True
p3,base_distribution_planning,CARS-MODE vs Weighted Sum,baseline,30,0.04107908,0.00434006,0.03673902,900.00,1.21178e-12,1.57531e-11,True
p3,constraint_repair,CARS-MODE vs Ablation-FixedDE,ablation,30,0.03924603,0.03934719,-0.00010116,424.00,0.706171,0.706171,False
p3,constraint_repair,CARS-MODE vs Ablation-NoDER,ablation,30,0.03924603,0.04034593,-0.00109990,156.00,1.42944e-05,2.85889e-05,True
p3,constraint_repair,CARS-MODE vs Ablation-NoDiversity,ablation,30,0.03924603,0.02863556,0.01061047,894.00,5.4907e-11,4.39256e-10,True
p3,constraint_repair,CARS-MODE vs Ablation-NoRepair,ablation,30,0.03924603,0.03438571,0.00486032,887.00,1.09367e-10,5.46835e-10,True
p3,constraint_repair,CARS-MODE vs GA,baseline,30,0.03924603,0.03118660,0.00805943,900.00,1.9305e-11,2.12354e-10,True
p3,constraint_repair,CARS-MODE vs GDE3,baseline,30,0.03924603,0.03393576,0.00531027,892.00,6.69552e-11,4.39256e-10,True
p3,constraint_repair,CARS-MODE vs MOEA/D,baseline,30,0.03924603,0.00047204,0.03877399,900.00,1.21178e-12,1.57531e-11,True
p3,constraint_repair,CARS-MODE vs NSDE,baseline,30,0.03924603,0.03368917,0.00555686,893.00,6.06576e-11,4.39256e-10,True
p3,constraint_repair,CARS-MODE vs NSGA-II,baseline,30,0.03924603,0.03573067,0.00351536,864.00,9.7555e-10,3.9022e-09,True
p3,constraint_repair,CARS-MODE vs NSGA-II+Repair,baseline,30,0.03924603,0.03624333,0.00300270,852.00,2.92155e-09,8.76464e-09,True
p3,constraint_repair,CARS-MODE vs PSO,baseline,30,0.03924603,0.01211146,0.02713456,900.00,3.01608e-11,2.83051e-10,True
p3,constraint_repair,CARS-MODE vs Standard DE,baseline,30,0.03924603,0.02883227,0.01041376,900.00,2.83051e-11,2.83051e-10,True
p3,constraint_repair,CARS-MODE vs Weighted Sum,baseline,30,0.03924603,0.00394475,0.03530128,900.00,1.21178e-12,1.57531e-11,True
p3,der_siting_sizing,CARS-MODE vs Ablation-FixedDE,ablation,30,0.04495650,0.04520075,-0.00024426,408.00,0.53951,0.53951,False
p3,der_siting_sizing,CARS-MODE vs Ablation-NoDER,ablation,30,0.04495650,0.04584237,-0.00088587,220.00,0.000691252,0.00141413,True
