method,method_role,mean_quality_index,mean_runtime_s,runs
CARS-MODE,proposed,0.910880,1.203999,35
fixed_parameters,ablation,0.870438,1.050515,35
no_strategy_adaptation,ablation,0.851857,1.088890,35
no_constraint_repair,ablation,0.836336,1.108464,35
no_diversity_preservation,ablation,0.816648,1.145647,35
NSGA-II,baseline,0.814174,1.439458,35
weighted_sum_only,ablation,0.794519,1.161460,35
MOEA/D,baseline,0.782495,1.275601,35
no_storage_candidates,ablation,0.775224,1.163890,35
no_der_candidates,ablation,0.757928,1.231786,35
low_scenario_count,ablation,0.743733,1.234438,35
Standard DE,baseline,0.730420,1.114281,35
PSO,baseline,0.718905,0.995863,35
GA,baseline,0.699008,1.041369,35
Weighted Sum,baseline,0.656377,0.523768,35
