paper,method,method_role,mean_hypervolume_proxy,mean_constraint_violation_rate,mean_investment_cost_index,mean_loss_index,mean_voltage_risk,mean_hosting_capacity,mean_survivability_rate,mean_runtime_s,runs
p4,MOEA/D,baseline,0.77286075,0.02128085,0.84697567,0.12429972,0.18308634,0.00028208,0.96456908,0.00006083,24
p4,Ablation-NoScenarioScreen,ablation,0.76928208,0.02294350,0.75682382,0.12483675,0.18476983,0.00019684,0.96398256,0.00006342,24
p4,Ablation-NoRepair,ablation,0.76260683,0.05378696,0.88901734,0.12401662,0.18243337,0.00029853,0.97981366,0.00006383,24
p4,Ablation-NoOutage,ablation,0.76100783,0.02161286,0.82669319,0.12443571,0.18341245,0.00025210,0.94545667,0.00006259,24
p4,NSGA-II,baseline,0.76093446,0.02179868,0.84372048,0.12416737,0.18360417,0.00032052,0.94526804,0.00006325,24
p4,SHIELD-MOEA,proposed,0.75963272,0.01971490,0.89499042,0.12425083,0.18149659,0.00021652,0.93748033,0.00006996,24
p4,GA,baseline,0.74311381,0.02370500,0.82709361,0.12363284,0.18554979,0.00040110,0.95129438,0.00009276,24
p4,Ablation-NoResilienceObj,ablation,0.72458753,0.02450735,0.87922912,0.12281524,0.18633853,0.00069824,0.90805883,0.00007564,24
p4,Weighted Sum,baseline,0.45139408,0.03240373,0.43017204,0.12678636,0.19432777,0.00000722,0.49954242,0.00006320,24
p4,Deterministic Planning,baseline,0.45139408,0.03240373,0.43017204,0.12678636,0.19432777,0.00000722,0.49954242,0.00006356,24
