method,method_role,mean_quality_index,mean_runtime_s,runs
SHIELD-MOEA,proposed,0.911347,1.234423,40
no_scenario_screening,ablation,0.875830,1.067412,40
no_local_repair,ablation,0.861002,1.116960,40
no_resilience_objective,ablation,0.839698,1.118770,40
no_der_uncertainty,ablation,0.825325,1.166161,40
no_outage_uncertainty,ablation,0.804889,1.191012,40
NSGA-II,baseline,0.801050,1.451405,40
low_scenario_count,ablation,0.784593,1.208997,40
MOEA/D,baseline,0.768947,1.276752,40
weighted_sum_only,ablation,0.766907,1.199147,40
Stochastic MILP-small,baseline,0.758507,2.155480,40
GA,baseline,0.686855,1.059235,40
Weighted Sum,baseline,0.646993,0.538763,40
