paper,experiment_id,method,method_role,seed,hypervolume,feasible_front_size,compromise_cost_index,compromise_reliability,compromise_renewable,compromise_risk,portfolio_size,local_move_count,trace_event_count,decision_coverage,preference_achievement_distance,runtime_s,source_status
p5,benchmark_portfolio_optimization,TRACE-MOEA,proposed,0,0.17474130,38,0.95292848,25.20684495,89.75274129,0.27923950,15,1022,1342,1.00000000,0.52351323,0.143926,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,TRACE-MOEA,proposed,1,0.17678072,39,0.99267331,25.76543429,60.29284445,0.26856203,16,827,1147,0.94545455,0.52496691,0.135106,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,TRACE-MOEA,proposed,2,0.17470364,39,0.99324331,26.92134338,24.52715493,0.26559953,16,854,1174,0.98333333,0.52851666,0.126103,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,TRACE-MOEA,proposed,3,0.17792222,38,0.81119295,26.85172542,55.62652257,0.30768396,13,925,1245,0.96491228,0.52514163,0.126252,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,TRACE-MOEA,proposed,4,0.17670099,38,0.97241741,31.93457148,34.71279737,0.28911191,16,828,1148,0.98437500,0.52610493,0.126116,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,TRACE-MOEA,proposed,5,0.17294947,39,0.94270845,29.94111466,77.42981221,0.30326604,15,790,1110,1.00000000,0.52757206,0.125809,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,TRACE-MOEA,proposed,6,0.17349798,39,0.91481643,23.35068608,3.12360540,0.28294112,12,689,1009,0.94642857,0.52820959,0.125509,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,TRACE-MOEA,proposed,7,0.17446976,39,0.94542848,25.87182942,33.07987393,0.27446616,15,905,1225,0.96363636,0.52758928,0.127123,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,TRACE-MOEA,proposed,8,0.17632170,39,0.79849261,26.19030695,41.31998961,0.29078404,13,884,1204,0.98245614,0.52515116,0.125902,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,TRACE-MOEA,proposed,9,0.17524659,39,0.99878088,28.15478582,50.18710573,0.29344939,14,747,1067,0.94545455,0.52535705,0.125560,public_rts_simbench_nerc_project_review_v3_direct_family_controls
