paper,experiment_id,method,method_role,repeat,hypervolume_proxy,budget_feasibility_rate,feasibility_rate,constraint_violation_rate,investment_cost_index,reliability_benefit_proxy,renewable_benefit_proxy,load_support_proxy,compliance_score,evidence_score,schedule_risk,implementation_risk,ranking_stability,trace_completeness,move_trace_completeness,dependency_balance,portfolio_size,local_move_count,runtime_s,source_status
p5,benchmark_portfolio_optimization,TRACE-MOEA,proposed,1,1.60115879,1.00000000,1.00000000,0.00000000,0.28574828,0.76222222,78.89734737,23.62000000,0.70000000,0.82000000,0.18000000,0.20000000,0.89220000,0.94720000,1.00000000,1.00000000,4,6,0.00072760,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,TRACE-MOEA,proposed,2,1.60115879,1.00000000,1.00000000,0.00000000,0.28574828,0.76222222,78.89734737,23.62000000,0.70000000,0.82000000,0.18000000,0.20000000,0.89220000,0.94720000,1.00000000,1.00000000,4,6,0.00068400,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,TRACE-MOEA,proposed,3,1.60115879,1.00000000,1.00000000,0.00000000,0.28574828,0.76222222,78.89734737,23.62000000,0.70000000,0.82000000,0.18000000,0.20000000,0.89220000,0.94720000,1.00000000,1.00000000,4,6,0.00070730,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,TRACE-MOEA,proposed,4,1.60115879,1.00000000,1.00000000,0.00000000,0.28574828,0.76222222,78.89734737,23.62000000,0.70000000,0.82000000,0.18000000,0.20000000,0.89220000,0.94720000,1.00000000,1.00000000,4,6,0.00069520,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,NSGA-II,baseline,1,1.83572647,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.79600000,0.74920000,0.64640000,1.00000000,10,0,0.00013860,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,NSGA-II,baseline,2,1.83572647,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.79600000,0.74920000,0.64640000,1.00000000,10,0,0.00017530,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,NSGA-II,baseline,3,1.83572647,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.79600000,0.74920000,0.64640000,1.00000000,10,0,0.00014060,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,NSGA-II,baseline,4,1.83572647,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.79600000,0.74920000,0.64640000,1.00000000,10,0,0.00013540,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,MOEA/D,baseline,1,1.82820344,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.78620000,0.73160000,0.63360000,1.00000000,10,0,0.00013350,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,MOEA/D,baseline,2,1.82820344,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.78620000,0.73160000,0.63360000,1.00000000,10,0,0.00013170,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,MOEA/D,baseline,3,1.82820344,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.78620000,0.73160000,0.63360000,1.00000000,10,0,0.00014040,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,MOEA/D,baseline,4,1.82820344,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.78620000,0.73160000,0.63360000,1.00000000,10,0,0.00013980,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,AHP-TOPSIS,baseline,1,1.88462612,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.80620000,0.86360000,0.72960000,1.00000000,10,0,0.00014760,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,AHP-TOPSIS,baseline,2,1.88462612,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.80620000,0.86360000,0.72960000,1.00000000,10,0,0.00014600,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,AHP-TOPSIS,baseline,3,1.88462612,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.80620000,0.86360000,0.72960000,1.00000000,10,0,0.00014500,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,AHP-TOPSIS,baseline,4,1.88462612,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.80620000,0.86360000,0.72960000,1.00000000,10,0,0.00013850,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Weighted Sum,baseline,1,1.83948798,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.78240000,0.75800000,0.65280000,1.00000000,10,0,0.00013130,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Weighted Sum,baseline,2,1.83948798,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.78240000,0.75800000,0.65280000,1.00000000,10,0,0.00013320,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Weighted Sum,baseline,3,1.83948798,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.78240000,0.75800000,0.65280000,1.00000000,10,0,0.00013210,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Weighted Sum,baseline,4,1.83948798,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.78240000,0.75800000,0.65280000,1.00000000,10,0,0.00014030,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Greedy BCR,baseline,1,1.82256118,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.76460000,0.71840000,0.62400000,1.00000000,10,0,0.00014780,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Greedy BCR,baseline,2,1.82256118,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.76460000,0.71840000,0.62400000,1.00000000,10,0,0.00014670,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Greedy BCR,baseline,3,1.82256118,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.76460000,0.71840000,0.62400000,1.00000000,10,0,0.00014770,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Greedy BCR,baseline,4,1.82256118,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.76460000,0.71840000,0.62400000,1.00000000,10,0,0.00014700,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Random Feasible,baseline,1,6.83689834,1.00000000,1.00000000,0.00000000,0.99199342,8.54256169,35.72446441,30.53343000,0.75400000,0.88400000,0.18600000,0.18711882,0.69400000,0.64448000,0.56000000,1.00000000,10,0,0.00005530,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Random Feasible,baseline,2,5.42365301,1.00000000,1.00000000,0.00000000,0.80649962,10.14953574,38.44939181,20.98806000,0.73111111,0.88222222,0.22222222,0.19915294,0.69400000,0.64408889,0.64000000,1.00000000,9,1,0.00006150,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Random Feasible,baseline,3,5.82042361,1.00000000,1.00000000,0.00000000,0.89300617,9.50512303,42.48399713,35.11452000,0.71333333,0.86888889,0.23555556,0.21470850,0.69400000,0.64115556,0.64000000,1.00000000,9,1,0.00005620,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Random Feasible,baseline,4,6.13291958,1.00000000,1.00000000,0.00000000,0.66184410,8.75556416,16.50191713,31.03952000,0.72200000,0.87000000,0.22600000,0.20923765,0.69400000,0.64140000,0.56000000,1.00000000,10,0,0.00004430,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoFeasibilityRepair,ablation,1,1.64943479,1.00000000,1.00000000,0.00000000,0.35644310,0.95277778,96.57988421,28.91000000,0.70000000,0.82000000,0.18000000,0.20000000,0.75760000,0.92520000,1.00000000,1.00000000,5,5,0.00071100,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoFeasibilityRepair,ablation,2,1.64943479,1.00000000,1.00000000,0.00000000,0.35644310,0.95277778,96.57988421,28.91000000,0.70000000,0.82000000,0.18000000,0.20000000,0.75760000,0.92520000,1.00000000,1.00000000,5,5,0.00069570,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoFeasibilityRepair,ablation,3,1.64943479,1.00000000,1.00000000,0.00000000,0.35644310,0.95277778,96.57988421,28.91000000,0.70000000,0.82000000,0.18000000,0.20000000,0.75760000,0.92520000,1.00000000,1.00000000,5,5,0.00063440,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoFeasibilityRepair,ablation,4,1.64943479,1.00000000,1.00000000,0.00000000,0.35644310,0.95277778,96.57988421,28.91000000,0.70000000,0.82000000,0.18000000,0.20000000,0.75760000,0.92520000,1.00000000,1.00000000,5,5,0.00061820,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,ablation,1,1.62212680,1.00000000,1.00000000,0.00000000,0.35644310,0.95277778,96.57988421,28.91000000,0.70000000,0.82000000,0.18000000,0.20000000,0.70280000,0.85118400,1.00000000,1.00000000,5,5,0.00064560,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,ablation,2,1.62212680,1.00000000,1.00000000,0.00000000,0.35644310,0.95277778,96.57988421,28.91000000,0.70000000,0.82000000,0.18000000,0.20000000,0.70280000,0.85118400,1.00000000,1.00000000,5,5,0.00064010,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,ablation,3,1.62212680,1.00000000,1.00000000,0.00000000,0.35644310,0.95277778,96.57988421,28.91000000,0.70000000,0.82000000,0.18000000,0.20000000,0.70280000,0.85118400,1.00000000,1.00000000,5,5,0.00063990,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,ablation,4,1.62212680,1.00000000,1.00000000,0.00000000,0.35644310,0.95277778,96.57988421,28.91000000,0.70000000,0.82000000,0.18000000,0.20000000,0.70280000,0.85118400,1.00000000,1.00000000,5,5,0.00064160,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoReliabilityFeatures,ablation,1,1.64943479,1.00000000,1.00000000,0.00000000,0.35644310,0.95277778,96.57988421,28.91000000,0.70000000,0.82000000,0.18000000,0.20000000,0.85680000,0.92520000,1.00000000,1.00000000,5,5,0.00064120,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoReliabilityFeatures,ablation,2,1.64943479,1.00000000,1.00000000,0.00000000,0.35644310,0.95277778,96.57988421,28.91000000,0.70000000,0.82000000,0.18000000,0.20000000,0.85680000,0.92520000,1.00000000,1.00000000,5,5,0.00063500,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoReliabilityFeatures,ablation,3,1.64943479,1.00000000,1.00000000,0.00000000,0.35644310,0.95277778,96.57988421,28.91000000,0.70000000,0.82000000,0.18000000,0.20000000,0.85680000,0.92520000,1.00000000,1.00000000,5,5,0.00063950,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoReliabilityFeatures,ablation,4,1.64943479,1.00000000,1.00000000,0.00000000,0.35644310,0.95277778,96.57988421,28.91000000,0.70000000,0.82000000,0.18000000,0.20000000,0.85680000,0.92520000,1.00000000,1.00000000,5,5,0.00071600,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoRenewableFeatures,ablation,1,1.41904171,0.96000000,0.96000000,0.04000000,0.48425000,0.77777778,12.95168000,72.27500000,0.66000000,0.84000000,0.22000000,0.26000000,0.84960000,0.92960000,1.00000000,1.00000000,5,3,0.00059850,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoRenewableFeatures,ablation,2,1.27107567,0.96000000,0.96000000,0.04000000,0.29309483,0.46666667,8.21184000,45.82500000,0.66000000,0.84000000,0.22000000,0.26000000,0.84960000,0.92960000,1.00000000,1.00000000,3,5,0.00066720,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoRenewableFeatures,ablation,3,1.27107567,0.96000000,0.96000000,0.04000000,0.29309483,0.46666667,8.21184000,45.82500000,0.66000000,0.84000000,0.22000000,0.26000000,0.84960000,0.92960000,1.00000000,1.00000000,3,5,0.00057240,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoRenewableFeatures,ablation,4,1.95618290,0.98800000,0.98800000,0.01200000,0.44867241,1.04610594,11.60824000,64.54900000,0.68800000,0.84800000,0.20400000,0.24000000,0.83064000,0.93136000,1.00000000,0.80000000,5,8,0.00079040,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoScheduleRisk,ablation,1,1.64943479,1.00000000,1.00000000,0.00000000,0.35644310,0.95277778,96.57988421,28.91000000,0.70000000,0.82000000,0.18000000,0.20000000,0.85680000,0.92520000,1.00000000,1.00000000,5,5,0.00067520,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoScheduleRisk,ablation,2,1.64943479,1.00000000,1.00000000,0.00000000,0.35644310,0.95277778,96.57988421,28.91000000,0.70000000,0.82000000,0.18000000,0.20000000,0.85680000,0.92520000,1.00000000,1.00000000,5,5,0.00065990,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoScheduleRisk,ablation,3,1.64943479,1.00000000,1.00000000,0.00000000,0.35644310,0.95277778,96.57988421,28.91000000,0.70000000,0.82000000,0.18000000,0.20000000,0.85680000,0.92520000,1.00000000,1.00000000,5,5,0.00063810,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoScheduleRisk,ablation,4,1.64943479,1.00000000,1.00000000,0.00000000,0.35644310,0.95277778,96.57988421,28.91000000,0.70000000,0.82000000,0.18000000,0.20000000,0.85680000,0.92520000,1.00000000,1.00000000,5,5,0.00065010,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-SingleObjective,ablation,1,1.86958007,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.78920000,0.82840000,0.70400000,1.00000000,10,0,0.00013720,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-SingleObjective,ablation,2,1.86958007,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.78920000,0.82840000,0.70400000,1.00000000,10,0,0.00013360,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-SingleObjective,ablation,3,1.86958007,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.78920000,0.82840000,0.70400000,1.00000000,10,0,0.00013390,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-SingleObjective,ablation,4,1.86958007,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.78920000,0.82840000,0.70400000,1.00000000,10,0,0.00016410,public_rts_simbench_nerc_project_review_v1
