paper,experiment_id,method,method_role,repeat,hypervolume_proxy,budget_feasibility_rate,feasibility_rate,constraint_violation_rate,investment_cost_index,reliability_benefit_proxy,renewable_benefit_proxy,load_support_proxy,compliance_score,evidence_score,schedule_risk,implementation_risk,ranking_stability,trace_completeness,move_trace_completeness,dependency_balance,portfolio_size,local_move_count,runtime_s,source_status
p5,benchmark_portfolio_optimization,TRACE-MOEA,proposed,1,1.75961476,1.00000000,1.00000000,0.00000000,0.56621034,1.52444444,143.25309474,42.86000000,0.70000000,0.82000000,0.18000000,0.20000000,0.89220000,0.94720000,1.00000000,1.00000000,8,10,0.00094050,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,TRACE-MOEA,proposed,2,1.75961476,1.00000000,1.00000000,0.00000000,0.56621034,1.52444444,143.25309474,42.86000000,0.70000000,0.82000000,0.18000000,0.20000000,0.89220000,0.94720000,1.00000000,1.00000000,8,10,0.00085850,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,TRACE-MOEA,proposed,3,1.75961476,1.00000000,1.00000000,0.00000000,0.56621034,1.52444444,143.25309474,42.86000000,0.70000000,0.82000000,0.18000000,0.20000000,0.89220000,0.94720000,1.00000000,1.00000000,8,10,0.00084030,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,TRACE-MOEA,proposed,4,1.75961476,1.00000000,1.00000000,0.00000000,0.56621034,1.52444444,143.25309474,42.86000000,0.70000000,0.82000000,0.18000000,0.20000000,0.89220000,0.94720000,1.00000000,1.00000000,8,10,0.00086930,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,NSGA-II,baseline,1,1.68212623,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.79600000,0.74920000,0.64640000,1.00000000,10,0,0.00013470,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,NSGA-II,baseline,2,1.68212623,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.79600000,0.74920000,0.64640000,1.00000000,10,0,0.00013600,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,NSGA-II,baseline,3,1.68212623,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.79600000,0.74920000,0.64640000,1.00000000,10,0,0.00013490,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,NSGA-II,baseline,4,1.68212623,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.79600000,0.74920000,0.64640000,1.00000000,10,0,0.00013860,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,MOEA/D,baseline,1,1.66592997,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.78620000,0.73160000,0.63360000,1.00000000,10,0,0.00012990,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,MOEA/D,baseline,2,1.66592997,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.78620000,0.73160000,0.63360000,1.00000000,10,0,0.00012790,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,MOEA/D,baseline,3,1.66592997,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.78620000,0.73160000,0.63360000,1.00000000,10,0,0.00012640,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,MOEA/D,baseline,4,1.66592997,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.78620000,0.73160000,0.63360000,1.00000000,10,0,0.00012620,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,AHP-TOPSIS,baseline,1,1.76245471,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.80620000,0.86360000,0.72960000,1.00000000,10,0,0.00013960,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,AHP-TOPSIS,baseline,2,1.76245471,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.80620000,0.86360000,0.72960000,1.00000000,10,0,0.00020610,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,AHP-TOPSIS,baseline,3,1.76245471,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.80620000,0.86360000,0.72960000,1.00000000,10,0,0.00016570,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,AHP-TOPSIS,baseline,4,1.76245471,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.80620000,0.86360000,0.72960000,1.00000000,10,0,0.00014630,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Weighted Sum,baseline,1,1.68159775,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.78240000,0.75800000,0.65280000,1.00000000,10,0,0.00013310,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Weighted Sum,baseline,2,1.68159775,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.78240000,0.75800000,0.65280000,1.00000000,10,0,0.00014660,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Weighted Sum,baseline,3,1.68159775,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.78240000,0.75800000,0.65280000,1.00000000,10,0,0.00014800,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Weighted Sum,baseline,4,1.68159775,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.78240000,0.75800000,0.65280000,1.00000000,10,0,0.00013850,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Greedy BCR,baseline,1,1.64713795,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.76460000,0.71840000,0.62400000,1.00000000,10,0,0.00014610,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Greedy BCR,baseline,2,1.64713795,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.76460000,0.71840000,0.62400000,1.00000000,10,0,0.00015320,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Greedy BCR,baseline,3,1.64713795,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.76460000,0.71840000,0.62400000,1.00000000,10,0,0.00015910,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Greedy BCR,baseline,4,1.64713795,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.76460000,0.71840000,0.62400000,1.00000000,10,0,0.00014650,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Random Feasible,baseline,1,2.93840388,1.00000000,1.00000000,0.00000000,0.34340791,4.54167062,14.26814748,19.62153000,0.71600000,0.87200000,0.22800000,0.21223765,0.69400000,0.64184000,0.56000000,1.00000000,5,0,0.00005290,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Random Feasible,baseline,2,1.99640229,1.00000000,1.00000000,0.00000000,0.42895998,5.56360371,25.01522217,11.74407000,0.72000000,0.88800000,0.22000000,0.20423765,0.69400000,0.64536000,0.56000000,1.00000000,5,0,0.00005320,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Random Feasible,baseline,3,1.71844778,1.00000000,1.00000000,0.00000000,0.61284997,8.31476002,20.41442356,6.20816000,0.74400000,0.89600000,0.26400000,0.19847529,0.69400000,0.64712000,0.56000000,1.00000000,5,0,0.00005130,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Random Feasible,baseline,4,1.66199821,1.00000000,1.00000000,0.00000000,0.33000963,4.77499878,3.57049064,18.65453000,0.73600000,0.88400000,0.22000000,0.20423765,0.69400000,0.64448000,0.56000000,1.00000000,5,0,0.00004150,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoFeasibilityRepair,ablation,1,1.53681873,1.00000000,1.00000000,0.00000000,0.35644310,0.95277778,96.57988421,28.91000000,0.70000000,0.82000000,0.18000000,0.20000000,0.75760000,0.92520000,1.00000000,1.00000000,5,5,0.00072210,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoFeasibilityRepair,ablation,2,1.53681873,1.00000000,1.00000000,0.00000000,0.35644310,0.95277778,96.57988421,28.91000000,0.70000000,0.82000000,0.18000000,0.20000000,0.75760000,0.92520000,1.00000000,1.00000000,5,5,0.00074150,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoFeasibilityRepair,ablation,3,1.53681873,1.00000000,1.00000000,0.00000000,0.35644310,0.95277778,96.57988421,28.91000000,0.70000000,0.82000000,0.18000000,0.20000000,0.75760000,0.92520000,1.00000000,1.00000000,5,5,0.00073280,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoFeasibilityRepair,ablation,4,1.53681873,1.00000000,1.00000000,0.00000000,0.35644310,0.95277778,96.57988421,28.91000000,0.70000000,0.82000000,0.18000000,0.20000000,0.75760000,0.92520000,1.00000000,1.00000000,5,5,0.00064610,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,ablation,1,1.47255916,1.00000000,1.00000000,0.00000000,0.35644310,0.95277778,96.57988421,28.91000000,0.70000000,0.82000000,0.18000000,0.20000000,0.70280000,0.85118400,1.00000000,1.00000000,5,5,0.00072800,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,ablation,2,1.47255916,1.00000000,1.00000000,0.00000000,0.35644310,0.95277778,96.57988421,28.91000000,0.70000000,0.82000000,0.18000000,0.20000000,0.70280000,0.85118400,1.00000000,1.00000000,5,5,0.00064630,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,ablation,3,1.47255916,1.00000000,1.00000000,0.00000000,0.35644310,0.95277778,96.57988421,28.91000000,0.70000000,0.82000000,0.18000000,0.20000000,0.70280000,0.85118400,1.00000000,1.00000000,5,5,0.00063770,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,ablation,4,1.47255916,1.00000000,1.00000000,0.00000000,0.35644310,0.95277778,96.57988421,28.91000000,0.70000000,0.82000000,0.18000000,0.20000000,0.70280000,0.85118400,1.00000000,1.00000000,5,5,0.00063540,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoReliabilityFeatures,ablation,1,1.57674551,1.00000000,1.00000000,0.00000000,0.35644310,0.95277778,96.57988421,28.91000000,0.70000000,0.82000000,0.18000000,0.20000000,0.85680000,0.92520000,1.00000000,1.00000000,5,5,0.00063910,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoReliabilityFeatures,ablation,2,1.57674551,1.00000000,1.00000000,0.00000000,0.35644310,0.95277778,96.57988421,28.91000000,0.70000000,0.82000000,0.18000000,0.20000000,0.85680000,0.92520000,1.00000000,1.00000000,5,5,0.00063700,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoReliabilityFeatures,ablation,3,1.57674551,1.00000000,1.00000000,0.00000000,0.35644310,0.95277778,96.57988421,28.91000000,0.70000000,0.82000000,0.18000000,0.20000000,0.85680000,0.92520000,1.00000000,1.00000000,5,5,0.00066820,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoReliabilityFeatures,ablation,4,1.57674551,1.00000000,1.00000000,0.00000000,0.35644310,0.95277778,96.57988421,28.91000000,0.70000000,0.82000000,0.18000000,0.20000000,0.85680000,0.92520000,1.00000000,1.00000000,5,5,0.00063690,public_rts_simbench_nerc_project_review_v1
