paper,experiment_id,comparison,opponent_role,n_per_group,mean_proposed,mean_opponent,mean_diff,u_statistic,p_value,p_holm,significant_005_holm
p5,budget_sensitivity,TRACE-MOEA vs AHP-TOPSIS,baseline,30,0.16605998,0.13004575,0.03601424,900.00,1.21178e-12,1.69649e-11,True
p5,budget_sensitivity,TRACE-MOEA vs Ablation-NSGA2Only,ablation,30,0.16605998,0.16126863,0.00479135,602.00,0.0251013,0.100405,False
p5,budget_sensitivity,TRACE-MOEA vs Ablation-NoFeasibilityRepair,ablation,30,0.16605998,0.16164964,0.00441034,662.00,0.00176656,0.0105994,True
p5,budget_sensitivity,TRACE-MOEA vs Ablation-NoPreferenceRanking,ablation,30,0.16605998,0.16513178,0.00092821,491.00,0.549327,1,False
p5,budget_sensitivity,TRACE-MOEA vs Ablation-NoReliabilityFeatures,ablation,30,0.16605998,0.07911243,0.08694755,900.00,3.01986e-11,3.28249e-10,True
p5,budget_sensitivity,TRACE-MOEA vs Ablation-NoRenewableFeatures,ablation,30,0.16605998,0.16501207,0.00104792,650.00,0.00318296,0.0159148,True
p5,budget_sensitivity,TRACE-MOEA vs Ablation-NoScheduleRisk,ablation,30,0.16605998,0.16661140,-0.00055142,443.00,0.923442,1,False
p5,budget_sensitivity,TRACE-MOEA vs Ablation-SingleObjective,ablation,30,0.16605998,0.07688230,0.08917768,900.00,3.01986e-11,3.28249e-10,True
p5,budget_sensitivity,TRACE-MOEA vs Ablation-SmallProjectPool,ablation,30,0.16605998,0.05500145,0.11105853,900.00,3.01986e-11,3.28249e-10,True
p5,budget_sensitivity,TRACE-MOEA vs Greedy BCR,baseline,30,0.16605998,0.03496111,0.13109887,900.00,1.21178e-12,1.69649e-11,True
p5,budget_sensitivity,TRACE-MOEA vs MOEA/D,baseline,30,0.16605998,0.02404545,0.14201454,900.00,2.98409e-11,3.28249e-10,True
p5,budget_sensitivity,TRACE-MOEA vs NSGA-II,baseline,30,0.16605998,0.16378155,0.00227844,584.00,0.0484135,0.14524,False
p5,budget_sensitivity,TRACE-MOEA vs Random Feasible,baseline,30,0.16605998,0.06124544,0.10481455,900.00,3.01986e-11,3.28249e-10,True
p5,budget_sensitivity,TRACE-MOEA vs Weighted Sum,baseline,30,0.16605998,0.02803902,0.13802096,900.00,1.21178e-12,1.69649e-11,True
