paper,experiment_id,method,method_role,n_seeds,pool_size,n_built,n_withdrawn,n_unresolved,n_deferred,outcome_capture_strict,outcome_capture_broad,pointbiserial_r_broad,pointbiserial_p_broad,pointbiserial_r_strict,pointbiserial_p_strict,mannwhitney_p_broad,mannwhitney_p_strict,withdrawn_capture,deferred_selection_share,mean_portfolio_size,source_status
p5,benchmark_portfolio_optimization,AHP-TOPSIS,baseline,10,1097,844,17,201,35,1.008993,1.100247,0.097055,0.001542,0.032920,0.334626,0.001571,0.334684,0.553520,0.004808,208.0,public_miso_mtep16_outcome_backtest_v1
p5,benchmark_portfolio_optimization,Ablation-SingleObjective,ablation,10,1097,844,17,201,35,1.004945,1.091806,0.165711,0.000000,0.034099,0.317605,0.000000,0.471103,0.754519,0.016138,185.9,public_miso_mtep16_outcome_backtest_v1
p5,benchmark_portfolio_optimization,TRACE-MOEA,proposed,10,1097,844,17,201,35,1.013950,1.079479,0.168851,0.000000,0.111911,0.001004,0.000000,0.000342,0.307418,0.023657,156.4,public_miso_mtep16_outcome_backtest_v1
p5,benchmark_portfolio_optimization,Ablation-NoReliabilityFeatures,ablation,10,1097,844,17,201,35,1.005449,1.075331,0.114708,0.000180,0.030677,0.368626,0.000055,0.455385,0.729484,0.017528,114.1,public_miso_mtep16_outcome_backtest_v1
p5,benchmark_portfolio_optimization,Weighted Sum,baseline,10,1097,844,17,201,35,1.005569,1.071880,0.040640,0.185705,0.011672,0.732338,0.185665,0.732905,0.723529,0.000000,81.0,public_miso_mtep16_outcome_backtest_v1
p5,benchmark_portfolio_optimization,Ablation-NoRenewableFeatures,ablation,10,1097,844,17,201,35,1.004180,1.067083,0.146564,0.000002,0.033830,0.321432,0.000003,0.216253,0.792486,0.024507,167.3,public_miso_mtep16_outcome_backtest_v1
p5,benchmark_portfolio_optimization,Ablation-NoFeasibilityRepair,ablation,10,1097,844,17,201,35,0.998011,1.054517,0.098305,0.001339,-0.013293,0.696907,0.000450,0.932481,1.098748,0.018245,115.1,public_miso_mtep16_outcome_backtest_v1
p5,benchmark_portfolio_optimization,Ablation-NSGA2Only,ablation,10,1097,844,17,201,35,1.000372,1.050655,0.098970,0.001241,0.002671,0.937619,0.001001,0.696533,0.981532,0.027287,124.6,public_miso_mtep16_outcome_backtest_v1
p5,benchmark_portfolio_optimization,Ablation-SmallProjectPool,ablation,10,1097,844,17,201,35,0.987584,1.033436,0.028528,0.353006,-0.037727,0.268806,0.543588,0.078082,1.616395,0.039861,57.7,public_miso_mtep16_outcome_backtest_v1
p5,benchmark_portfolio_optimization,Greedy BCR,baseline,10,1097,844,17,201,35,1.001015,1.027134,0.058234,0.057812,0.008023,0.814136,0.057866,0.814424,0.949632,0.017036,587.0,public_miso_mtep16_outcome_backtest_v1
p5,benchmark_portfolio_optimization,MOEA/D,baseline,10,1097,844,17,201,35,1.004666,1.025325,0.033418,0.276563,0.022394,0.511685,0.227647,0.476928,0.768350,0.022495,97.8,public_miso_mtep16_outcome_backtest_v1
p5,benchmark_portfolio_optimization,Ablation-NoScheduleRisk,ablation,10,1097,844,17,201,35,1.003247,1.023544,0.050636,0.099092,0.024995,0.463879,0.148004,0.401099,0.838792,0.020447,156.5,public_miso_mtep16_outcome_backtest_v1
p5,benchmark_portfolio_optimization,NSGA-II,baseline,10,1097,844,17,201,35,1.005072,1.018619,0.035582,0.246632,0.034437,0.312821,0.482724,0.385792,0.748195,0.021918,109.5,public_miso_mtep16_outcome_backtest_v1
p5,benchmark_portfolio_optimization,Random Feasible,baseline,10,1097,844,17,201,35,0.999676,1.017856,0.030444,0.321595,-0.001996,0.953355,0.470756,0.751865,1.016068,0.022416,80.3,public_miso_mtep16_outcome_backtest_v1
p5,benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,ablation,10,1097,844,17,201,35,1.005346,1.009607,0.022535,0.463196,0.044965,0.187451,0.634574,0.244361,0.734576,0.022479,164.6,public_miso_mtep16_outcome_backtest_v1
p5,reliability_driven_review,Weighted Sum,baseline,10,1062,811,17,199,35,0.997218,1.131621,0.080953,0.009449,-0.006541,0.850937,0.009521,0.851565,1.132695,0.000000,94.0,public_miso_mtep16_outcome_backtest_v1
p5,reliability_driven_review,Ablation-SingleObjective,ablation,10,1062,811,17,199,35,1.005877,1.103495,0.198101,0.000000,0.043299,0.213270,0.000000,0.237611,0.719650,0.021483,195.5,public_miso_mtep16_outcome_backtest_v1
p5,reliability_driven_review,Ablation-NoFeasibilityRepair,ablation,10,1062,811,17,199,35,1.011229,1.089176,0.173518,0.000000,0.083448,0.016316,0.000000,0.005758,0.464308,0.022654,123.6,public_miso_mtep16_outcome_backtest_v1
p5,reliability_driven_review,AHP-TOPSIS,baseline,10,1062,811,17,199,35,1.011805,1.072263,0.081735,0.008779,0.049503,0.154686,0.008848,0.154758,0.436824,0.011364,264.0,public_miso_mtep16_outcome_backtest_v1
p5,reliability_driven_review,Ablation-NoReliabilityFeatures,ablation,10,1062,811,17,199,35,1.006352,1.069900,0.139414,0.000007,0.047446,0.172578,0.000001,0.124811,0.696970,0.019108,141.3,public_miso_mtep16_outcome_backtest_v1
p5,reliability_driven_review,TRACE-MOEA,proposed,10,1062,811,17,199,35,1.000432,1.069633,0.151092,0.000001,0.003481,0.920342,0.000001,0.782170,0.979391,0.020888,153.2,public_miso_mtep16_outcome_backtest_v1
p5,reliability_driven_review,Ablation-NoPreferenceRanking,ablation,10,1062,811,17,199,35,1.006240,1.049142,0.118246,0.000146,0.055490,0.110593,0.000046,0.067551,0.702320,0.031122,170.3,public_miso_mtep16_outcome_backtest_v1
p5,reliability_driven_review,Ablation-NoRenewableFeatures,ablation,10,1062,811,17,199,35,1.003755,1.048151,0.104347,0.000811,0.029915,0.389950,0.000952,0.531138,0.820886,0.023747,151.6,public_miso_mtep16_outcome_backtest_v1
p5,reliability_driven_review,Ablation-NoScheduleRisk,ablation,10,1062,811,17,199,35,1.002530,1.034066,0.073431,0.018596,0.020085,0.563850,0.005360,0.398768,0.879306,0.026684,157.4,public_miso_mtep16_outcome_backtest_v1
p5,reliability_driven_review,Ablation-NSGA2Only,ablation,10,1062,811,17,199,35,1.008079,1.032197,0.065516,0.035793,0.058829,0.090701,0.081610,0.106413,0.614585,0.022901,117.9,public_miso_mtep16_outcome_backtest_v1
p5,reliability_driven_review,Greedy BCR,baseline,10,1062,811,17,199,35,1.001328,1.030583,0.065406,0.036104,0.010457,0.763824,0.036180,0.764077,0.936652,0.019130,575.0,public_miso_mtep16_outcome_backtest_v1
p5,reliability_driven_review,MOEA/D,baseline,10,1062,811,17,199,35,1.001478,1.017028,0.022265,0.476008,0.006893,0.843000,0.749466,0.934851,0.929502,0.018405,97.8,public_miso_mtep16_outcome_backtest_v1
p5,reliability_driven_review,Ablation-SmallProjectPool,ablation,10,1062,811,17,199,35,0.993268,1.015335,0.013980,0.654521,-0.021374,0.539100,0.219502,0.343449,1.321136,0.037303,69.7,public_miso_mtep16_outcome_backtest_v1
