paper,experiment_id,comparison,opponent_role,n_per_group,mean_proposed,mean_opponent,mean_diff,u_statistic,p_value,p_holm,significant_005_holm
p5,benchmark_portfolio_optimization,TRACE-MOEA vs AHP-TOPSIS,baseline,30,0.17441503,0.13381786,0.04059717,900.00,1.21178e-12,1.69649e-11,True
p5,benchmark_portfolio_optimization,TRACE-MOEA vs Ablation-NSGA2Only,ablation,30,0.17441503,0.17286763,0.00154740,564.00,0.0933408,0.280022,False
p5,benchmark_portfolio_optimization,TRACE-MOEA vs Ablation-NoFeasibilityRepair,ablation,30,0.17441503,0.17261444,0.00180058,588.00,0.0420668,0.168267,False
p5,benchmark_portfolio_optimization,TRACE-MOEA vs Ablation-NoPreferenceRanking,ablation,30,0.17441503,0.17431368,0.00010135,515.00,0.340288,0.516103,False
p5,benchmark_portfolio_optimization,TRACE-MOEA vs Ablation-NoReliabilityFeatures,ablation,30,0.17441503,0.08489826,0.08951677,900.00,3.01986e-11,3.264e-10,True
p5,benchmark_portfolio_optimization,TRACE-MOEA vs Ablation-NoRenewableFeatures,ablation,30,0.17441503,0.16923951,0.00517552,846.00,4.99795e-09,2.99877e-08,True
p5,benchmark_portfolio_optimization,TRACE-MOEA vs Ablation-NoScheduleRisk,ablation,30,0.17441503,0.17469310,-0.00027808,373.00,0.258051,0.516103,False
p5,benchmark_portfolio_optimization,TRACE-MOEA vs Ablation-SingleObjective,ablation,30,0.17441503,0.11456611,0.05984892,900.00,3.01986e-11,3.264e-10,True
p5,benchmark_portfolio_optimization,TRACE-MOEA vs Ablation-SmallProjectPool,ablation,30,0.17441503,0.06344728,0.11096775,900.00,3.01986e-11,3.264e-10,True
p5,benchmark_portfolio_optimization,TRACE-MOEA vs Greedy BCR,baseline,30,0.17441503,0.04110810,0.13330693,900.00,1.21178e-12,1.69649e-11,True
p5,benchmark_portfolio_optimization,TRACE-MOEA vs MOEA/D,baseline,30,0.17441503,0.02526262,0.14915241,900.00,2.96727e-11,3.264e-10,True
p5,benchmark_portfolio_optimization,TRACE-MOEA vs NSGA-II,baseline,30,0.17441503,0.17223954,0.00217549,619.00,0.0127321,0.0636606,False
p5,benchmark_portfolio_optimization,TRACE-MOEA vs Random Feasible,baseline,30,0.17441503,0.07538350,0.09903153,900.00,3.01986e-11,3.264e-10,True
p5,benchmark_portfolio_optimization,TRACE-MOEA vs Weighted Sum,baseline,30,0.17441503,0.02801251,0.14640252,900.00,1.21178e-12,1.69649e-11,True
p5,budget_ranking_stability,TRACE-MOEA vs AHP-TOPSIS,baseline,30,0.17139149,0.13248143,0.03891006,900.00,1.21178e-12,1.69649e-11,True
p5,budget_ranking_stability,TRACE-MOEA vs Ablation-NSGA2Only,ablation,30,0.17139149,0.16839865,0.00299284,645.00,0.00403298,0.0201649,True
p5,budget_ranking_stability,TRACE-MOEA vs Ablation-NoFeasibilityRepair,ablation,30,0.17139149,0.16885676,0.00253473,623.00,0.0107626,0.0430505,True
p5,budget_ranking_stability,TRACE-MOEA vs Ablation-NoPreferenceRanking,ablation,30,0.17139149,0.17153561,-0.00014412,486.00,0.599689,1,False
p5,budget_ranking_stability,TRACE-MOEA vs Ablation-NoReliabilityFeatures,ablation,30,0.17139149,0.08165566,0.08973584,900.00,3.01986e-11,3.2681e-10,True
p5,budget_ranking_stability,TRACE-MOEA vs Ablation-NoRenewableFeatures,ablation,30,0.17139149,0.16695818,0.00443332,821.00,4.31061e-08,2.58637e-07,True
p5,budget_ranking_stability,TRACE-MOEA vs Ablation-NoScheduleRisk,ablation,30,0.17139149,0.17114738,0.00024411,447.00,0.970516,1,False
p5,budget_ranking_stability,TRACE-MOEA vs Ablation-SingleObjective,ablation,30,0.17139149,0.08994557,0.08144592,900.00,3.01986e-11,3.2681e-10,True
p5,budget_ranking_stability,TRACE-MOEA vs Ablation-SmallProjectPool,ablation,30,0.17139149,0.05958374,0.11180775,900.00,3.01986e-11,3.2681e-10,True
p5,budget_ranking_stability,TRACE-MOEA vs Greedy BCR,baseline,30,0.17139149,0.03802718,0.13336431,900.00,1.21178e-12,1.69649e-11,True
p5,budget_ranking_stability,TRACE-MOEA vs MOEA/D,baseline,30,0.17139149,0.02459857,0.14679292,900.00,2.971e-11,3.2681e-10,True
p5,budget_ranking_stability,TRACE-MOEA vs NSGA-II,baseline,30,0.17139149,0.16955029,0.00184121,611.00,0.017649,0.0529471,False
p5,budget_ranking_stability,TRACE-MOEA vs Random Feasible,baseline,30,0.17139149,0.06642231,0.10496918,900.00,3.01986e-11,3.2681e-10,True
p5,budget_ranking_stability,TRACE-MOEA vs Weighted Sum,baseline,30,0.17139149,0.03349456,0.13789693,900.00,1.21178e-12,1.69649e-11,True
