paper,experiment_id,method,method_role,seed,hypervolume,feasible_front_size,compromise_cost_index,compromise_reliability,compromise_renewable,compromise_risk,portfolio_size,local_move_count,trace_event_count,decision_coverage,preference_achievement_distance,runtime_s,source_status
p6,budget_constrained_selection,BiLo-NSGA,proposed,0,0.17502998,38,0.96514463,26.66116987,55.34078573,0.31762429,12,3537,3537,1.00000000,nan,0.241916,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,BiLo-NSGA,proposed,1,0.15367356,39,0.99433186,20.09923673,34.88930617,0.27261620,12,3533,3533,1.00000000,nan,0.217421,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,BiLo-NSGA,proposed,2,0.17420409,39,0.85890132,26.70394247,18.74459204,0.32573559,11,3829,3829,1.00000000,nan,0.227916,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,BiLo-NSGA,proposed,3,0.16008633,38,0.99581313,21.24461360,93.42035381,0.28890778,12,3713,3713,1.00000000,nan,0.223811,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,BiLo-NSGA,proposed,4,0.16781793,38,0.95224850,22.84251486,35.86853897,0.28294112,12,3533,3533,1.00000000,nan,0.214103,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,BiLo-NSGA,proposed,5,0.17388569,38,0.93670570,25.07350644,21.67461708,0.29528271,12,3865,3865,1.00000000,nan,0.229454,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,BiLo-NSGA,proposed,6,0.17359328,39,0.93583224,27.54845642,21.11912988,0.31297429,12,3711,3711,1.00000000,nan,0.223316,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,BiLo-NSGA,proposed,7,0.16346830,39,0.95949093,22.06160578,53.21517797,0.28425778,12,3976,3976,1.00000000,nan,0.231069,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,BiLo-NSGA,proposed,8,0.15950122,39,0.99238175,21.24461360,86.11635381,0.28890778,12,3708,3708,1.00000000,nan,0.220577,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,BiLo-NSGA,proposed,9,0.16606539,39,0.99422355,22.12522831,43.37760113,0.28829112,12,3686,3686,1.00000000,nan,0.214853,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,BiLo-NSGA,proposed,10,0.16012101,39,0.98636571,21.57764738,40.61162328,0.28627445,12,3719,3719,1.00000000,nan,0.221364,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,BiLo-NSGA,proposed,11,0.15233529,39,0.92950878,20.05331212,13.64959148,0.25989953,12,3749,3749,1.00000000,nan,0.221621,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,BiLo-NSGA,proposed,12,0.17443252,39,0.95157737,24.39121989,41.98221608,0.29659937,12,3754,3754,1.00000000,nan,0.223920,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,BiLo-NSGA,proposed,13,0.15038112,38,0.99967812,19.65027833,34.78252833,0.27059953,12,3626,3626,1.00000000,nan,0.219893,public_rts_simbench_nerc_project_review_v3_direct_family_controls
