paper,experiment_id,method,method_role,repeat,hypervolume_proxy,budget_feasibility_rate,feasibility_rate,constraint_violation_rate,investment_cost_index,reliability_benefit_proxy,renewable_benefit_proxy,load_support_proxy,compliance_score,evidence_score,schedule_risk,implementation_risk,ranking_stability,trace_completeness,move_trace_completeness,dependency_balance,portfolio_size,local_move_count,runtime_s,source_status
p6,budget_constrained_selection,BiLo-NSGA,proposed,1,1.68865734,1.00000000,1.00000000,0.00000000,0.64186943,1.33388889,128.75775789,38.53000000,0.70000000,0.82000000,0.18000000,0.20000000,0.87960000,0.88560000,1.00000000,1.00000000,7,10,0.00100910,public_rts_simbench_nerc_project_review_v1
p6,budget_constrained_selection,BiLo-NSGA,proposed,2,1.68865734,1.00000000,1.00000000,0.00000000,0.64186943,1.33388889,128.75775789,38.53000000,0.70000000,0.82000000,0.18000000,0.20000000,0.87960000,0.88560000,1.00000000,1.00000000,7,10,0.00087730,public_rts_simbench_nerc_project_review_v1
p6,budget_constrained_selection,BiLo-NSGA,proposed,3,1.68865734,1.00000000,1.00000000,0.00000000,0.64186943,1.33388889,128.75775789,38.53000000,0.70000000,0.82000000,0.18000000,0.20000000,0.87960000,0.88560000,1.00000000,1.00000000,7,10,0.00084630,public_rts_simbench_nerc_project_review_v1
p6,budget_constrained_selection,BiLo-NSGA,proposed,4,1.68865734,1.00000000,1.00000000,0.00000000,0.64186943,1.33388889,128.75775789,38.53000000,0.70000000,0.82000000,0.18000000,0.20000000,0.87960000,0.88560000,1.00000000,1.00000000,7,10,0.00076960,public_rts_simbench_nerc_project_review_v1
p6,budget_constrained_selection,NSGA-II,baseline,1,1.54391053,1.00000000,1.00000000,0.00000000,0.82159759,1.71500000,157.74843158,47.19000000,0.70000000,0.82000000,0.18000000,0.20000000,0.79600000,0.74920000,0.64640000,1.00000000,9,0,0.00012440,public_rts_simbench_nerc_project_review_v1
p6,budget_constrained_selection,NSGA-II,baseline,2,1.54391053,1.00000000,1.00000000,0.00000000,0.82159759,1.71500000,157.74843158,47.19000000,0.70000000,0.82000000,0.18000000,0.20000000,0.79600000,0.74920000,0.64640000,1.00000000,9,0,0.00012070,public_rts_simbench_nerc_project_review_v1
p6,budget_constrained_selection,NSGA-II,baseline,3,1.54391053,1.00000000,1.00000000,0.00000000,0.82159759,1.71500000,157.74843158,47.19000000,0.70000000,0.82000000,0.18000000,0.20000000,0.79600000,0.74920000,0.64640000,1.00000000,9,0,0.00012230,public_rts_simbench_nerc_project_review_v1
p6,budget_constrained_selection,NSGA-II,baseline,4,1.54391053,1.00000000,1.00000000,0.00000000,0.82159759,1.71500000,157.74843158,47.19000000,0.70000000,0.82000000,0.18000000,0.20000000,0.79600000,0.74920000,0.64640000,1.00000000,9,0,0.00012120,public_rts_simbench_nerc_project_review_v1
p6,budget_constrained_selection,NSGA-III,baseline,1,1.54085172,1.00000000,1.00000000,0.00000000,0.82159759,1.71500000,157.74843158,47.19000000,0.70000000,0.82000000,0.18000000,0.20000000,0.79700000,0.74040000,0.64000000,1.00000000,9,0,0.00012070,public_rts_simbench_nerc_project_review_v1
p6,budget_constrained_selection,NSGA-III,baseline,2,1.54085172,1.00000000,1.00000000,0.00000000,0.82159759,1.71500000,157.74843158,47.19000000,0.70000000,0.82000000,0.18000000,0.20000000,0.79700000,0.74040000,0.64000000,1.00000000,9,0,0.00012430,public_rts_simbench_nerc_project_review_v1
