paper,experiment_id,method,method_role,repeat,hypervolume_proxy,budget_feasibility_rate,feasibility_rate,constraint_violation_rate,investment_cost_index,reliability_benefit_proxy,renewable_benefit_proxy,load_support_proxy,compliance_score,evidence_score,schedule_risk,implementation_risk,ranking_stability,trace_completeness,move_trace_completeness,dependency_balance,portfolio_size,local_move_count,runtime_s,source_status
p6,budget_constrained_selection,BiLo-NSGA,proposed,1,1.54274883,1.00000000,1.00000000,0.00000000,0.27792112,0.57166667,61.21481053,18.33000000,0.70000000,0.82000000,0.18000000,0.20000000,0.87960000,0.88560000,1.00000000,1.00000000,3,6,0.00072500,public_rts_simbench_nerc_project_review_v1
p6,budget_constrained_selection,BiLo-NSGA,proposed,2,1.54274883,1.00000000,1.00000000,0.00000000,0.27792112,0.57166667,61.21481053,18.33000000,0.70000000,0.82000000,0.18000000,0.20000000,0.87960000,0.88560000,1.00000000,1.00000000,3,6,0.00065410,public_rts_simbench_nerc_project_review_v1
p6,budget_constrained_selection,BiLo-NSGA,proposed,3,1.54274883,1.00000000,1.00000000,0.00000000,0.27792112,0.57166667,61.21481053,18.33000000,0.70000000,0.82000000,0.18000000,0.20000000,0.87960000,0.88560000,1.00000000,1.00000000,3,6,0.00062910,public_rts_simbench_nerc_project_review_v1
p6,budget_constrained_selection,BiLo-NSGA,proposed,4,1.54274883,1.00000000,1.00000000,0.00000000,0.27792112,0.57166667,61.21481053,18.33000000,0.70000000,0.82000000,0.18000000,0.20000000,0.87960000,0.88560000,1.00000000,1.00000000,3,6,0.00064160,public_rts_simbench_nerc_project_review_v1
p6,budget_constrained_selection,NSGA-II,baseline,1,1.70208937,1.00000000,1.00000000,0.00000000,0.82159759,1.71500000,157.74843158,47.19000000,0.70000000,0.82000000,0.18000000,0.20000000,0.79600000,0.74920000,0.64640000,1.00000000,9,0,0.00012930,public_rts_simbench_nerc_project_review_v1
p6,budget_constrained_selection,NSGA-II,baseline,2,1.70208937,1.00000000,1.00000000,0.00000000,0.82159759,1.71500000,157.74843158,47.19000000,0.70000000,0.82000000,0.18000000,0.20000000,0.79600000,0.74920000,0.64640000,1.00000000,9,0,0.00012640,public_rts_simbench_nerc_project_review_v1
p6,budget_constrained_selection,NSGA-II,baseline,3,1.70208937,1.00000000,1.00000000,0.00000000,0.82159759,1.71500000,157.74843158,47.19000000,0.70000000,0.82000000,0.18000000,0.20000000,0.79600000,0.74920000,0.64640000,1.00000000,9,0,0.00012730,public_rts_simbench_nerc_project_review_v1
p6,budget_constrained_selection,NSGA-II,baseline,4,1.70208937,1.00000000,1.00000000,0.00000000,0.82159759,1.71500000,157.74843158,47.19000000,0.70000000,0.82000000,0.18000000,0.20000000,0.79600000,0.74920000,0.64640000,1.00000000,9,0,0.00013660,public_rts_simbench_nerc_project_review_v1
p6,budget_constrained_selection,NSGA-III,baseline,1,1.69974490,1.00000000,1.00000000,0.00000000,0.82159759,1.71500000,157.74843158,47.19000000,0.70000000,0.82000000,0.18000000,0.20000000,0.79700000,0.74040000,0.64000000,1.00000000,9,0,0.00021130,public_rts_simbench_nerc_project_review_v1
p6,budget_constrained_selection,NSGA-III,baseline,2,1.69974490,1.00000000,1.00000000,0.00000000,0.82159759,1.71500000,157.74843158,47.19000000,0.70000000,0.82000000,0.18000000,0.20000000,0.79700000,0.74040000,0.64000000,1.00000000,9,0,0.00015370,public_rts_simbench_nerc_project_review_v1
