paper,experiment_id,method,method_role,seed,hypervolume,feasible_front_size,compromise_cost_index,compromise_reliability,compromise_renewable,compromise_risk,portfolio_size,local_move_count,trace_event_count,decision_coverage,runtime_s,source_status
p6,budget_constrained_selection,BiLo-NSGA,proposed,0,0.14805001,39,0.99536752,19.17299178,31.79559048,0.26858286,12,3365,3365,0.95744681,0.190776,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,BiLo-NSGA,proposed,1,0.17462090,39,0.96774403,24.63517829,58.68353077,0.30194937,12,3379,3379,1.00000000,0.187228,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,BiLo-NSGA,proposed,2,0.17410510,38,0.93882246,25.10183460,22.51125708,0.29528271,12,3597,3597,0.97727273,0.195750,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,BiLo-NSGA,proposed,3,0.15827283,39,0.99303683,21.24461360,87.51075381,0.28890778,12,3486,3486,1.00000000,0.188302,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,BiLo-NSGA,proposed,4,0.15291273,38,0.96154665,20.13423673,42.32704301,0.26858286,12,3264,3264,1.00000000,0.183611,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,BiLo-NSGA,proposed,5,0.16551714,38,0.97407426,22.35855647,17.38002428,0.28495778,12,3596,3596,0.98076923,0.197510,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,BiLo-NSGA,proposed,6,0.17240688,39,0.98959118,24.60017829,34.49163393,0.30598271,12,3318,3318,0.98039216,0.181076,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,BiLo-NSGA,proposed,7,0.16750173,39,0.95374583,22.84251486,39.05573897,0.28294112,12,3676,3676,0.98039216,0.194209,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,BiLo-NSGA,proposed,8,0.17437653,38,0.96230595,26.66116987,49.29838573,0.31762429,12,3508,3508,1.00000000,0.185786,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,BiLo-NSGA,proposed,9,0.17462871,39,0.87528055,26.47061431,40.84544888,0.32937196,11,3433,3433,1.00000000,0.186499,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,BiLo-NSGA,proposed,10,0.17249094,38,0.94176005,26.79587549,31.26424888,0.31429096,12,3440,3440,1.00000000,0.191565,public_rts_simbench_nerc_project_review_v2_real_algorithms
