paper,experiment_id,method,method_role,n_seeds,pool_size,n_built,n_withdrawn,n_unresolved,n_deferred,outcome_capture_strict,outcome_capture_broad,pointbiserial_r_broad,pointbiserial_p_broad,pointbiserial_r_strict,pointbiserial_p_strict,mannwhitney_p_broad,mannwhitney_p_strict,withdrawn_capture,deferred_selection_share,mean_portfolio_size,source_status
p6,budget_constrained_selection,Ablation-WeightedRankingOnly,ablation,10,1097,844,17,201,35,1.006894,1.111981,0.065405,0.033072,0.015222,0.655568,0.033158,0.656025,0.657754,0.000000,86.0,public_miso_mtep16_outcome_backtest_v1
p6,budget_constrained_selection,AHP-TOPSIS,baseline,10,1097,844,17,201,35,1.009212,1.099519,0.127732,0.000030,0.045060,0.186518,0.000032,0.186560,0.542647,0.009375,320.0,public_miso_mtep16_outcome_backtest_v1
p6,budget_constrained_selection,Ablation-NoFeasibilityRecovery,ablation,10,1097,844,17,201,35,1.010164,1.087656,0.090543,0.003144,0.039193,0.250642,0.008414,0.330409,0.495397,0.008466,200.8,public_miso_mtep16_outcome_backtest_v1
p6,budget_constrained_selection,Ablation-LowDependencyDensity,ablation,10,1097,844,17,201,35,1.008049,1.071632,0.089113,0.003656,0.037039,0.277644,0.017304,0.447438,0.600368,0.009312,247.0,public_miso_mtep16_outcome_backtest_v1
p6,budget_constrained_selection,BiLo-NSGA,proposed,10,1097,844,17,201,35,1.009326,1.071455,0.087763,0.004207,0.042287,0.215139,0.014676,0.151476,0.536981,0.007819,243.0,public_miso_mtep16_outcome_backtest_v1
p6,budget_constrained_selection,Ablation-LooseBudget,ablation,10,1097,844,17,201,35,1.007744,1.069366,0.085331,0.005392,0.035187,0.302396,0.020295,0.431385,0.615545,0.011983,242.0,public_miso_mtep16_outcome_backtest_v1
p6,budget_constrained_selection,Ablation-NoBackwardSearch,ablation,10,1097,844,17,201,35,1.009445,1.067955,0.097421,0.001480,0.050168,0.141333,0.000395,0.089650,0.531094,0.017276,248.9,public_miso_mtep16_outcome_backtest_v1
p6,budget_constrained_selection,Ablation-LegacyDeletion,ablation,10,1097,844,17,201,35,1.006630,1.065260,0.080595,0.008598,0.030258,0.375199,0.022563,0.496474,0.670822,0.014006,214.2,public_miso_mtep16_outcome_backtest_v1
p6,budget_constrained_selection,Ablation-NoDependencyMoves,ablation,10,1097,844,17,201,35,1.003942,1.063310,0.078402,0.010591,0.018004,0.597809,0.059146,0.937034,0.804308,0.008603,244.1,public_miso_mtep16_outcome_backtest_v1
p6,budget_constrained_selection,Ablation-NoForwardSearch,ablation,10,1097,844,17,201,35,1.011932,1.058599,0.078577,0.010418,0.058886,0.084192,0.003794,0.060148,0.407622,0.012360,178.0,public_miso_mtep16_outcome_backtest_v1
