paper,experiment_id,method,method_role,n_seeds,pool_size,n_built,n_withdrawn,n_unresolved,n_deferred,outcome_capture_strict,outcome_capture_broad,pointbiserial_r_broad,pointbiserial_p_broad,pointbiserial_r_strict,pointbiserial_p_strict,mannwhitney_p_broad,mannwhitney_p_strict,withdrawn_capture,deferred_selection_share,mean_portfolio_size,source_status
p6,budget_constrained_selection,Ablation-WeightedRankingOnly,ablation,10,1097,844,17,201,35,1.006894,1.111981,0.065405,0.033072,0.015222,0.655568,0.033158,0.656025,0.657754,0.000000,86.0,public_miso_mtep16_outcome_backtest_v1
p6,budget_constrained_selection,AHP-TOPSIS,baseline,10,1097,844,17,201,35,1.009212,1.099519,0.127732,0.000030,0.045060,0.186518,0.000032,0.186560,0.542647,0.009375,320.0,public_miso_mtep16_outcome_backtest_v1
p6,budget_constrained_selection,BiLo-NSGA,proposed,10,1097,844,17,201,35,1.013144,1.084299,0.105016,0.000609,0.061260,0.072395,0.000227,0.039026,0.347447,0.011317,220.9,public_miso_mtep16_outcome_backtest_v1
p6,budget_constrained_selection,Ablation-NoFeasibilityRecovery,ablation,10,1097,844,17,201,35,1.011765,1.078341,0.085871,0.005106,0.048026,0.159136,0.003899,0.382359,0.415927,0.013463,185.7,public_miso_mtep16_outcome_backtest_v1
p6,budget_constrained_selection,Ablation-NoDependencyMoves,ablation,10,1097,844,17,201,35,1.012071,1.077801,0.097951,0.001393,0.056642,0.096725,0.000314,0.049360,0.400689,0.011256,222.1,public_miso_mtep16_outcome_backtest_v1
p6,budget_constrained_selection,Ablation-LowDependencyDensity,ablation,10,1097,844,17,201,35,1.008299,1.071266,0.092091,0.002665,0.039731,0.244191,0.005067,0.353296,0.587987,0.011680,222.6,public_miso_mtep16_outcome_backtest_v1
p6,budget_constrained_selection,Ablation-NoBackwardSearch,ablation,10,1097,844,17,201,35,1.009445,1.067955,0.097421,0.001480,0.050168,0.141333,0.000395,0.089650,0.531094,0.017276,248.9,public_miso_mtep16_outcome_backtest_v1
p6,budget_constrained_selection,Ablation-LooseBudget,ablation,10,1097,844,17,201,35,1.006727,1.065939,0.079485,0.009561,0.029979,0.379621,0.025326,0.537193,0.666044,0.012082,215.2,public_miso_mtep16_outcome_backtest_v1
p6,budget_constrained_selection,Ablation-ShallowLocalSearch,ablation,10,1097,844,17,201,35,1.007802,1.035662,0.056859,0.063990,0.044443,0.192635,0.164283,0.149334,0.612666,0.018681,182.0,public_miso_mtep16_outcome_backtest_v1
p6,budget_constrained_selection,NSGA-III,baseline,10,1097,844,17,201,35,1.000830,1.028346,0.050330,0.101154,0.005349,0.875463,0.090448,0.739019,0.958797,0.020890,110.1,public_miso_mtep16_outcome_backtest_v1
