paper,experiment_id,method,method_role,n_seeds,priority_capture_ratio,kendall_tau,kendall_p,mean_portfolio_size,source_status
p6,budget_constrained_selection,AHP-TOPSIS,baseline,10,2.314274,0.441372,2.26215e-08,13.00,public_nerc_rule_backtest_v1
p6,budget_constrained_selection,Ablation-NoForwardSearch,ablation,10,1.742914,0.176308,0.0177575,11.60,public_nerc_rule_backtest_v1
p6,budget_constrained_selection,Ablation-ShallowLocalSearch,ablation,10,1.671945,0.174575,0.0187098,12.00,public_nerc_rule_backtest_v1
p6,budget_constrained_selection,Ablation-RandomMutationOnly,ablation,10,1.623138,0.043165,0.561095,11.70,public_nerc_rule_backtest_v1
p6,budget_constrained_selection,BiLo-NSGA,proposed,10,1.616590,0.109198,0.142573,11.90,public_nerc_rule_backtest_v1
p6,budget_constrained_selection,Ablation-LegacyDeletion,ablation,10,1.607400,0.136551,0.0663526,11.70,public_nerc_rule_backtest_v1
p6,budget_constrained_selection,Ablation-NoBackwardSearch,ablation,10,1.578274,0.070355,0.343647,12.00,public_nerc_rule_backtest_v1
p6,budget_constrained_selection,NSGA-II,baseline,10,1.574740,0.058546,0.429176,11.70,public_nerc_rule_backtest_v1
p6,budget_constrained_selection,Ablation-LooseBudget,ablation,10,1.571654,0.126553,0.0903842,10.80,public_nerc_rule_backtest_v1
p6,budget_constrained_selection,Ablation-LowDependencyDensity,ablation,10,1.570698,0.101299,0.172919,11.70,public_nerc_rule_backtest_v1
p6,budget_constrained_selection,Ablation-NoFeasibilityRecovery,ablation,10,1.536215,0.099577,0.180002,11.60,public_nerc_rule_backtest_v1
p6,budget_constrained_selection,Ablation-NoDependencyMoves,ablation,10,1.533999,0.064709,0.382751,11.50,public_nerc_rule_backtest_v1
p6,budget_constrained_selection,NSGA-III,baseline,10,1.492731,0.011861,0.872564,10.90,public_nerc_rule_backtest_v1
p6,budget_constrained_selection,Ablation-WeightedRankingOnly,ablation,10,1.216178,0.027437,0.728193,3.00,public_nerc_rule_backtest_v1
p6,budget_constrained_selection,Pareto Local Search,baseline,10,1.039933,-0.068597,0.349858,11.10,public_nerc_rule_backtest_v1
p6,budget_constrained_selection,Random Feasible,baseline,10,0.943514,-0.003443,0.96345,7.70,public_nerc_rule_backtest_v1
p6,budget_constrained_selection,MOEA/D,baseline,10,0.842903,-0.034909,0.655717,1.20,public_nerc_rule_backtest_v1
p6,budget_constrained_selection,Greedy BCR,baseline,10,0.226572,-0.266846,0.000724802,11.00,public_nerc_rule_backtest_v1
p6,reliability_prioritized_review,AHP-TOPSIS,baseline,10,1.597855,0.497232,4.84178e-07,14.00,public_nerc_rule_backtest_v1
p6,reliability_prioritized_review,NSGA-II,baseline,10,1.403196,0.296324,0.00108727,12.50,public_nerc_rule_backtest_v1
p6,reliability_prioritized_review,Ablation-RandomMutationOnly,ablation,10,1.361182,0.084286,0.353344,12.90,public_nerc_rule_backtest_v1
p6,reliability_prioritized_review,Ablation-LowDependencyDensity,ablation,10,1.358136,0.229844,0.0115616,13.00,public_nerc_rule_backtest_v1
p6,reliability_prioritized_review,NSGA-III,baseline,10,1.357023,0.259801,0.00412915,11.80,public_nerc_rule_backtest_v1
p6,reliability_prioritized_review,Ablation-LooseBudget,ablation,10,1.347782,0.096848,0.286228,11.90,public_nerc_rule_backtest_v1
p6,reliability_prioritized_review,Ablation-NoBackwardSearch,ablation,10,1.336575,0.160346,0.0758421,12.90,public_nerc_rule_backtest_v1
p6,reliability_prioritized_review,Ablation-NoForwardSearch,ablation,10,1.326014,0.155060,0.0853634,12.60,public_nerc_rule_backtest_v1
p6,reliability_prioritized_review,Ablation-LegacyDeletion,ablation,10,1.321351,0.097150,0.287563,12.50,public_nerc_rule_backtest_v1
p6,reliability_prioritized_review,Ablation-NoDependencyMoves,ablation,10,1.317527,0.146806,0.104651,12.80,public_nerc_rule_backtest_v1
p6,reliability_prioritized_review,BiLo-NSGA,proposed,10,1.301273,0.072899,0.419248,12.80,public_nerc_rule_backtest_v1
p6,reliability_prioritized_review,Ablation-ShallowLocalSearch,ablation,10,1.277172,0.133861,0.135496,13.50,public_nerc_rule_backtest_v1
p6,reliability_prioritized_review,Ablation-NoFeasibilityRecovery,ablation,10,1.271615,0.136584,0.132383,12.80,public_nerc_rule_backtest_v1
p6,reliability_prioritized_review,Pareto Local Search,baseline,10,1.027687,-0.011780,0.896246,10.70,public_nerc_rule_backtest_v1
p6,reliability_prioritized_review,Random Feasible,baseline,10,0.953811,-0.129607,0.164782,7.00,public_nerc_rule_backtest_v1
p6,reliability_prioritized_review,Ablation-WeightedRankingOnly,ablation,10,0.734584,-0.099896,0.311992,4.00,public_nerc_rule_backtest_v1
p6,reliability_prioritized_review,Greedy BCR,baseline,10,0.450402,-0.406526,3.88116e-05,9.00,public_nerc_rule_backtest_v1
p6,reliability_prioritized_review,MOEA/D,baseline,10,nan,nan,nan,0.00,public_nerc_rule_backtest_v1
