paper,method,method_role,mean_hypervolume,std_hypervolume,mean_feasible_front_size,mean_compromise_cost_index,mean_portfolio_size,mean_local_move_count,mean_decision_coverage,mean_runtime_s,runs
p6,Ablation-NoBackwardSearch,ablation,0.17294302,0.00797087,38.5875,0.95942647,13.0000,3295.2292,0.97783441,0.163004,240
p6,BiLo-NSGA,proposed,0.17267347,0.00859345,38.6167,0.94840102,12.8000,3429.7833,0.98642397,0.193466,240
p6,Ablation-LowDependencyDensity,ablation,0.17262727,0.00819118,38.6292,0.94794212,12.8208,3456.7000,0.98514920,0.194495,240
p6,Ablation-ShallowLocalSearch,ablation,0.17254737,0.00782199,38.7042,0.95214363,12.8500,2101.5167,0.98331451,0.131309,240
p6,Ablation-NoDependencyMoves,ablation,0.17200632,0.00856965,38.6208,0.94882554,12.8583,3442.3333,0.98676755,0.168176,240
p6,Ablation-RandomMutationOnly,ablation,0.17172917,0.00700738,38.4083,0.94599077,12.9167,2631.0042,0.99891391,0.050228,240
p6,Ablation-NoForwardSearch,ablation,0.17170785,0.00624825,38.6167,0.92802783,12.6542,997.8750,0.97324825,0.075430,240
p6,Ablation-NoFeasibilityRecovery,ablation,0.17045638,0.01023639,39.4083,0.95528551,12.8167,2425.6917,0.90159008,0.174895,240
p6,NSGA-II,baseline,0.17000297,0.00739137,40.0000,0.93994424,12.5958,0.0000,0.00000000,0.079798,240
p6,NSGA-III,baseline,0.16236232,0.01331321,40.0000,0.91427036,12.2667,0.0000,0.00000000,0.099807,240
p6,Ablation-LooseBudget,ablation,0.16209123,0.01341422,25.6583,0.88506925,11.8125,3817.4750,0.98432422,0.215883,240
p6,AHP-TOPSIS,baseline,0.13874738,0.00152281,1.0000,0.96003261,13.5000,0.0000,0.00000000,0.000411,240
p6,Random Feasible,baseline,0.07025532,0.02089243,1.0000,0.97110512,8.9375,0.0000,0.00000000,0.000339,240
p6,Greedy BCR,baseline,0.04097955,0.00766583,1.0000,0.97283747,11.1250,0.0000,0.00000000,0.000317,240
p6,Ablation-WeightedRankingOnly,ablation,0.03559022,0.00892416,1.0000,0.97667612,4.8750,0.0000,0.00000000,0.000311,240
p6,MOEA/D,baseline,0.02529045,0.01403781,3.3792,0.07627185,1.0125,0.0000,0.00000000,0.307961,240
