paper,experiment_id,comparison,opponent_role,n_per_group,mean_proposed,mean_opponent,mean_diff,u_statistic,p_value,p_holm,significant_005_holm
p6,budget_constrained_selection,BiLo-NSGA vs AHP-TOPSIS,baseline,30,0.16516296,0.13637213,0.02879083,900.00,1.21178e-12,1.81767e-11,True
p6,budget_constrained_selection,BiLo-NSGA vs Ablation-LooseBudget,ablation,30,0.16516296,0.15460564,0.01055731,678.00,0.000769729,0.00692756,True
p6,budget_constrained_selection,BiLo-NSGA vs Ablation-LowDependencyDensity,ablation,30,0.16516296,0.16686185,-0.00169889,398.00,0.446419,1,False
p6,budget_constrained_selection,BiLo-NSGA vs Ablation-NoBackwardSearch,ablation,30,0.16516296,0.16983221,-0.00466925,311.00,0.040595,0.32476,False
p6,budget_constrained_selection,BiLo-NSGA vs Ablation-NoDependencyMoves,ablation,30,0.16516296,0.16314769,0.00201527,537.00,0.200949,1,False
p6,budget_constrained_selection,BiLo-NSGA vs Ablation-NoFeasibilityRecovery,ablation,30,0.16516296,0.16072677,0.00443618,580.00,0.0555457,0.38882,False
p6,budget_constrained_selection,BiLo-NSGA vs Ablation-NoForwardSearch,ablation,30,0.16516296,0.16751238,-0.00234943,435.00,0.830255,1,False
p6,budget_constrained_selection,BiLo-NSGA vs Ablation-RandomMutationOnly,ablation,30,0.16516296,0.16530770,-0.00014474,490.00,0.559231,1,False
p6,budget_constrained_selection,BiLo-NSGA vs Ablation-ShallowLocalSearch,ablation,30,0.16516296,0.16777481,-0.00261185,379.00,0.297272,1,False
p6,budget_constrained_selection,BiLo-NSGA vs Ablation-WeightedRankingOnly,ablation,30,0.16516296,0.02974942,0.13541354,900.00,1.21178e-12,1.81767e-11,True
p6,budget_constrained_selection,BiLo-NSGA vs Greedy BCR,baseline,30,0.16516296,0.03910305,0.12605991,900.00,1.21178e-12,1.81767e-11,True
p6,budget_constrained_selection,BiLo-NSGA vs MOEA/D,baseline,30,0.16516296,0.02936700,0.13579595,900.00,2.2521e-11,2.70252e-10,True
