paper,ngram_n,phrase,manuscript_count,comparator_mean_count,comparator_document_frequency,n_comparators
P1,2,neural networks,0,3.3,10,10
P1,3,object identifier access,0,1,10,10
P1,3,digital object identifier,0,1,10,10
P1,2,object identifier,0,1,10,10
P1,2,information see,0,1,10,10
P1,2,index terms,1,1,10,10
P1,2,identifier access,0,1,10,10
P1,2,digital object,0,1,10,10
P1,2,creative commons,0,1,10,10
P1,2,power system,2,5.6,9,10
P1,2,load forecasting,2,23.8,8,10
P1,2,time series,1,10.8,8,10
P1,2,short-term load,0,3.8,8,10
P1,3,short-term load forecasting,0,3.2,8,10
P1,2,electric power,0,2.6,8,10
P1,3,creative commons attribution-noncommercial-noderivatives,0,0.8,8,10
P1,2,licenses by-nc-nd,0,0.8,8,10
P1,2,commons attribution-noncommercial-noderivatives,0,0.8,8,10
P1,2,power load,0,20.4,7,10
P1,3,power load forecasting,0,12,7,10
P1,2,prediction accuracy,0,5.2,7,10
P1,2,neural network,0,3.6,7,10
P1,2,recurrent neural,0,1.6,7,10
P1,2,machine learning,0,1.6,7,10
P1,2,mean absolute,2,1.4,7,10
P1,2,china corresponding,0,0.7,7,10
P1,2,short-term power,0,5.4,6,10
P1,3,short-term power load,0,5.2,6,10
P1,2,syst vol,0,4.6,6,10
P1,2,ieee trans,0,4.5,6,10
P1,2,prediction results,0,3.4,6,10
P1,2,electricity load,0,2.7,6,10
P1,2,experimental results,0,2.6,6,10
P1,2,load prediction,0,2.2,6,10
P1,2,vol jan,0,2,6,10
P1,2,power grid,0,1.6,6,10
P1,2,short-term memory,0,1.5,6,10
P1,2,interests include,0,1.5,6,10
P1,2,electrical engineering,0,1.4,6,10
P1,2,electr power,0,1.4,6,10
P2,2,power system,4,3.1,10,10
P2,2,power supply,0,2.7,10,10
P2,2,electronics table,0,2,10,10
P2,2,published version,1,1.1,10,10
P2,3,mdpi basel switzerland,0,1,10,10
P2,2,open access,0,1,10,10
P2,2,mdpi basel,0,1,10,10
P2,2,creative commons,0,1,10,10
P2,2,basel switzerland,0,1,10,10
P2,2,availability statement,1,1,10,10
P2,2,renewable energy,0,4.1,9,10
P2,2,original draft,0,1,9,10
P2,2,conflicts interest,2,1,9,10
P2,3,licensee mdpi basel,0,0.9,9,10
P2,2,licensee mdpi,0,0.9,9,10
P2,2,objective function,0,4.2,8,10
P2,2,writing review,0,0.9,8,10
P2,2,neural networks,0,3.2,7,10
P2,2,long short-term,0,3.1,7,10
P2,3,long short-term memory,0,3,7,10
P2,2,short-term memory,0,3,7,10
P2,2,optimization algorithm,0,2.6,7,10
P2,2,stable operation,0,1.3,7,10
P2,2,recent years,0,1.1,7,10
P2,2,proposed method,0,1.1,7,10
P2,2,table table,1,1,7,10
P2,2,presented table,0,1,7,10
P2,3,writing original draft,0,0.8,7,10
P2,2,writing original,0,0.8,7,10
P2,3,original draft preparation,0,0.7,7,10
P2,2,draft preparation,0,0.7,7,10
P2,2,contributions conceptualization,0,0.7,7,10
P2,2,conflict interest,0,0.7,7,10
P2,2,load forecasting,8,11.9,6,10
P2,2,prediction accuracy,0,4.1,6,10
P2,2,wind power,0,2.9,6,10
P2,2,power grid,0,2.3,6,10
P2,2,wind turbines,0,1.8,6,10
P2,2,table comparison,0,1.8,6,10
P2,2,power systems,0,1.2,6,10
P3,2,energy storage,1,19.1,10,10
P3,2,objective function,0,6.3,10,10
P3,2,renewable energy,0,6.1,10,10
P3,2,power flow,4,4.6,10,10
P3,3,mdpi basel switzerland,0,1,10,10
P3,2,open access,0,1,10,10
P3,2,mdpi basel,0,1,10,10
P3,2,creative commons,0,1,10,10
P3,2,basel switzerland,0,1,10,10
P3,2,availability statement,1,0.9,9,10
P3,2,distribution network,5,14,8,10
P3,2,distribution networks,2,8.6,8,10
P3,2,reactive power,0,7.5,8,10
P3,2,investment cost,2,6.9,8,10
P3,2,storage systems,0,2.8,8,10
P3,3,energy storage systems,0,2.6,8,10
P3,2,proposed method,1,2.3,8,10
P3,2,power balance,0,2.3,8,10
P3,2,energies table,0,2.1,8,10
P3,2,optimal solution,0,2,8,10
P3,2,table comparison,0,1.2,8,10
P3,2,optimization problem,0,1.1,8,10
P3,2,conflicts interest,2,1.1,8,10
P3,3,licensee mdpi basel,0,0.8,8,10
P3,2,published version,1,0.8,8,10
P3,2,licensee mdpi,0,0.8,8,10
P3,2,active power,0,7.7,7,10
P3,2,distribution system,1,4,7,10
P3,2,wind power,0,3.1,7,10
P3,2,power system,2,2.3,7,10
P3,2,distributed generation,0,2.3,7,10
P3,2,active distribution,2,2.3,7,10
P3,2,solar power,0,2,7,10
P3,2,test system,0,1.7,7,10
P3,2,storage system,0,1.6,7,10
P3,2,operating conditions,0,1.6,7,10
P3,2,while maintaining,0,1.5,7,10
P3,2,power systems,0,1.4,7,10
P3,2,system operation,0,1.2,7,10
P3,2,electrical engineering,0,1.1,7,10
P4,2,energy storage,0,13.8,10,10
P4,2,renewable energy,0,6.2,10,10
P4,2,objective function,0,5.2,10,10
P4,3,mdpi basel switzerland,0,1,10,10
P4,3,licensee mdpi basel,0,1,10,10
P4,2,open access,0,1,10,10
P4,2,mdpi basel,0,1,10,10
P4,2,licensee mdpi,0,1,10,10
P4,2,creative commons,0,1,10,10
P4,2,basel switzerland,0,1,10,10
P4,2,power flow,5,4.3,9,10
P4,2,power system,3,3.2,9,10
P4,2,generation units,0,3,9,10
P4,2,energies table,0,2.2,9,10
P4,2,operating conditions,0,2.1,9,10
P4,2,electrical engineering,0,1.3,9,10
P4,2,edu correspondence,0,0.9,9,10
P4,2,availability statement,2,0.9,9,10
P4,2,distributed generation,0,2.6,8,10
P4,2,storage systems,0,2.1,8,10
P4,3,energy storage systems,0,2,8,10
P4,2,optimization problems,0,1.3,8,10
P4,2,optimization problem,0,1.3,8,10
P4,2,energy sources,0,1.2,8,10
P4,2,conflicts interest,2,1.2,8,10
P4,2,total load,0,1.1,8,10
P4,2,department electrical,0,1,8,10
