dataset,horizon_hours,reconciliation,comparison,metric,n_pairs,mean_paired_difference,median_paired_difference,mean_diff_ci_low,mean_diff_ci_high,paired_sign_balance,exact_signflip_p,p_holm_paired_sensitivity
OPSD,1,NA,HyG-LoadFormer (neural) vs Ablation-EqualNeighbors (neural),mape,10,5.708799999999993e-05,2.462500000000034e-05,-0.0001652056500000001,0.0003055397249999999,0.2,0.6328125,1.0
OPSD,1,NA,HyG-LoadFormer (neural) vs Ablation-EuclideanGraph (neural),mape,10,4.574100000000001e-05,3.1849999999999934e-05,-0.00015320922500000045,0.0002549911500000003,0.2,0.6796875,1.0
OPSD,1,NA,HyG-LoadFormer (neural) vs Ablation-FixedCurvature (neural),mape,10,-1.779199999999998e-05,-1.577499999999999e-05,-0.00016878372500000018,0.00013560179999999995,0.0,0.845703125,1.0
OPSD,1,NA,HyG-LoadFormer (neural) vs Ablation-NoCalendar (neural),mape,10,7.175500000000009e-05,2.4599999999999622e-05,-0.00013835102499999962,0.0002913460499999999,0.0,0.552734375,1.0
OPSD,1,NA,HyG-LoadFormer (neural) vs Ablation-TemporalOnly (neural),mape,10,-0.00029141299999999975,-0.0003551449999999994,-0.0005323369750000002,-5.182167499999963e-05,-0.4,0.05859375,0.29296875
OPSD,1,NA,HyG-LoadFormer (neural) vs MLP,mape,10,0.000533659,0.0004801299999999996,0.0002484019999999998,0.0008260729500000001,0.8,0.0078125,0.046875
OPSD,24,NA,HyG-LoadFormer (neural) vs Ablation-EqualNeighbors (neural),mape,10,-0.00012394400000000118,-1.0309999999996017e-05,-0.0004474893000000008,0.0002115222749999976,0.0,0.48828125,1.0
OPSD,24,NA,HyG-LoadFormer (neural) vs Ablation-EuclideanGraph (neural),mape,10,8.802299999999853e-05,7.176499999999794e-05,-0.0001077031,0.00028932499999999826,0.0,0.443359375,1.0
OPSD,24,NA,HyG-LoadFormer (neural) vs Ablation-FixedCurvature (neural),mape,10,4.286399999999905e-05,-4.0850000000008935e-06,-9.258102500000028e-05,0.0001814692250000004,-0.2,0.58984375,1.0
OPSD,24,NA,HyG-LoadFormer (neural) vs Ablation-NoCalendar (neural),mape,10,0.0004718219999999988,0.0006126449999999985,-4.4843050000001376e-05,0.00096118245,0.4,0.111328125,0.4453125
OPSD,24,NA,HyG-LoadFormer (neural) vs Ablation-TemporalOnly (neural),mape,10,-0.0022464810000000007,-0.002145270000000001,-0.0028133391250000006,-0.0017411805249999996,-1.0,0.001953125,0.01171875
OPSD,24,NA,HyG-LoadFormer (neural) vs MLP,mape,10,-0.0013706450000000013,-0.0012512900000000021,-0.0018256426999999993,-0.0009265310500000011,-1.0,0.001953125,0.01171875
SIMBENCH,1,NA,HyG-LoadFormer (neural) vs Ablation-EqualNeighbors (neural),normalized_mae,10,-0.00011264599999999959,-7.950999999999792e-05,-0.00023714562499999958,6.047474999999789e-06,-0.2,0.125,0.5
SIMBENCH,1,NA,HyG-LoadFormer (neural) vs Ablation-EuclideanGraph (neural),normalized_mae,10,-7.54379999999999e-05,2.7299999999993996e-06,-0.00018971307499999888,3.302199999999987e-05,0.0,0.259765625,0.779296875
SIMBENCH,1,NA,HyG-LoadFormer (neural) vs Ablation-FixedCurvature (neural),normalized_mae,10,3.98530000000015e-05,7.385000000000377e-05,-7.312607500000004e-05,0.0001459814250000026,0.2,0.513671875,1.0
SIMBENCH,1,NA,HyG-LoadFormer (neural) vs Ablation-NoCalendar (neural),normalized_mae,10,-0.0002786999999999991,-0.00026824999999999766,-0.0005307513999999993,-2.586009999999631e-05,-0.4,0.072265625,0.361328125
SIMBENCH,1,NA,HyG-LoadFormer (neural) vs Ablation-TemporalOnly (neural),normalized_mae,10,-0.0005436709999999997,-0.0004303000000000015,-0.0009808642000000015,-0.00012804504999999926,-0.6,0.0390625,0.234375
SIMBENCH,1,NA,HyG-LoadFormer (neural) vs MLP,normalized_mae,10,-3.6150999999999546e-05,4.315499999999958e-05,-0.0004771695749999992,0.00038914200000000063,0.0,0.884765625,1.0
SIMBENCH,24,NA,HyG-LoadFormer (neural) vs Ablation-EqualNeighbors (neural),normalized_mae,10,0.0004829609999999991,-3.551499999999638e-05,-0.0009301298500000004,0.0018966380999999985,-0.2,0.494140625,1.0
SIMBENCH,24,NA,HyG-LoadFormer (neural) vs Ablation-EuclideanGraph (neural),normalized_mae,10,-0.0001917930000000005,-4.0969999999997814e-05,-0.0014633532000000028,0.0010281811499999996,0.0,0.689453125,1.0
SIMBENCH,24,NA,HyG-LoadFormer (neural) vs Ablation-FixedCurvature (neural),normalized_mae,10,5.874399999999877e-05,1.7635000000001955e-05,-0.00011659255000000145,0.00026469384999999805,0.0,0.595703125,1.0
SIMBENCH,24,NA,HyG-LoadFormer (neural) vs Ablation-NoCalendar (neural),normalized_mae,10,-0.0014524650000000007,-0.000796294999999999,-0.0030389739250000014,0.00022355902499999835,-0.2,0.13671875,0.68359375
SIMBENCH,24,NA,HyG-LoadFormer (neural) vs Ablation-TemporalOnly (neural),normalized_mae,10,0.000463421,-4.215000000001856e-06,-0.0007584872250000004,0.0019461761999999977,0.0,0.6015625,1.0
SIMBENCH,24,NA,HyG-LoadFormer (neural) vs MLP,normalized_mae,10,0.0020708269999999986,0.0017214049999999988,0.0007592679999999992,0.0034418295999999985,0.8,0.017578125,0.10546875
AUSGRID,24,OLS-Reconciled,HyG-LoadFormer (neural) vs Ablation-EqualNeighbors (neural),hierarchy_weighted_smape,10,-0.00048493199999998795,0.00020649000000003137,-0.003922169024999995,0.002323932100000008,0.0,0.873046875,1.0
AUSGRID,24,OLS-Reconciled,HyG-LoadFormer (neural) vs Ablation-EuclideanGraph (neural),hierarchy_weighted_smape,10,-0.00012995899999999617,-0.0002946500000000074,-0.0005480956000000017,0.0003151795500000075,-0.4,0.58203125,1.0
AUSGRID,24,OLS-Reconciled,HyG-LoadFormer (neural) vs Ablation-FixedCurvature (neural),hierarchy_weighted_smape,10,-0.0006623909999999844,-3.750499999996548e-05,-0.004252828424999986,0.002285299000000007,-0.2,0.716796875,1.0
AUSGRID,24,OLS-Reconciled,HyG-LoadFormer (neural) vs Ablation-NoCalendar (neural),hierarchy_weighted_smape,10,-0.001911898999999989,-0.0015394450000000004,-0.005636331049999985,0.001284955525000013,-0.6,0.384765625,1.0
AUSGRID,24,OLS-Reconciled,HyG-LoadFormer (neural) vs Ablation-TemporalOnly (neural),hierarchy_weighted_smape,10,0.0002565810000000057,0.0012631350000000263,-0.002981449724999999,0.0032951694250000127,0.4,0.875,1.0
AUSGRID,24,OLS-Reconciled,HyG-LoadFormer (neural) vs DLinear,hierarchy_weighted_smape,10,0.009021481000000003,0.009616315000000014,0.006064046974999998,0.012150566375,1.0,0.001953125,0.01953125
AUSGRID,24,OLS-Reconciled,HyG-LoadFormer (neural) vs LSTM,hierarchy_weighted_smape,10,-0.01945036799999999,-0.016170589999999985,-0.024186938399999993,-0.015170189774999985,-1.0,0.001953125,0.01953125
AUSGRID,24,OLS-Reconciled,HyG-LoadFormer (neural) vs MLP,hierarchy_weighted_smape,10,0.0027676830000000043,0.0011280800000000035,-0.00024160557500001222,0.00605850297500001,0.2,0.1328125,1.0
AUSGRID,24,OLS-Reconciled,HyG-LoadFormer (neural) vs PatchTST-lite,hierarchy_weighted_smape,10,0.0030594250000000045,0.005262125000000006,-0.0021522939750000035,0.007896228750000012,0.4,0.263671875,1.0
AUSGRID,24,OLS-Reconciled,HyG-LoadFormer (neural) vs TCN,hierarchy_weighted_smape,10,0.00022586800000001794,0.00038776000000001476,-0.00396507299999999,0.004377911775000023,0.0,0.904296875,1.0
