paper,experiment_id,comparison,opponent,opponent_role,inference_status,n_proposed,n_opponent_effective,mean_proposed,mean_opponent,mean_difference,relative_difference_pct,rank_biserial,mean_diff_ci_low,mean_diff_ci_high,p_raw,p_holm_stochastic_family,significant_005_holm,p_holm_across_scenarios,significant_005_cross_scenario
p4,der_uncertainty,SHIELD-MOEA vs Ablation-NoOutage,Ablation-NoOutage,ablation,inferential_stochastic,30,30,0.2713664606666667,0.26757763133333334,0.0037888293333333545,1.4159738668937605,0.2977777777777777,0.0008997769166666003,0.006786313341666686,0.048413499464813624,0.1262004639715069,False,0.29048099678888173,False
p4,deterministic_vs_scenario,SHIELD-MOEA vs Ablation-NoOutage,Ablation-NoOutage,ablation,inferential_stochastic,30,30,0.26958534833333325,0.265943477,0.0036418713333332686,1.3694155519119011,0.28222222222222215,-0.00012966063333336565,0.007246069366666675,0.061451911011256986,0.12290382202251397,False,0.30725955505628494,False
p4,load_uncertainty,SHIELD-MOEA vs Ablation-NoOutage,Ablation-NoOutage,ablation,inferential_stochastic,30,30,0.26210522566666666,0.26100817733333337,0.0010970483333332948,0.4203118632303493,0.008888888888888946,-0.002199391591666601,0.004600342816666673,0.9587314908134437,0.9587314908134437,False,1.0,False
p4,outage_contingency,SHIELD-MOEA vs Ablation-NoOutage,Ablation-NoOutage,ablation,inferential_stochastic,30,30,0.2698180413333333,0.26250101766666667,0.007317023666666644,2.787426780934643,0.38444444444444437,0.0026843074916666015,0.012326716866666683,0.010762612595411516,0.03228783778623455,True,0.07533828816788062,False
p4,pareto_quality,SHIELD-MOEA vs Ablation-NoOutage,Ablation-NoOutage,ablation,inferential_stochastic,30,30,0.266516282,0.2663554246666667,0.00016085733333331964,0.060391986960506294,0.06666666666666665,-0.004232206975000072,0.004442126716666705,0.662734758176107,1.0,False,1.0,False
p4,restoration_aware_evaluation,SHIELD-MOEA vs Ablation-NoOutage,Ablation-NoOutage,ablation,inferential_stochastic,30,30,0.338779529,0.331423554,0.007355975000000015,2.2195088162020093,0.44666666666666677,0.0030184185083333456,0.012023908150000016,0.0030339475794426483,0.009101842738327945,True,0.024271580635541187,True
p4,scenario_screening_efficiency,SHIELD-MOEA vs Ablation-NoOutage,Ablation-NoOutage,ablation,inferential_stochastic,30,30,0.267026305,0.2661831793333333,0.000843125666666722,0.3167464107906248,0.13777777777777778,-0.0034043270166666056,0.004812059091666709,0.36322231255273874,0.5414106754490366,False,1.0,False
p4,unseen_stress_generalization,SHIELD-MOEA vs Ablation-NoOutage,Ablation-NoOutage,ablation,inferential_stochastic,30,30,0.24649823900000004,0.248988581,-0.002490341999999951,-1.0001832172375602,-0.004444444444444473,-0.008672594383333319,0.00336806157499999,0.9823070530800847,1.0,False,1.0,False
p4,der_uncertainty,SHIELD-MOEA vs Ablation-NoRepair,Ablation-NoRepair,ablation,inferential_stochastic,30,30,0.2713664606666667,0.24895774133333332,0.022408719333333382,9.001013269689828,0.9577777777777778,0.018279001950000047,0.026860327658333297,1.9567799598061055e-10,9.783899799030527e-10,True,1.5654239678448844e-09,True
p4,deterministic_vs_scenario,SHIELD-MOEA vs Ablation-NoRepair,Ablation-NoRepair,ablation,inferential_stochastic,30,30,0.26958534833333325,0.2447133506666667,0.024871997666666562,10.163727315615745,0.9022222222222223,0.019071022233333297,0.030752431066666624,2.0337965170597153e-09,1.2202779102358293e-08,True,8.135186068238861e-09,True
